"","Time","Boston","","Score","","Milwaukee"
"128","11:20.0","","","20-27","+2","G. Antetokounmpo makes 2-pt layup at rim"
"129","11:05.0","Shooting foul by J. Holiday (drawn by J. Brown)","","20-27","",""
"130","11:05.0","J. Brown makes free throw 1 of 2","+1","21-27","",""
"131","11:05.0","","","21-27","","B. Portis enters the game for B. Lopez"
"132","11:05.0","J. Brown makes free throw 2 of 2","+1","22-27","",""
"133","10:53.0","","","22-27","","Turnover by G. Antetokounmpo (bad pass; steal by J. Brown)"
"134","10:48.0","J. Brown makes 2-pt dunk from 1 ft (assist by P. Pritchard)","+2","24-27","",""
"135","10:40.0","","","24-29","+2","G. Antetokounmpo makes 2-pt jump shot from 20 ft"
"136","10:18.0","P. Pritchard misses 3-pt jump shot from 28 ft","","24-29","",""
"137","10:16.0","Offensive rebound by D. White","","24-29","",""
"138","10:01.0","G. Williams makes 3-pt jump shot from 27 ft (assist by P. Pritchard)","+3","27-29","",""
"139","9:49.0","","","27-31","+2","J. Holiday makes 2-pt jump shot from 20 ft"
"140","9:24.0","J. Brown misses 2-pt jump shot from 18 ft","","27-31","",""
"141","9:21.0","Offensive rebound by P. Pritchard","","27-31","",""
"142","9:08.0","G. Williams misses 2-pt layup from 3 ft","","27-31","",""
"143","9:06.0","","","27-31","","Defensive rebound by G. Antetokounmpo"
"144","8:48.0","","","27-31","","B. Portis misses 2-pt jump shot from 12 ft"
"145","8:48.0","","","27-31","","Offensive rebound by Team"
"146","8:48.0","Loose ball foul by P. Pritchard (drawn by G. Antetokounmpo)","","27-31","",""
"147","8:48.0","","","27-31","","P. Connaughton enters the game for G. Hill"
"148","8:44.0","","","27-31","","G. Antetokounmpo misses 3-pt jump shot from 26 ft"
"149","8:40.0","Defensive rebound by P. Pritchard","","27-31","",""
"150","8:24.0","Shooting foul by G. Allen (drawn by A. Horford)","","27-31","",""
"151","8:24.0","A. Horford misses free throw 1 of 2","","27-31","",""
"152","8:24.0","Offensive rebound by Team","","27-31","",""
"153","8:24.0","J. Tatum enters the game for G. Williams","","27-31","",""
"154","8:24.0","A. Horford makes free throw 2 of 2","+1","28-31","",""
"155","8:13.0","","","28-31","","G. Allen misses 3-pt jump shot from 27 ft"
"156","8:11.0","Defensive rebound by A. Horford","","28-31","",""
"157","7:58.0","J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford)","+3","31-31","",""
"158","7:38.0","","","31-31","","P. Connaughton misses 3-pt jump shot from 27 ft"
"159","7:35.0","Defensive rebound by J. Tatum","","31-31","",""
