"","Time","Dallas","","Score","","Golden State"
"349","10:00.0","","","87-101","","Instant Replay (Challenge: Stands)"
"350","10:00.0","R. Bullock enters the game for D. Finney-Smith","","87-101","",""
"351","10:00.0","M. Kleber enters the game for F. Ntilikina","","87-101","",""
"352","10:00.0","","","87-101","","K. Looney enters the game for D. Green"
"353","9:35.0","L. Doncic misses 3-pt jump shot from 31 ft","","87-101","",""
"354","9:32.0","","","87-101","","Defensive rebound by K. Looney"
"355","9:12.0","","","87-103","+2","K. Thompson makes 2-pt jump shot from 13 ft (assist by N. Bjelica)"
"356","8:53.0","L. Doncic makes 2-pt layup from 7 ft","+2","89-103","",""
"357","8:43.0","","","89-103","","Personal foul by S. Dinwiddie (drawn by J. Poole)"
"358","8:29.0","","","89-103","","K. Thompson misses 2-pt layup from 5 ft"
"359","8:26.0","","","89-103","","Offensive rebound by K. Looney"
"360","8:18.0","","","89-103","","A. Wiggins misses 3-pt jump shot from 25 ft"
"361","8:15.0","","","89-103","","Offensive rebound by K. Looney"
"362","8:14.0","","","89-106","+3","N. Bjelica makes 3-pt jump shot from 31 ft (assist by K. Looney)"
"363","8:01.0","S. Dinwiddie makes 3-pt jump shot from 27 ft","+3","92-106","",""
"364","8:01.0","Shooting foul by K. Thompson (drawn by S. Dinwiddie)","","92-106","",""
"365","8:01.0","S. Dinwiddie makes free throw 1 of 1","+1","93-106","",""
"366","7:46.0","","","93-108","+2","K. Looney makes 2-pt layup from 6 ft (assist by J. Poole)"
"367","7:46.0","D. Finney-Smith enters the game for M. Kleber","","93-108","",""
"368","7:24.0","Shooting foul by J. Poole (drawn by S. Dinwiddie)","","93-108","",""
"369","7:24.0","S. Dinwiddie makes free throw 1 of 2","+1","94-108","",""
"370","7:24.0","S. Dinwiddie makes free throw 2 of 2","+1","95-108","",""
"371","7:01.0","","","95-108","","K. Thompson misses 3-pt jump shot from 23 ft"
"372","6:59.0","Defensive rebound by R. Bullock","","95-108","",""
"373","6:53.0","Shooting foul by N. Bjelica (drawn by S. Dinwiddie)","","95-108","",""
"374","6:53.0","","","95-108","","S. Curry enters the game for J. Poole"
"375","6:53.0","S. Dinwiddie makes free throw 1 of 3","+1","96-108","",""
"376","6:53.0","S. Dinwiddie makes free throw 2 of 3","+1","97-108","",""
"377","6:53.0","S. Dinwiddie misses free throw 3 of 3","","97-108","",""
"378","6:51.0","","","97-108","","Defensive rebound by A. Wiggins"
"379","6:31.0","","","97-110","+2","A. Wiggins makes 2-pt jump shot from 15 ft"
"380","6:18.0","L. Doncic misses 3-pt jump shot from 29 ft","","97-110","",""
"381","6:14.0","","","97-110","","Defensive rebound by A. Wiggins"
"382","6:01.0","","","97-110","","K. Thompson misses 3-pt jump shot from 23 ft"
"383","6:00.0","","","97-110","","Offensive rebound by Team"
"384","6:00.0","Loose ball foul by S. Dinwiddie (drawn by K. Looney)","","97-110","",""
"385","5:52.0","","","97-110","","S. Curry misses 2-pt jump shot from 11 ft"
"386","5:50.0","","","97-110","","Offensive rebound by K. Looney"
"387","5:47.0","","","97-110","","K. Looney misses 2-pt layup at rim"
"388","5:46.0","Defensive rebound by D. Finney-Smith","","97-110","",""
"389","5:36.0","L. Doncic misses 2-pt jump shot from 8 ft","","97-110","",""
"390","5:33.0","","","97-110","","Defensive rebound by K. Looney"
"391","5:28.0","","","97-110","","Golden State full timeout"
"392","5:18.0","","","97-110","","A. Wiggins misses 3-pt jump shot from 24 ft"
"393","5:15.0","","","97-110","","Offensive rebound by N. Bjelica"
"394","5:05.0","","","97-110","","S. Curry misses 3-pt jump shot from 36 ft"
"395","5:00.0","Defensive rebound by L. Doncic","","97-110","",""
"396","4:41.0","D. Finney-Smith misses 3-pt jump shot from 23 ft (block by S. Curry)","","97-110","",""
"397","4:40.0","Offensive rebound by Team","","97-110","",""
"398","4:40.0","Turnover by Team (shot clock)","","97-110","",""
"399","4:25.0","","","97-110","","S. Curry misses 2-pt jump shot from 19 ft"
"400","4:23.0","Defensive rebound by R. Bullock","","97-110","",""
"401","4:23.0","","","97-110","","D. Green enters the game for N. Bjelica"
"402","4:02.0","L. Doncic makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","100-110","",""
"403","3:34.0","","","100-112","+2","D. Green makes 2-pt jump shot from 9 ft (assist by S. Curry)"
"404","3:24.0","D. Finney-Smith misses 3-pt jump shot from 27 ft","","100-112","",""
"405","3:21.0","","","100-112","","Defensive rebound by K. Looney"
"406","3:10.0","","","100-112","","K. Thompson misses 2-pt jump shot from 10 ft (block by S. Dinwiddie)"
"407","3:05.0","","","100-112","","Offensive rebound by K. Thompson"
"408","3:04.0","","","100-112","","K. Thompson misses 2-pt jump shot from 18 ft"
"409","3:01.0","","","100-112","","Offensive rebound by K. Looney"
"410","2:59.0","","","100-115","+3","K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Looney)"
"411","2:48.0","D. Finney-Smith makes 2-pt layup from 4 ft (assist by J. Brunson)","+2","102-115","",""
"412","2:38.0","","","102-115","","K. Thompson misses 3-pt jump shot from 26 ft"
"413","2:35.0","Defensive rebound by R. Bullock","","102-115","",""
"414","2:27.0","L. Doncic misses 3-pt jump shot from 29 ft","","102-115","",""
"415","2:25.0","","","102-115","","Defensive rebound by A. Wiggins"
"416","2:08.0","","","102-115","","S. Curry misses 2-pt jump shot from 20 ft"
"417","2:06.0","","","102-115","","Offensive rebound by A. Wiggins"
"418","2:02.0","","","102-118","+3","S. Curry makes 3-pt jump shot from 24 ft (assist by A. Wiggins)"
"419","2:02.0","Dallas full timeout","","102-118","",""
"420","2:02.0","S. Brown enters the game for J. Brunson","","102-118","",""
"421","2:02.0","T. Burke enters the game for R. Bullock","","102-118","",""
"422","2:02.0","M. Chriss enters the game for S. Dinwiddie","","102-118","",""
"423","2:02.0","J. Green enters the game for L. Doncic","","102-118","",""
"424","2:02.0","F. Ntilikina enters the game for D. Finney-Smith","","102-118","",""
"425","1:50.0","T. Burke makes 3-pt jump shot from 27 ft (assist by S. Brown)","+3","105-118","",""
"426","1:37.0","","","105-118","","Turnover by S. Curry (step out of bounds)"
"427","1:37.0","","","105-118","","J. Kuminga enters the game for S. Curry"
"428","1:37.0","","","105-118","","D. Lee enters the game for D. Green"
"429","1:37.0","","","105-118","","M. Moody enters the game for K. Looney"
"430","1:37.0","","","105-118","","J. Poole enters the game for K. Thompson"
"431","1:37.0","","","105-118","","J. Toscano-Anderson enters the game for A. Wiggins"
"432","1:29.0","Turnover by M. Chriss (off goaltending)","","105-118","",""
"433","1:21.0","","","105-120","+2","J. Poole makes 2-pt layup from 5 ft"
"434","1:14.0","T. Burke misses 3-pt jump shot from 26 ft","","105-120","",""
"435","1:12.0","Offensive rebound by S. Brown","","105-120","",""
"436","1:10.0","Shooting foul by J. Kuminga (drawn by S. Brown)","","105-120","",""
"437","1:10.0","S. Brown makes free throw 1 of 2","+1","106-120","",""
"438","1:10.0","S. Brown makes free throw 2 of 2","+1","107-120","",""
"439","0:54.0","","","107-120","","Turnover by J. Poole (step out of bounds)"
"440","0:44.0","S. Brown misses 2-pt jump shot from 9 ft","","107-120","",""
"441","0:42.0","","","107-120","","Defensive rebound by Team"
"442","0:28.0","","","107-120","","Turnover by J. Poole (bad pass; steal by S. Brown)"
"443","0:24.0","T. Burke makes 3-pt jump shot from 27 ft (assist by S. Brown)","+3","110-120","",""
"444","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
