"","Time","Golden State","","Score","","Dallas"
"243","10:27.0","","","50-47","","Defensive rebound by L. Doncic"
"244","10:22.0","","","50-47","","L. Doncic misses 2-pt jump shot from 8 ft"
"245","10:20.0","Defensive rebound by K. Looney","","50-47","",""
"246","10:12.0","K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry)","+2","52-47","",""
"247","9:56.0","","","52-49","+2","L. Doncic makes 2-pt layup from 1 ft (assist by R. Bullock)"
"248","9:44.0","S. Curry makes 3-pt jump shot from 29 ft","+3","55-49","",""
"249","9:44.0","","","55-49","","Dallas full timeout"
"250","9:44.0","","","55-49","","M. Kleber enters the game for D. Powell"
"251","9:26.0","","","55-49","","Shooting foul by D. Green (drawn by J. Brunson)"
"252","9:26.0","","","55-50","+1","J. Brunson makes free throw 1 of 2"
"253","9:26.0","","","55-51","+1","J. Brunson makes free throw 2 of 2"
"254","9:26.0","","","55-51","","Technical foul by D. Finney-Smith"
"255","9:26.0","S. Curry makes technical free throw","+1","56-51","",""
"256","9:12.0","Shooting foul by M. Kleber (drawn by K. Looney)","","56-51","",""
"257","9:12.0","K. Looney makes free throw 1 of 2","+1","57-51","",""
"258","9:12.0","K. Looney makes free throw 2 of 2","+1","58-51","",""
"259","8:57.0","Violation by Team (kicked ball)","","58-51","",""
"260","8:48.0","","","58-51","","M. Kleber misses 3-pt jump shot from 22 ft"
"261","8:46.0","","","58-51","","Offensive rebound by M. Kleber"
"262","8:43.0","","","58-53","+2","L. Doncic makes 2-pt jump shot from 11 ft (assist by M. Kleber)"
"263","8:27.0","Shooting foul by L. Doncic (drawn by K. Looney)","","58-53","",""
"264","8:27.0","K. Looney misses free throw 1 of 2","","58-53","",""
"265","8:27.0","Offensive rebound by Team","","58-53","",""
"266","8:27.0","K. Looney makes free throw 2 of 2","+1","59-53","",""
"267","8:04.0","","","59-53","","R. Bullock misses 2-pt jump shot from 9 ft (block by D. Green)"
"268","8:01.0","Defensive rebound by K. Thompson","","59-53","",""
"269","7:49.0","A. Wiggins misses 2-pt jump shot from 19 ft","","59-53","",""
"270","7:47.0","Offensive rebound by K. Looney","","59-53","",""
"271","7:44.0","K. Thompson misses 3-pt jump shot from 29 ft","","59-53","",""
"272","7:43.0","","","59-53","","Defensive rebound by Team"
"273","7:26.0","","","59-53","","M. Kleber misses 3-pt jump shot from 23 ft"
"274","7:21.0","Defensive rebound by K. Looney","","59-53","",""
"275","7:04.0","Turnover by K. Looney (bad pass)","","59-53","",""
"276","7:04.0","","","59-53","","S. Dinwiddie enters the game for R. Bullock"
"277","6:51.0","","","59-56","+3","S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"278","6:36.0","Offensive foul by D. Green (drawn by J. Brunson)","","59-56","",""
"279","6:36.0","Turnover by D. Green (offensive foul)","","59-56","",""
"280","6:36.0","J. Poole enters the game for K. Looney","","59-56","",""
"281","6:17.0","","","59-56","","Turnover by J. Brunson (lost ball; steal by D. Green)"
"282","6:09.0","A. Wiggins misses 2-pt layup from 3 ft","","59-56","",""
"283","6:08.0","Offensive rebound by A. Wiggins","","59-56","",""
"284","5:56.0","S. Curry misses 2-pt jump shot from 7 ft (block by L. Doncic)","","59-56","",""
"285","5:54.0","Offensive rebound by A. Wiggins","","59-56","",""
"286","5:52.0","A. Wiggins makes 2-pt layup from 2 ft","+2","61-56","",""
"287","5:33.0","","","61-56","","Turnover by S. Dinwiddie (bad pass; steal by J. Poole)"
"288","5:21.0","D. Green makes 2-pt jump shot from 23 ft (assist by S. Curry)","+2","63-56","",""
"289","5:03.0","","","63-56","","L. Doncic misses 2-pt jump shot from 7 ft"
"290","5:00.0","Defensive rebound by A. Wiggins","","63-56","",""
"291","4:56.0","K. Thompson misses 2-pt layup from 4 ft","","63-56","",""
"292","4:56.0","Offensive rebound by Team","","63-56","",""
"293","4:47.0","K. Thompson misses 3-pt jump shot from 25 ft","","63-56","",""
"294","4:45.0","Offensive rebound by D. Green","","63-56","",""
"295","4:43.0","K. Thompson makes 2-pt dunk from 1 ft (assist by D. Green)","+2","65-56","",""
"296","4:43.0","","","65-56","","Dallas full timeout"
"297","4:43.0","M. Moody enters the game for K. Thompson","","65-56","",""
"298","4:43.0","","","65-56","","R. Bullock enters the game for D. Finney-Smith"
"299","4:20.0","","","65-56","","S. Dinwiddie misses 3-pt jump shot from 23 ft"
"300","4:18.0","Defensive rebound by Team","","65-56","",""
"301","4:05.0","S. Curry makes 2-pt jump shot from 17 ft (assist by D. Green)","+2","67-56","",""
"302","3:50.0","","","67-56","","R. Bullock misses 3-pt jump shot from 23 ft"
"303","3:48.0","","","67-56","","Offensive rebound by J. Brunson"
"304","3:38.0","","","67-56","","R. Bullock misses 2-pt jump shot from 16 ft"
"305","3:36.0","Defensive rebound by A. Wiggins","","67-56","",""
"306","3:14.0","Turnover by Team (shot clock)","","67-56","",""
"307","2:54.0","","","67-59","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by J. Brunson)"
"308","2:35.0","D. Green makes 2-pt layup from 2 ft (assist by S. Curry)","+2","69-59","",""
"309","2:18.0","","","69-59","","Turnover by L. Doncic (bad pass; steal by J. Poole)"
"310","2:17.0","Shooting foul by R. Bullock (drawn by J. Poole)","","69-59","",""
"311","2:17.0","Instant Replay (Request: Stands)","","69-59","",""
"312","2:17.0","K. Looney enters the game for D. Green","","69-59","",""
"313","2:17.0","","","69-59","","D. Bertans enters the game for L. Doncic"
"314","2:17.0","","","69-59","","D. Finney-Smith enters the game for M. Kleber"
"315","2:17.0","J. Poole makes free throw 1 of 2","+1","70-59","",""
"316","2:17.0","K. Thompson enters the game for A. Wiggins","","70-59","",""
"317","2:17.0","J. Poole makes free throw 2 of 2","+1","71-59","",""
"318","1:58.0","","","71-61","+2","S. Dinwiddie makes 2-pt layup from 2 ft"
"319","1:42.0","Shooting foul by D. Bertans (drawn by S. Curry)","","71-61","",""
"320","1:42.0","S. Curry makes free throw 1 of 2","+1","72-61","",""
"321","1:42.0","S. Curry makes free throw 2 of 2","+1","73-61","",""
"322","1:25.0","","","73-64","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Bertans)"
