"","Time","Dallas","","Score","","Utah"
"183","3:33.0","Dallas full timeout","","36-41","",""
"184","3:33.0","S. Dinwiddie enters the game for L. Doncic","","36-41","",""
"185","3:33.0","","","36-41","","M. Conley enters the game for J. Clarkson"
"186","3:15.0","J. Brunson makes 2-pt layup from 3 ft","+2","38-41","",""
"187","2:53.0","","","38-43","+2","R. O'Neale makes 2-pt layup from 3 ft (assist by M. Conley)"
"188","2:40.0","J. Brunson misses 2-pt layup from 3 ft (block by R. O'Neale)","","38-43","",""
"189","2:40.0","","","38-43","","Defensive rebound by Team"
"190","2:34.0","","","38-45","+2","R. O'Neale makes 2-pt layup from 2 ft (assist by M. Conley)"
"191","2:09.0","S. Dinwiddie misses 2-pt jump shot from 15 ft","","38-45","",""
"192","2:07.0","","","38-45","","Defensive rebound by R. Gobert"
"193","1:54.0","","","38-47","+2","B. Bogdanovic makes 2-pt layup from 6 ft (assist by M. Conley)"
"194","1:31.0","S. Dinwiddie makes 3-pt jump shot from 24 ft","+3","41-47","",""
"195","1:20.0","","","41-47","","Shooting foul by R. Bullock (drawn by B. Bogdanovic)"
"196","1:20.0","","","41-48","+1","B. Bogdanovic makes free throw 1 of 2"
"197","1:20.0","","","41-49","+1","B. Bogdanovic makes free throw 2 of 2"
"198","1:00.0","J. Brunson misses 3-pt jump shot from 22 ft","","41-49","",""
"199","0:57.0","","","41-49","","Defensive rebound by R. O'Neale"
"200","0:49.0","","","41-51","+2","R. Gobert makes 2-pt layup from 2 ft (assist by D. Mitchell)"
"201","0:33.0","S. Dinwiddie misses 3-pt jump shot from 25 ft","","41-51","",""
"202","0:31.0","Offensive rebound by Team","","41-51","",""
"203","0:31.0","","","41-51","","Loose ball foul by M. Conley (drawn by J. Brunson)"
"204","0:22.0","J. Brunson misses 2-pt jump shot from 19 ft","","41-51","",""
"205","0:20.0","","","41-51","","Defensive rebound by M. Conley"
"206","0:00.0","","","41-53","+2","B. Bogdanovic makes 2-pt jump shot from 5 ft (assist by M. Conley)"
"207","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"208","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"209","Time","Dallas","","Score","","Utah"
"210","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"211","11:50.0","Offensive foul by D. Powell (drawn by R. O'Neale)","","41-53","",""
"212","11:50.0","Turnover by D. Powell (offensive foul)","","41-53","",""
"213","11:39.0","","","41-53","","Offensive foul by D. Mitchell (drawn by L. Doncic)"
"214","11:39.0","","","41-53","","Turnover by D. Mitchell (offensive foul)"
"215","11:28.0","L. Doncic makes 2-pt jump shot from 8 ft","+2","43-53","",""
"216","11:06.0","","","43-53","","D. Mitchell misses 3-pt jump shot from 25 ft"
"217","11:04.0","Defensive rebound by R. Bullock","","43-53","",""
