"","Time","New Orleans","","Score","","Phoenix"
"175","4:28.0","","","43-44","+2","D. Booker makes 2-pt jump shot from 3 ft (assist by C. Payne)"
"176","4:14.0","H. Jones makes 3-pt jump shot from 24 ft (assist by C. McCollum)","+3","46-44","",""
"177","4:02.0","","","46-46","+2","D. Booker makes 2-pt jump shot from 13 ft"
"178","3:47.0","Turnover by J. Valanciunas (bad pass; steal by C. Payne)","","46-46","",""
"179","3:45.0","","","46-46","","Shooting foul by J. Hayes (drawn by M. Bridges)"
"180","3:45.0","","","46-47","+1","M. Bridges makes free throw 1 of 2"
"181","3:45.0","T. Murphy enters the game for J. Hayes","","46-47","",""
"182","3:45.0","","","46-48","+1","M. Bridges makes free throw 2 of 2"
"183","3:28.0","H. Jones misses 3-pt jump shot from 24 ft","","46-48","",""
"184","3:25.0","","","46-48","","Defensive rebound by C. Payne"
"185","3:19.0","","","46-48","","Turnover by M. Bridges (bad pass; steal by J. Valanciunas)"
"186","3:15.0","Turnover by B. Ingram (out of bounds lost ball)","","46-48","",""
"187","3:06.0","","","46-51","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by C. Payne)"
"188","2:44.0","Turnover by H. Jones (lost ball; steal by J. Crowder)","","46-51","",""
"189","2:32.0","","","46-51","","D. Booker misses 2-pt jump shot from 12 ft"
"190","2:30.0","","","46-51","","Offensive rebound by D. Ayton"
"191","2:27.0","","","46-54","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by D. Ayton)"
"192","2:27.0","New Orleans full timeout","","46-54","",""
"193","2:27.0","L. Nance enters the game for J. Valanciunas","","46-54","",""
"194","2:27.0","","","46-54","","C. Paul enters the game for C. Payne"
"195","2:13.0","C. McCollum makes 3-pt jump shot from 25 ft (assist by L. Nance)","+3","49-54","",""
"196","1:55.0","","","49-56","+2","D. Booker makes 2-pt jump shot from 24 ft (assist by C. Paul)"
"197","1:40.0","T. Murphy misses 3-pt jump shot from 25 ft","","49-56","",""
"198","1:35.0","","","49-56","","Defensive rebound by J. Crowder"
"199","1:26.0","","","49-56","","Turnover by D. Booker (bad pass; steal by T. Murphy)"
"200","1:22.0","Shooting foul by M. Bridges (drawn by H. Jones)","","49-56","",""
"201","1:22.0","H. Jones makes free throw 1 of 2","+1","50-56","",""
"202","1:22.0","H. Jones misses free throw 2 of 2","","50-56","",""
"203","1:19.0","","","50-56","","Defensive rebound by D. Ayton"
"204","1:07.0","","","50-56","","D. Booker misses 3-pt jump shot from 26 ft"
"205","1:03.0","","","50-56","","Offensive rebound by D. Booker"
"206","0:53.0","","","50-56","","J. Crowder misses 3-pt jump shot from 26 ft"
"207","0:51.0","","","50-56","","Offensive rebound by M. Bridges"
"208","0:51.0","","","50-58","+2","M. Bridges makes 2-pt dunk at rim"
"209","0:34.0","C. McCollum makes 3-pt jump shot from 27 ft","+3","53-58","",""
"210","0:30.0","","","53-58","","C. Paul misses 3-pt jump shot from 26 ft"
"211","0:29.0","Defensive rebound by L. Nance","","53-58","",""
"212","0:05.0","T. Murphy makes 3-pt jump shot from 26 ft (assist by C. McCollum)","+3","56-58","",""
"213","0:03.0","","","56-58","","Personal take foul by C. McCollum (drawn by D. Booker)"
"214","0:03.0","N. Marshall enters the game for C. McCollum","","56-58","",""
"215","0:01.0","","","56-61","+3","D. Booker makes 3-pt jump shot from 29 ft (assist by C. Paul)"
