"","Time","Boston","","Score","","Milwaukee"
"176","6:58.0","","","32-31","","G. Allen enters the game for G. Antetokounmpo"
"177","6:58.0","","","32-31","","B. Portis enters the game for J. Carter"
"178","6:43.0","","","32-33","+2","J. Holiday makes 2-pt layup from 2 ft (assist by B. Lopez)"
"179","6:28.0","M. Smart misses 2-pt layup from 4 ft","","32-33","",""
"180","6:25.0","","","32-33","","Defensive rebound by G. Allen"
"181","6:24.0","","","32-33","","Turnover by G. Allen (bad pass)"
"182","6:15.0","Shooting foul by G. Allen (drawn by M. Smart)","","32-33","",""
"183","6:15.0","M. Smart makes free throw 1 of 2","+1","33-33","",""
"184","6:15.0","M. Smart makes free throw 2 of 2","+1","34-33","",""
"185","5:58.0","","","34-33","","G. Allen misses 3-pt jump shot from 27 ft (block by R. Williams)"
"186","5:52.0","","","34-33","","Offensive rebound by G. Allen"
"187","5:49.0","","","34-36","+3","J. Holiday makes 3-pt jump shot from 24 ft (assist by G. Allen)"
"188","5:30.0","M. Smart misses 2-pt jump shot from 11 ft","","34-36","",""
"189","5:27.0","Offensive rebound by R. Williams","","34-36","",""
"190","5:23.0","Shooting foul by G. Allen (drawn by J. Tatum)","","34-36","",""
"191","5:23.0","J. Tatum misses free throw 1 of 2","","34-36","",""
"192","5:23.0","Offensive rebound by Team","","34-36","",""
"193","5:23.0","","","34-36","","G. Antetokounmpo enters the game for J. Holiday"
"194","5:23.0","","","34-36","","G. Hill enters the game for B. Lopez"
"195","5:23.0","J. Tatum makes free throw 2 of 2","+1","35-36","",""
"196","5:08.0","","","35-38","+2","G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by G. Allen)"
"197","4:52.0","Shooting foul by G. Hill (drawn by J. Brown)","","35-38","",""
"198","4:52.0","J. Brown makes free throw 1 of 2","+1","36-38","",""
"199","4:52.0","J. Brown makes free throw 2 of 2","+1","37-38","",""
"200","4:41.0","","","37-38","","Shooting foul by R. Williams (drawn by G. Antetokounmpo)"
"201","4:41.0","","","37-38","","G. Antetokounmpo misses free throw 1 of 2"
"202","4:41.0","","","37-38","","Offensive rebound by Team"
"203","4:41.0","A. Horford enters the game for R. Williams","","37-38","",""
"204","4:41.0","","","37-38","","G. Antetokounmpo misses free throw 2 of 2"
"205","4:41.0","Defensive rebound by Team","","37-38","",""
"206","4:41.0","","","37-38","","Loose ball foul by B. Portis (drawn by G. Williams)"
"207","4:41.0","G. Williams makes free throw 1 of 2","+1","38-38","",""
"208","4:41.0","G. Williams makes free throw 2 of 2","+1","39-38","",""
"209","4:22.0","","","39-40","+2","G. Antetokounmpo makes 2-pt dunk from 1 ft"
"210","3:54.0","J. Tatum misses 2-pt jump shot from 8 ft (block by G. Antetokounmpo)","","39-40","",""
"211","3:50.0","Offensive rebound by G. Williams","","39-40","",""
"212","3:49.0","G. Williams misses 3-pt jump shot from 26 ft","","39-40","",""
"213","3:47.0","","","39-40","","Defensive rebound by G. Antetokounmpo"
"214","3:44.0","","","39-40","","W. Matthews misses 3-pt jump shot from 25 ft"
"215","3:42.0","","","39-40","","Offensive rebound by G. Antetokounmpo"
"216","3:40.0","","","39-42","+2","G. Antetokounmpo makes 2-pt layup from 2 ft"
"217","3:26.0","Personal foul by G. Allen (drawn by M. Smart)","","39-42","",""
"218","3:26.0","M. Smart makes free throw 1 of 2","+1","40-42","",""
"219","3:26.0","D. White enters the game for J. Tatum","","40-42","",""
"220","3:26.0","","","40-42","","P. Connaughton enters the game for G. Allen"
"221","3:26.0","","","40-42","","J. Holiday enters the game for B. Portis"
"222","3:26.0","M. Smart makes free throw 2 of 2","+1","41-42","",""
"223","3:12.0","","","41-42","","Shooting foul by J. Brown (drawn by G. Antetokounmpo)"
"224","3:12.0","","","41-43","+1","G. Antetokounmpo makes free throw 1 of 2"
"225","3:12.0","","","41-43","","B. Lopez enters the game for P. Connaughton"
"226","3:12.0","","","41-44","+1","G. Antetokounmpo makes free throw 2 of 2"
"227","2:57.0","J. Brown misses 2-pt jump shot from 15 ft","","41-44","",""
"228","2:55.0","","","41-44","","Defensive rebound by B. Lopez"
"229","2:48.0","","","41-44","","J. Holiday misses 3-pt jump shot from 26 ft"
"230","2:48.0","","","41-44","","Personal foul by M. Smart (drawn by B. Lopez)"
"231","2:48.0","Personal foul by B. Lopez (drawn by M. Smart)","","41-44","",""
"232","2:48.0","Boston full timeout","","41-44","",""
"233","2:48.0","J. Tatum enters the game for M. Smart","","41-44","",""
"234","2:48.0","","","41-44","","P. Connaughton enters the game for W. Matthews"
"235","2:48.0","","","41-44","","Offensive rebound by Team"
"236","2:48.0","Jump ball: B. Lopez vs. A. Horford (J. Holiday gains possession)","Jump ball: B. Lopez vs. A. Horford (J. Holiday gains possession)","Jump ball: B. Lopez vs. A. Horford (J. Holiday gains possession)","Jump ball: B. Lopez vs. A. Horford (J. Holiday gains possession)","Jump ball: B. Lopez vs. A. Horford (J. Holiday gains possession)"
"237","2:31.0","","","41-44","","J. Holiday misses 3-pt jump shot from 23 ft"
"238","2:29.0","Defensive rebound by A. Horford","","41-44","",""
"239","2:16.0","J. Tatum misses 3-pt jump shot from 27 ft","","41-44","",""
"240","2:13.0","","","41-44","","Defensive rebound by G. Antetokounmpo"
"241","2:06.0","","","41-44","","G. Antetokounmpo misses 2-pt layup from 4 ft"
"242","2:04.0","Defensive rebound by J. Brown","","41-44","",""
"243","1:57.0","A. Horford makes 2-pt jump shot from 16 ft (assist by J. Brown)","+2","43-44","",""
"244","1:41.0","","","43-44","","J. Holiday misses 2-pt jump shot from 19 ft"
"245","1:38.0","Defensive rebound by J. Brown","","43-44","",""
"246","1:34.0","G. Williams misses 3-pt jump shot from 24 ft","","43-44","",""
"247","1:31.0","","","43-44","","Defensive rebound by G. Antetokounmpo"
"248","1:18.0","","","43-46","+2","G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by G. Hill)"
"249","0:57.0","Personal foul by G. Antetokounmpo (drawn by G. Williams)","","43-46","",""
"250","0:57.0","G. Williams makes free throw 1 of 2","+1","44-46","",""
"251","0:57.0","R. Williams enters the game for A. Horford","","44-46","",""
"252","0:57.0","","","44-46","","G. Allen enters the game for G. Antetokounmpo"
"253","0:57.0","","","44-46","","W. Matthews enters the game for G. Hill"
"254","0:57.0","","","44-46","","B. Portis enters the game for B. Lopez"
"255","0:57.0","G. Williams makes free throw 2 of 2","+1","45-46","",""
"256","0:46.0","","","45-46","","B. Portis misses 3-pt jump shot from 26 ft"
"257","0:41.0","Defensive rebound by D. White","","45-46","",""
"258","0:38.0","Shooting foul by P. Connaughton (drawn by D. White)","","45-46","",""
"259","0:38.0","D. White makes free throw 1 of 2","+1","46-46","",""
"260","0:38.0","D. White makes free throw 2 of 2","+1","47-46","",""
"261","0:17.0","","","47-46","","J. Holiday misses 2-pt hook shot from 4 ft"
"262","0:12.0","Defensive rebound by G. Williams","","47-46","",""
"263","0:00.0","G. Williams makes 3-pt jump shot from 24 ft (assist by J. Brown)","+3","50-46","",""
"264","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
