Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
9:35.0,L.Doncic,5,87-101,4.0,3-pt,jump,31,misses,Dallas,2022-08-01 09:35:00,GSW
8:53.0,L.Doncic,5,89-103,4.0,2-pt,layup,7,makes,Dallas,2022-08-01 08:53:00,GSW
6:18.0,L.Doncic,5,97-110,4.0,3-pt,jump,29,misses,Dallas,2022-08-01 06:18:00,GSW
5:36.0,L.Doncic,5,97-110,4.0,2-pt,jump,8,misses,Dallas,2022-08-01 05:36:00,GSW
4:02.0,L.Doncic,5,100-110,4.0,3-pt,jump,26,makes,Dallas,2022-08-01 04:02:00,GSW
2:27.0,L.Doncic,5,102-115,4.0,3-pt,jump,29,misses,Dallas,2022-08-01 02:27:00,GSW
10:51.0,L.Doncic,4,4-1,1.0,2-pt,jump,10,makes,Dallas,2022-08-01 10:51:00,jazz
9:37.0,L.Doncic,4,6-1,1.0,2-pt,layup,5,makes,Dallas,2022-08-01 09:37:00,jazz
8:00.0,L.Doncic,4,8-3,1.0,2-pt,layup,ft,misses,Dallas,2022-08-01 08:00:00,jazz
6:56.0,L.Doncic,4,8-5,1.0,3-pt,jump,29,misses,Dallas,2022-08-01 06:56:00,jazz
2:12.0,L.Doncic,4,19-15,1.0,3-pt,jump,26,makes,Dallas,2022-08-01 02:12:00,jazz
1:41.0,L.Doncic,4,19-18,1.0,3-pt,jump,25,misses,Dallas,2022-08-01 01:41:00,jazz
10:48.0,L.Doncic,4,23-24,2.0,2-pt,jump,8,misses,Dallas,2022-08-01 10:48:00,jazz
8:33.0,L.Doncic,4,28-31,2.0,2-pt,jump,6,makes,Dallas,2022-08-01 08:33:00,jazz
8:04.0,L.Doncic,4,28-33,2.0,2-pt,jump,13,misses,Dallas,2022-08-01 08:04:00,jazz
0:59.0,L.Doncic,4,40-51,2.0,3-pt,jump,26,makes,Dallas,2022-08-01 00:59:00,jazz
0:00.0,L.Doncic,4,42-54,2.0,2-pt,jump,10,makes,Dallas,2022-08-01 00:00:00,jazz
10:07.0,L.Doncic,4,50-56,3.0,3-pt,jump,25,makes,Dallas,2022-08-01 10:07:00,jazz
9:40.0,L.Doncic,4,51-59,3.0,free,throw,2,makes,Dallas,2022-08-01 09:40:00,jazz
9:40.0,L.Doncic,4,52-59,3.0,free,throw,2,makes,Dallas,2022-08-01 09:40:00,jazz
8:17.0,L.Doncic,4,57-59,3.0,3-pt,jump,28,misses,Dallas,2022-08-01 08:17:00,jazz
7:35.0,L.Doncic,4,59-60,3.0,2-pt,hook,7,makes,Dallas,2022-08-01 07:35:00,jazz
10:55.0,L.Doncic,4,81-78,4.0,3-pt,jump,27,misses,Dallas,2022-08-01 10:55:00,jazz
7:05.0,L.Doncic,4,83-81,4.0,3-pt,jump,26,misses,Dallas,2022-08-01 07:05:00,jazz
5:13.0,L.Doncic,4,87-87,4.0,free,throw,2,makes,Dallas,2022-08-01 05:13:00,jazz
5:13.0,L.Doncic,4,88-87,4.0,free,throw,2,makes,Dallas,2022-08-01 05:13:00,jazz
4:32.0,L.Doncic,4,90-90,4.0,2-pt,jump,15,makes,Dallas,2022-08-01 04:32:00,jazz
