"","Time","Boston","","Score","","Milwaukee"
"345","0:06.0","","","82-68","","Shooting foul by J. Tatum (drawn by G. Antetokounmpo)"
"346","0:06.0","","","82-69","+1","G. Antetokounmpo makes free throw 1 of 2"
"347","0:06.0","J. Brown enters the game for D. Theis","","82-69","",""
"348","0:06.0","A. Horford enters the game for G. Williams","","82-69","",""
"349","0:06.0","","","82-69","","W. Matthews enters the game for P. Connaughton"
"350","0:06.0","","","82-70","+1","G. Antetokounmpo makes free throw 2 of 2"
"351","0:00.0","D. White misses 3-pt jump shot from 23 ft","","82-70","",""
"352","0:00.0","Offensive rebound by Team","","82-70","",""
"353","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"354","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"355","Time","Boston","","Score","","Milwaukee"
"356","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"357","11:35.0","D. White misses 2-pt jump shot from 12 ft","","82-70","",""
"358","11:33.0","","","82-70","","Defensive rebound by G. Antetokounmpo"
"359","11:31.0","","","82-70","","Turnover by G. Antetokounmpo (lost ball; steal by D. White)"
"360","11:25.0","J. Brown makes 2-pt layup from 1 ft (assist by P. Pritchard)","+2","84-70","",""
"361","11:08.0","","","84-70","","G. Antetokounmpo misses 2-pt dunk from 1 ft (block by A. Horford)"
"362","11:08.0","","","84-70","","Offensive rebound by Team"
"363","11:08.0","Loose ball foul by J. Brown (drawn by P. Connaughton)","","84-70","",""
"364","10:57.0","","","84-72","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by P. Connaughton)"
"365","10:57.0","","","84-72","","Shooting foul by P. Pritchard (drawn by G. Antetokounmpo)"
"366","10:57.0","","","84-73","+1","G. Antetokounmpo makes free throw 1 of 1"
"367","10:32.0","J. Brown misses 2-pt jump shot from 17 ft","","84-73","",""
"368","10:29.0","","","84-73","","Defensive rebound by G. Antetokounmpo"
"369","10:16.0","","","84-73","","Shooting foul by G. Williams (drawn by G. Antetokounmpo)"
"370","10:16.0","","","84-73","","Milwaukee full timeout"
"371","10:16.0","","","84-73","","Instant Replay (Challenge: Ruling Stands)"
"372","10:16.0","","","84-74","+1","G. Antetokounmpo makes free throw 1 of 2"
"373","10:16.0","","","84-75","+1","G. Antetokounmpo makes free throw 2 of 2"
"374","9:57.0","D. White misses 2-pt jump shot from 5 ft","","84-75","",""
"375","9:55.0","","","84-75","","Defensive rebound by G. Antetokounmpo"
"376","9:47.0","","","84-78","+3","P. Connaughton makes 3-pt jump shot from 23 ft (assist by W. Matthews)"
"377","9:37.0","J. Brown misses 2-pt layup from 4 ft (block by J. Holiday)","","84-78","",""
"378","9:37.0","","","84-78","","Defensive rebound by Team"
"379","9:37.0","M. Smart enters the game for P. Pritchard","","84-78","",""
"380","9:37.0","J. Tatum enters the game for D. White","","84-78","",""
"381","9:18.0","","","84-78","","W. Matthews misses 2-pt jump shot from 6 ft"
"382","9:17.0","","","84-78","","Offensive rebound by G. Hill"
"383","9:16.0","","","84-78","","G. Hill misses 2-pt layup at rim (block by A. Horford)"
"384","9:15.0","Defensive rebound by A. Horford","","84-78","",""
"385","8:56.0","Shooting foul by G. Hill (drawn by J. Tatum)","","84-78","",""
"386","8:56.0","J. Tatum makes free throw 1 of 2","+1","85-78","",""
"387","8:56.0","","","85-78","","B. Portis enters the game for W. Matthews"
"388","8:56.0","J. Tatum misses free throw 2 of 2","","85-78","",""
"389","8:53.0","","","85-78","","Defensive rebound by G. Antetokounmpo"
"390","8:42.0","","","85-81","+3","G. Antetokounmpo makes 3-pt jump shot from 28 ft"
"391","8:14.0","J. Tatum makes 2-pt jump shot from 16 ft (assist by M. Smart)","+2","87-81","",""
"392","7:48.0","","","87-83","+2","P. Connaughton makes 2-pt layup from 4 ft (assist by G. Antetokounmpo)"
"393","7:19.0","J. Tatum makes 3-pt jump shot from 27 ft","+3","90-83","",""
"394","7:06.0","","","90-83","","Turnover by G. Antetokounmpo (bad pass; steal by G. Williams)"
"395","7:06.0","Personal foul by G. Hill (drawn by M. Smart)","","90-83","",""
"396","7:06.0","D. White enters the game for G. Williams","","90-83","",""
"397","7:06.0","","","90-83","","W. Matthews enters the game for G. Hill"
"398","6:47.0","J. Tatum makes 2-pt jump shot from 7 ft (assist by M. Smart)","+2","92-83","",""
"399","6:32.0","","","92-85","+2","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by J. Holiday)"
"400","6:10.0","J. Tatum misses 2-pt layup from 3 ft","","92-85","",""
"401","6:08.0","","","92-85","","Defensive rebound by G. Antetokounmpo"
"402","6:08.0","","","92-85","","Personal take foul by D. White (drawn by G. Antetokounmpo)"
"403","6:00.0","","","92-87","+2","P. Connaughton makes 2-pt layup from 3 ft"
"404","5:40.0","J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White)","+3","95-87","",""
"405","5:30.0","","","95-87","","B. Portis misses 3-pt jump shot from 26 ft"
"406","5:28.0","Defensive rebound by J. Tatum","","95-87","",""
"407","5:23.0","Boston full timeout","","95-87","",""
"408","5:12.0","J. Brown makes 3-pt jump shot from 26 ft (assist by M. Smart)","+3","98-87","",""
"409","4:45.0","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (P. Connaughton gains possession)"
"410","4:43.0","","","98-87","","P. Connaughton misses 2-pt jump shot from 21 ft"
"411","4:43.0","Defensive rebound by Team","","98-87","",""
"412","4:20.0","M. Smart makes 2-pt jump shot from 22 ft","+2","100-87","",""
"413","4:15.0","","","100-87","","W. Matthews misses 3-pt jump shot from 24 ft"
"414","4:12.0","Defensive rebound by Team","","100-87","",""
"415","4:12.0","","","100-87","","Loose ball foul by B. Portis (drawn by J. Brown)"
"416","4:12.0","","","100-87","","G. Hill enters the game for W. Matthews"
"417","4:00.0","M. Smart misses 3-pt jump shot from 28 ft","","100-87","",""
"418","3:57.0","","","100-87","","Defensive rebound by G. Antetokounmpo"
"419","3:53.0","","","100-87","","Turnover by G. Antetokounmpo (traveling)"
"420","3:31.0","D. White misses 3-pt jump shot from 26 ft","","100-87","",""
"421","3:28.0","","","100-87","","Defensive rebound by P. Connaughton"
"422","3:25.0","","","100-87","","Shooting foul by M. Smart (drawn by G. Antetokounmpo)"
"423","3:25.0","","","100-88","+1","G. Antetokounmpo makes free throw 1 of 2"
"424","3:25.0","Boston full timeout","","100-88","",""
"425","3:25.0","","","100-89","+1","G. Antetokounmpo makes free throw 2 of 2"
"426","3:04.0","M. Smart misses 2-pt layup from 2 ft","","100-89","",""
"427","3:02.0","","","100-89","","Defensive rebound by G. Antetokounmpo"
"428","3:02.0","","","100-89","","Milwaukee full timeout"
"429","2:50.0","","","100-89","","G. Antetokounmpo misses 3-pt jump shot from 25 ft"
"430","2:49.0","Defensive rebound by D. White","","100-89","",""
"431","2:49.0","Personal foul by G. Hill (drawn by D. White)","","100-89","",""
"432","2:38.0","J. Tatum makes 2-pt layup from 1 ft","+2","102-89","",""
"433","2:38.0","Shooting foul by P. Connaughton (drawn by J. Tatum)","","102-89","",""
"434","2:38.0","J. Tatum makes free throw 1 of 1","+1","103-89","",""
"435","2:29.0","","","103-92","+3","J. Holiday makes 3-pt jump shot from 26 ft"
"436","2:05.0","J. Tatum misses 3-pt jump shot from 27 ft","","103-92","",""
"437","2:02.0","Offensive rebound by D. White","","103-92","",""
"438","1:54.0","Personal foul by B. Portis (drawn by J. Tatum)","","103-92","",""
"439","1:54.0","J. Tatum makes free throw 1 of 2","+1","104-92","",""
"440","1:54.0","J. Tatum makes free throw 2 of 2","+1","105-92","",""
"441","1:39.0","","","105-92","","J. Holiday misses 3-pt jump shot from 25 ft"
"442","1:36.0","Defensive rebound by D. White","","105-92","",""
"443","1:24.0","Shooting foul by P. Connaughton (drawn by J. Brown)","","105-92","",""
"444","1:24.0","J. Brown misses free throw 1 of 2","","105-92","",""
"445","1:24.0","Offensive rebound by Team","","105-92","",""
"446","1:24.0","P. Pritchard enters the game for A. Horford","","105-92","",""
"447","1:24.0","D. Theis enters the game for M. Smart","","105-92","",""
"448","1:24.0","G. Williams enters the game for J. Tatum","","105-92","",""
"449","1:24.0","","","105-92","","T. Antetokounmpo enters the game for G. Antetokounmpo"
"450","1:24.0","","","105-92","","J. Carter enters the game for P. Connaughton"
"451","1:24.0","","","105-92","","J. Nwora enters the game for G. Hill"
"452","1:24.0","","","105-92","","R. Tucker enters the game for J. Holiday"
"453","1:24.0","","","105-92","","L. Vildoza enters the game for B. Portis"
"454","1:24.0","J. Brown misses free throw 2 of 2","","105-92","",""
"455","1:17.0","","","105-92","","Defensive rebound by T. Antetokounmpo"
"456","1:17.0","","","105-92","","Shooting foul by G. Williams (drawn by T. Antetokounmpo)"
"457","1:17.0","","","105-92","","T. Antetokounmpo misses free throw 1 of 2"
"458","1:17.0","","","105-92","","Offensive rebound by Team"
"459","1:17.0","A. Nesmith enters the game for J. Brown","","105-92","",""
"460","1:17.0","N. Stauskas enters the game for D. White","","105-92","",""
"461","1:17.0","","","105-93","+1","T. Antetokounmpo makes free throw 2 of 2"
"462","0:59.0","P. Pritchard misses 2-pt jump shot from 17 ft","","105-93","",""
"463","0:56.0","","","105-93","","Defensive rebound by J. Carter"
"464","0:50.0","","","105-95","+2","J. Carter makes 2-pt jump shot from 10 ft"
"465","0:50.0","","","105-95","","Violation by Team (delay of game)"
"466","0:50.0","G. Williams misses technical free throw","","105-95","",""
"467","0:50.0","Offensive rebound by Team","","105-95","",""
"468","0:32.0","Shooting foul by R. Tucker (drawn by N. Stauskas)","","105-95","",""
"469","0:32.0","N. Stauskas makes free throw 1 of 2","+1","106-95","",""
"470","0:32.0","N. Stauskas makes free throw 2 of 2","+1","107-95","",""
"471","0:17.0","","","107-95","","J. Nwora misses 3-pt jump shot from 26 ft"
"472","0:13.0","Defensive rebound by A. Nesmith","","107-95","",""
"473","0:06.0","Personal foul by R. Tucker (drawn by G. Williams)","","107-95","",""
"474","0:06.0","G. Williams misses free throw 1 of 2","","107-95","",""
"475","0:06.0","Offensive rebound by Team","","107-95","",""
"476","0:06.0","G. Williams makes free throw 2 of 2","+1","108-95","",""
"477","0:00.0","","","108-95","","L. Vildoza misses 3-pt jump shot from 28 ft"
"478","0:00.0","","","108-95","","Offensive rebound by Team"
"479","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
