"","Time","Utah","","Score","","Dallas"
"190","3:17.0","Offensive rebound by R. O'Neale","","32-41","",""
"191","3:10.0","B. Bogdanovic makes 3-pt jump shot from 23 ft (assist by R. O'Neale)","+3","35-41","",""
"192","2:47.0","","","35-41","","M. Kleber misses 2-pt jump shot from 7 ft"
"193","2:44.0","Defensive rebound by R. Gobert","","35-41","",""
"194","2:30.0","B. Bogdanovic makes 2-pt layup from 2 ft","+2","37-41","",""
"195","2:04.0","","","37-41","","J. Brunson misses 2-pt layup from 4 ft"
"196","2:02.0","Defensive rebound by R. Gobert","","37-41","",""
"197","1:57.0","M. Conley makes 2-pt layup from 5 ft","+2","39-41","",""
"198","1:39.0","","","39-41","","D. Finney-Smith misses 3-pt jump shot from 27 ft"
"199","1:37.0","Defensive rebound by R. O'Neale","","39-41","",""
"200","1:30.0","Personal foul by S. Dinwiddie (drawn by R. Gobert)","","39-41","",""
"201","1:30.0","Utah full timeout","","39-41","",""
"202","1:30.0","R. Gobert makes free throw 1 of 2","+1","40-41","",""
"203","1:30.0","R. Gobert misses free throw 2 of 2","","40-41","",""
"204","1:26.0","","","40-41","","Defensive rebound by M. Kleber"
"205","1:05.0","","","40-41","","Turnover by S. Dinwiddie (bad pass)"
"206","0:49.0","D. Mitchell misses 2-pt jump shot from 6 ft","","40-41","",""
"207","0:47.0","Offensive rebound by M. Conley","","40-41","",""
"208","0:46.0","Turnover by M. Conley (bad pass)","","40-41","",""
"209","0:35.0","","","40-41","","Turnover by S. Dinwiddie (lost ball; steal by M. Conley)"
"210","0:31.0","Shooting foul by M. Kleber (drawn by B. Bogdanovic)","","40-41","",""
"211","0:31.0","B. Bogdanovic makes free throw 1 of 2","+1","41-41","",""
"212","0:31.0","B. Bogdanovic makes free throw 2 of 2","+1","42-41","",""
"213","0:13.0","","","42-43","+2","J. Brunson makes 2-pt jump shot from 16 ft"
"214","0:02.0","B. Bogdanovic makes 3-pt jump shot from 25 ft (assist by D. Mitchell)","+3","45-43","",""
"215","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"216","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"217","Time","Utah","","Score","","Dallas"
"218","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"219","11:42.0","","","45-43","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"220","11:38.0","Defensive rebound by M. Conley","","45-43","",""
"221","11:21.0","D. Mitchell makes 2-pt jump shot from 16 ft","+2","47-43","",""
