"","Time","Dallas","","Score","","Golden State"
"200","3:22.0","L. Doncic makes free throw 2 of 2","+1","37-43","",""
"201","3:05.0","","","37-46","+3","J. Poole makes 3-pt jump shot from 27 ft (assist by A. Wiggins)"
"202","2:46.0","L. Doncic misses 3-pt jump shot from 28 ft","","37-46","",""
"203","2:44.0","","","37-46","","Defensive rebound by S. Curry"
"204","2:26.0","","","37-49","+3","A. Wiggins makes 3-pt jump shot from 27 ft (assist by S. Curry)"
"205","2:24.0","Dallas full timeout","","37-49","",""
"206","2:24.0","D. Powell enters the game for S. Dinwiddie","","37-49","",""
"207","2:11.0","L. Doncic makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","40-49","",""
"208","1:45.0","","","40-51","+2","S. Curry makes 2-pt layup from 6 ft"
"209","1:33.0","L. Doncic makes 3-pt jump shot from 27 ft (assist by R. Bullock)","+3","43-51","",""
"210","1:14.0","","","43-51","","A. Wiggins misses 3-pt jump shot from 28 ft"
"211","1:12.0","Defensive rebound by D. Powell","","43-51","",""
"212","0:56.0","L. Doncic misses 2-pt jump shot from 7 ft","","43-51","",""
"213","0:53.0","","","43-51","","Defensive rebound by K. Thompson"
"214","0:50.0","","","43-54","+3","S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson)"
"215","0:36.0","Personal foul by J. Poole (drawn by J. Brunson)","","43-54","",""
"216","0:36.0","J. Brunson misses free throw 1 of 2","","43-54","",""
"217","0:36.0","Offensive rebound by Team","","43-54","",""
"218","0:36.0","J. Brunson makes free throw 2 of 2","+1","44-54","",""
"219","0:29.0","","","44-54","","Turnover by A. Wiggins (traveling)"
"220","0:07.0","Shooting foul by S. Curry (drawn by L. Doncic)","","44-54","",""
"221","0:07.0","L. Doncic misses free throw 1 of 2","","44-54","",""
"222","0:07.0","Offensive rebound by Team","","44-54","",""
"223","0:07.0","F. Ntilikina enters the game for R. Bullock","","44-54","",""
"224","0:07.0","L. Doncic makes free throw 2 of 2","+1","45-54","",""
"225","0:04.0","","","45-54","","Personal take foul by J. Brunson (drawn by J. Poole)"
"226","0:04.0","","","45-54","","O. Porter enters the game for K. Looney"
"227","0:01.0","","","45-54","","J. Poole misses 3-pt jump shot from 34 ft"
"228","0:00.0","","","45-54","","Offensive rebound by Team"
"229","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"230","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"231","Time","Dallas","","Score","","Golden State"
"232","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"233","11:45.0","","","45-54","","D. Green misses 2-pt layup from 3 ft"
"234","11:43.0","Defensive rebound by L. Doncic","","45-54","",""
"235","11:23.0","D. Powell makes 2-pt dunk from 3 ft (assist by L. Doncic)","+2","47-54","",""
"236","11:11.0","","","47-56","+2","A. Wiggins makes 2-pt jump shot from 20 ft"
"237","10:47.0","Turnover by L. Doncic (lost ball; steal by S. Curry)","","47-56","",""
"238","10:42.0","","","47-59","+3","S. Curry makes 3-pt jump shot from 26 ft"
"239","10:27.0","Turnover by L. Doncic (lost ball; steal by D. Green)","","47-59","",""
"240","10:22.0","","","47-61","+2","K. Thompson makes 2-pt layup from 4 ft (assist by D. Green)"
"241","10:06.0","D. Powell misses 2-pt layup from 6 ft (block by A. Wiggins)","","47-61","",""
