"","Time","Chicago","","Score","","Milwaukee"
"221","0:54.0","","","40-57","+2","G. Antetokounmpo makes 2-pt jump shot from 11 ft"
"222","0:32.0","P. Williams makes 2-pt jump shot from 12 ft","+2","42-57","",""
"223","0:25.0","","","42-60","+3","G. Allen makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)"
"224","0:05.0","N. Vucevic misses 3-pt jump shot from 25 ft","","42-60","",""
"225","0:02.0","","","42-60","","Defensive rebound by J. Holiday"
"226","0:00.0","","","42-60","","J. Holiday misses 3-pt jump shot from 42 ft"
"227","0:00.0","","","42-60","","Offensive rebound by Team"
"228","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"229","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"230","Time","Chicago","","Score","","Milwaukee"
"231","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"232","11:43.0","D. DeRozan makes 2-pt jump shot from 18 ft","+2","44-60","",""
"233","11:36.0","","","44-62","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"234","11:18.0","J. Green misses 2-pt jump shot from 7 ft","","44-62","",""
"235","11:14.0","","","44-62","","Defensive rebound by G. Antetokounmpo"
"236","11:07.0","","","44-62","","J. Holiday misses 3-pt jump shot from 26 ft"
"237","11:07.0","Defensive rebound by Team","","44-62","",""
"238","10:58.0","N. Vucevic makes 3-pt jump shot from 27 ft (assist by A. Dosunmu)","+3","47-62","",""
"239","10:46.0","","","47-62","","Turnover by B. Portis (lost ball; steal by D. DeRozan)"
"240","10:36.0","Turnover by P. Williams (bad pass; steal by W. Matthews)","","47-62","",""
"241","10:31.0","","","47-62","","Shooting foul by A. Dosunmu (drawn by G. Antetokounmpo)"
"242","10:31.0","","","47-63","+1","G. Antetokounmpo makes free throw 1 of 2"
"243","10:31.0","","","47-64","+1","G. Antetokounmpo makes free throw 2 of 2"
"244","10:19.0","N. Vucevic makes 2-pt dunk from 3 ft (assist by D. DeRozan)","+2","49-64","",""
"245","9:59.0","","","49-66","+2","B. Portis makes 2-pt jump shot from 5 ft"
"246","9:47.0","A. Dosunmu makes 3-pt jump shot from 24 ft (assist by N. Vucevic)","+3","52-66","",""
"247","9:35.0","","","52-66","","J. Holiday misses 3-pt jump shot from 26 ft"
"248","9:32.0","Defensive rebound by A. Dosunmu","","52-66","",""
"249","9:32.0","A. Dosunmu makes 2-pt layup from 4 ft","+2","54-66","",""
"250","9:32.0","Shooting foul by W. Matthews (drawn by A. Dosunmu)","","54-66","",""
"251","9:32.0","A. Dosunmu makes free throw 1 of 1","+1","55-66","",""
"252","9:11.0","","","55-66","","B. Portis misses 2-pt jump shot from 15 ft"
"253","9:08.0","Defensive rebound by A. Dosunmu","","55-66","",""
"254","9:01.0","N. Vucevic misses 3-pt jump shot from 27 ft","","55-66","",""
"255","8:57.0","","","55-66","","Defensive rebound by B. Portis"
