"","Time","Milwaukee","","Score","","Boston"
"137","8:12.0","G. Antetokounmpo makes 2-pt dunk from 2 ft","+2","34-37","",""
"138","7:46.0","","","34-40","+3","D. White makes 3-pt jump shot from 26 ft (assist by A. Horford)"
"139","7:34.0","B. Portis makes 2-pt dunk from 1 ft (assist by G. Allen)","+2","36-40","",""
"140","7:15.0","","","36-40","","G. Williams misses 2-pt layup from 2 ft (block by G. Allen)"
"141","7:13.0","Defensive rebound by B. Portis","","36-40","",""
"142","7:07.0","W. Matthews misses 2-pt layup from 1 ft (block by A. Horford)","","36-40","",""
"143","7:05.0","Offensive rebound by W. Matthews","","36-40","",""
"144","7:05.0","G. Antetokounmpo makes 2-pt layup from 6 ft (assist by W. Matthews)","+2","38-40","",""
"145","7:05.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","38-40","",""
"146","7:05.0","","","38-40","","J. Brown enters the game for G. Williams"
"147","7:05.0","G. Antetokounmpo misses free throw 1 of 1","","38-40","",""
"148","7:05.0","","","38-40","","Defensive rebound by J. Brown"
"149","6:49.0","","","38-40","","P. Pritchard misses 3-pt jump shot from 23 ft"
"150","6:47.0","Defensive rebound by B. Portis","","38-40","",""
"151","6:41.0","Turnover by G. Antetokounmpo (traveling)","","38-40","",""
"152","6:41.0","B. Lopez enters the game for G. Antetokounmpo","","38-40","",""
"153","6:41.0","","","38-40","","M. Smart enters the game for P. Pritchard"
"154","6:23.0","","","38-40","","J. Brown misses 2-pt layup from 5 ft (block by J. Holiday)"
"155","6:23.0","Defensive rebound by J. Holiday","","38-40","",""
"156","6:15.0","G. Allen misses 2-pt layup from 3 ft","","38-40","",""
"157","6:13.0","Offensive rebound by B. Lopez","","38-40","",""
"158","6:13.0","B. Lopez misses 2-pt layup at rim","","38-40","",""
"159","6:12.0","","","38-40","","Defensive rebound by A. Horford"
"160","6:08.0","","","38-40","","Shooting foul by B. Portis (drawn by J. Tatum)"
"161","6:08.0","","","38-41","+1","J. Tatum makes free throw 1 of 2"
"162","6:08.0","G. Hill enters the game for B. Portis","","38-41","",""
"163","6:08.0","","","38-41","","D. Theis enters the game for A. Horford"
"164","6:08.0","","","38-42","+1","J. Tatum makes free throw 2 of 2"
"165","6:00.0","Turnover by J. Holiday (bad pass)","","38-42","",""
"166","6:00.0","P. Connaughton enters the game for G. Allen","","38-42","",""
