"","Time","Boston","","Score","","Milwaukee"
"208","2:47.0","","","52-39","+3","K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Portis)"
"209","2:29.0","P. Pritchard misses 3-pt jump shot from 26 ft","","52-39","",""
"210","2:26.0","Offensive rebound by J. Brown","","52-39","",""
"211","2:15.0","M. Smart misses 3-pt jump shot from 30 ft","","52-39","",""
"212","2:11.0","","","52-39","","Defensive rebound by P. Connaughton"
"213","2:07.0","","","52-39","","J. Holiday misses 2-pt layup from 3 ft"
"214","2:06.0","","","52-39","","Offensive rebound by B. Portis"
"215","2:06.0","","","52-39","","B. Portis misses 2-pt layup from 1 ft"
"216","2:03.0","","","52-39","","Offensive rebound by B. Portis"
"217","1:55.0","","","52-42","+3","K. Middleton makes 3-pt jump shot from 24 ft (assist by B. Portis)"
"218","1:55.0","Boston full timeout","","52-42","",""
"219","1:55.0","","","52-42","","W. Matthews enters the game for J. Holiday"
"220","1:43.0","M. Smart makes 3-pt jump shot from 27 ft (assist by J. Tatum)","+3","55-42","",""
"221","1:26.0","","","55-44","+2","B. Portis makes 2-pt hook shot from 7 ft"
"222","1:12.0","J. Tatum makes 3-pt jump shot from 28 ft (assist by M. Smart)","+3","58-44","",""
"223","0:54.0","","","58-44","","Turnover by B. Portis (lost ball; steal by M. Smart)"
"224","0:47.0","Shooting foul by G. Hill (drawn by J. Tatum)","","58-44","",""
"225","0:47.0","J. Tatum makes free throw 1 of 3","+1","59-44","",""
"226","0:47.0","J. Tatum misses free throw 2 of 3","","59-44","",""
"227","0:47.0","Offensive rebound by Team","","59-44","",""
"228","0:47.0","J. Tatum makes free throw 3 of 3","+1","60-44","",""
"229","0:26.0","","","60-44","","P. Connaughton misses 3-pt jump shot from 26 ft"
"230","0:24.0","","","60-44","","Offensive rebound by B. Portis"
"231","0:22.0","","","60-44","","B. Portis misses 2-pt jump shot from 6 ft (block by J. Brown)"
"232","0:22.0","Defensive rebound by Team","","60-44","",""
"233","0:22.0","","","60-44","","Loose ball foul by B. Portis (drawn by J. Brown)"
"234","0:22.0","J. Brown makes free throw 1 of 2","+1","61-44","",""
"235","0:22.0","J. Hernangómez enters the game for P. Pritchard","","61-44","",""
"236","0:22.0","","","61-44","","G. Allen enters the game for W. Matthews"
"237","0:22.0","J. Brown makes free throw 2 of 2","+1","62-44","",""
"238","0:00.0","","","62-47","+3","G. Hill makes 3-pt jump shot from 23 ft (assist by K. Middleton)"
"239","0:00.0","","","62-47","","Instant Replay (Request: Ruling Stands)"
"240","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"241","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"242","Time","Boston","","Score","","Milwaukee"
"243","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"244","11:43.0","","","62-47","","Shooting foul by J. Brown (drawn by D. Cousins)"
"245","11:43.0","","","62-47","","D. Cousins misses free throw 1 of 2"
"246","11:43.0","","","62-47","","Offensive rebound by Team"
"247","11:43.0","","","62-48","+1","D. Cousins makes free throw 2 of 2"
"248","11:29.0","M. Smart makes 3-pt jump shot from 26 ft (assist by R. Williams)","+3","65-48","",""
"249","11:22.0","","","65-48","","Shooting foul by R. Williams (drawn by G. Antetokounmpo)"
"250","11:22.0","","","65-49","+1","G. Antetokounmpo makes free throw 1 of 2"
"251","11:22.0","","","65-50","+1","G. Antetokounmpo makes free throw 2 of 2"
"252","11:10.0","Shooting foul by J. Holiday (drawn by R. Williams)","","65-50","",""
"253","11:10.0","R. Williams misses free throw 1 of 2","","65-50","",""
"254","11:10.0","Offensive rebound by Team","","65-50","",""
"255","11:10.0","R. Williams makes free throw 2 of 2","+1","66-50","",""
"256","11:02.0","Violation by Team (kicked ball)","","66-50","",""
"257","10:50.0","","","66-52","+2","G. Antetokounmpo makes 2-pt jump shot from 16 ft (assist by G. Allen)"
"258","10:42.0","Personal foul by D. Cousins (drawn by R. Williams)","","66-52","",""
"259","10:35.0","J. Brown misses 2-pt jump shot from 9 ft","","66-52","",""
"260","10:32.0","","","66-52","","Defensive rebound by G. Allen"
"261","10:31.0","","","66-54","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"262","10:31.0","","","66-54","","Shooting foul by M. Smart (drawn by G. Antetokounmpo)"
"263","10:31.0","","","66-55","+1","G. Antetokounmpo makes free throw 1 of 1"
"264","10:20.0","M. Smart makes 3-pt jump shot from 27 ft (assist by R. Williams)","+3","69-55","",""
"265","10:01.0","","","69-57","+2","G. Antetokounmpo makes 2-pt dunk from 1 ft"
"266","9:47.0","M. Smart makes 2-pt jump shot from 11 ft","+2","71-57","",""
"267","9:30.0","","","71-59","+2","J. Holiday makes 2-pt layup from 4 ft (assist by G. Antetokounmpo)"
"268","9:20.0","J. Brown misses 3-pt jump shot from 28 ft","","71-59","",""
"269","9:16.0","","","71-59","","Defensive rebound by D. Cousins"
"270","9:10.0","","","71-61","+2","J. Holiday makes 2-pt layup from 5 ft (assist by K. Middleton)"
"271","9:10.0","Boston full timeout","","71-61","",""
"272","8:52.0","R. Williams misses 2-pt dunk from 5 ft (block by G. Antetokounmpo)","","71-61","",""
"273","8:49.0","","","71-61","","Defensive rebound by G. Antetokounmpo"
"274","8:47.0","","","71-63","+2","G. Antetokounmpo makes 2-pt layup from 2 ft"
"275","8:47.0","","","71-63","","Shooting foul by M. Smart (drawn by G. Antetokounmpo)"
"276","8:47.0","Boston full timeout","","71-63","",""
"277","8:47.0","Instant Replay (Challenge: Ruling Stands)","","71-63","",""
"278","8:47.0","","","71-63","","G. Antetokounmpo misses free throw 1 of 1"
"279","8:43.0","Defensive rebound by R. Williams","","71-63","",""
"280","8:35.0","Turnover by J. Brown (bad pass)","","71-63","",""
"281","8:20.0","","","71-63","","Turnover by K. Middleton (bad pass; steal by J. Brown)"
"282","8:13.0","J. Tatum misses 3-pt jump shot from 24 ft","","71-63","",""
"283","8:09.0","","","71-63","","Defensive rebound by J. Holiday"
"284","7:57.0","","","71-63","","Shooting foul by J. Brown (drawn by G. Antetokounmpo)"
"285","7:57.0","","","71-64","+1","G. Antetokounmpo makes free throw 1 of 2"
"286","7:57.0","","","71-65","+1","G. Antetokounmpo makes free throw 2 of 2"
"287","7:49.0","R. Williams makes 2-pt dunk from 1 ft (assist by M. Smart)","+2","73-65","",""
"288","7:38.0","","","73-65","","G. Antetokounmpo misses 3-pt jump shot from 28 ft"
"289","7:38.0","Defensive rebound by Team","","73-65","",""
"290","7:38.0","","","73-65","","Loose ball foul by D. Cousins (drawn by R. Williams)"
"291","7:26.0","J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart)","+3","76-65","",""
"292","7:07.0","","","76-65","","D. Cousins misses 2-pt layup from 3 ft (block by R. Langford)"
"293","7:03.0","Defensive rebound by J. Tatum","","76-65","",""
"294","6:56.0","J. Tatum misses 2-pt jump shot from 17 ft","","76-65","",""
"295","6:53.0","Offensive rebound by R. Williams","","76-65","",""
"296","6:53.0","R. Williams makes 2-pt dunk at rim","+2","78-65","",""
"297","6:30.0","","","78-68","+3","J. Holiday makes 3-pt jump shot from 27 ft (assist by G. Allen)"
"298","6:16.0","J. Tatum misses 2-pt jump shot from 18 ft","","78-68","",""
"299","6:12.0","","","78-68","","Defensive rebound by D. Cousins"
"300","6:09.0","","","78-68","","Turnover by K. Middleton (out of bounds lost ball)"
"301","6:09.0","","","78-68","","D. DiVincenzo enters the game for G. Antetokounmpo"
"302","6:09.0","","","78-68","","B. Portis enters the game for D. Cousins"
"303","5:57.0","J. Tatum misses 3-pt jump shot from 23 ft","","78-68","",""
"304","5:51.0","Offensive rebound by R. Williams","","78-68","",""
"305","5:50.0","J. Tatum makes 2-pt dunk from 2 ft (assist by R. Williams)","+2","80-68","",""
"306","5:39.0","","","80-70","+2","J. Holiday makes 2-pt layup from 4 ft"
"307","5:23.0","M. Smart misses 3-pt jump shot from 26 ft","","80-70","",""
"308","5:21.0","","","80-70","","Defensive rebound by K. Middleton"
"309","5:08.0","","","80-73","+3","D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by K. Middleton)"
"310","4:45.0","M. Smart misses 3-pt jump shot from 23 ft","","80-73","",""
"311","4:45.0","","","80-73","","Defensive rebound by Team"
"312","4:45.0","Loose ball foul by R. Langford (drawn by B. Portis)","","80-73","",""
"313","4:45.0","","","80-74","+1","B. Portis makes free throw 1 of 2"
"314","4:45.0","J. Hernangómez enters the game for R. Langford","","80-74","",""
"315","4:45.0","P. Pritchard enters the game for J. Tatum","","80-74","",""
"316","4:45.0","","","80-74","","P. Connaughton enters the game for G. Allen"
"317","4:45.0","","","80-75","+1","B. Portis makes free throw 2 of 2"
"318","4:34.0","Turnover by J. Brown (lost ball; steal by J. Holiday)","","80-75","",""
"319","4:28.0","","","80-77","+2","J. Holiday makes 2-pt layup from 1 ft (assist by K. Middleton)"
"320","4:24.0","Shooting foul by B. Portis (drawn by J. Brown)","","80-77","",""
"321","4:24.0","J. Brown makes free throw 1 of 2","+1","81-77","",""
"322","4:24.0","J. Brown makes free throw 2 of 2","+1","82-77","",""
"323","4:09.0","","","82-80","+3","P. Connaughton makes 3-pt jump shot from 24 ft (assist by B. Portis)"
"324","3:55.0","J. Hernangómez misses 3-pt jump shot from 23 ft","","82-80","",""
"325","3:51.0","Offensive rebound by R. Williams","","82-80","",""
"326","3:51.0","R. Williams makes 2-pt layup at rim","+2","84-80","",""
"327","3:40.0","","","84-83","+3","K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Portis)"
"328","3:31.0","P. Pritchard makes 3-pt jump shot from 26 ft (assist by J. Hernangómez)","+3","87-83","",""
"329","3:18.0","","","87-83","","B. Portis misses 2-pt hook shot from 12 ft"
"330","3:16.0","Defensive rebound by J. Brown","","87-83","",""
"331","3:09.0","M. Smart makes 2-pt jump shot from 9 ft","+2","89-83","",""
