"","Time","Milwaukee","","Score","","Chicago"
"328","1:52.0","","","82-66","+1","D. DeRozan makes free throw 1 of 2"
"329","1:52.0","B. Portis enters the game for B. Lopez","","82-66","",""
"330","1:52.0","","","82-67","+1","D. DeRozan makes free throw 2 of 2"
"331","1:40.0","G. Allen makes 2-pt jump shot from 1 ft","+2","84-67","",""
"332","1:40.0","Shooting foul by J. Green (drawn by G. Allen)","","84-67","",""
"333","1:40.0","G. Allen makes free throw 1 of 1","+1","85-67","",""
"334","1:22.0","","","85-69","+2","D. DeRozan makes 2-pt jump shot from 14 ft (assist by C. White)"
"335","1:10.0","J. Holiday misses 3-pt jump shot from 28 ft","","85-69","",""
"336","1:06.0","","","85-69","","Defensive rebound by N. Vucevic"
"337","0:55.0","","","85-69","","C. White misses 2-pt jump shot from 15 ft"
"338","0:54.0","","","85-69","","Offensive rebound by J. Green"
"339","0:53.0","","","85-69","","J. Green misses 2-pt layup at rim"
"340","0:53.0","","","85-69","","Offensive rebound by J. Green"
"341","0:53.0","","","85-69","","J. Green misses 2-pt layup at rim"
"342","0:53.0","Defensive rebound by J. Carter","","85-69","",""
"343","0:49.0","Turnover by J. Carter (lost ball; steal by J. Green)","","85-69","",""
"344","0:43.0","","","85-71","+2","Z. LaVine makes 2-pt layup from 1 ft (assist by C. White)"
"345","0:43.0","","","85-71","","Shooting foul by J. Carter (drawn by Z. LaVine)"
"346","0:43.0","","","85-71","","P. Williams enters the game for J. Green"
