"","Time","Boston","","Score","","Miami"
"275","6:17.0","Technical foul by J. Tatum","","62-46","",""
"276","6:17.0","","","62-47","+1","D. Robinson makes technical free throw"
"277","5:58.0","","","62-47","","D. Robinson misses 3-pt jump shot from 25 ft"
"278","5:55.0","","","62-47","","Offensive rebound by J. Butler"
"279","5:52.0","","","62-47","","J. Butler misses 3-pt jump shot from 25 ft"
"280","5:48.0","Defensive rebound by G. Williams","","62-47","",""
"281","5:44.0","Jump ball: G. Williams vs. P. Tucker (G. Williams gains possession)","Jump ball: G. Williams vs. P. Tucker (G. Williams gains possession)","Jump ball: G. Williams vs. P. Tucker (G. Williams gains possession)","Jump ball: G. Williams vs. P. Tucker (G. Williams gains possession)","Jump ball: G. Williams vs. P. Tucker (G. Williams gains possession)"
"282","5:40.0","Turnover by G. Williams (bad pass; steal by K. Lowry)","","62-47","",""
"283","5:34.0","","","62-50","+3","K. Lowry makes 3-pt jump shot from 25 ft"
"284","5:34.0","Boston full timeout","","62-50","",""
"285","5:34.0","R. Langford enters the game for G. Williams","","62-50","",""
"286","5:18.0","J. Brown misses 2-pt jump shot from 21 ft","","62-50","",""
"287","5:15.0","Offensive rebound by R. Williams","","62-50","",""
"288","5:11.0","J. Brown misses 3-pt jump shot from 27 ft","","62-50","",""
"289","5:05.0","","","62-50","","Defensive rebound by K. Lowry"
"290","5:03.0","","","62-50","","K. Lowry misses 3-pt jump shot from 26 ft"
"291","5:02.0","","","62-50","","Offensive rebound by Team"
"292","5:02.0","Loose ball foul by J. Brown (drawn by P. Tucker)","","62-50","",""
"293","5:02.0","","","62-50","","T. Herro enters the game for D. Robinson"
"294","4:50.0","","","62-50","","B. Adebayo misses 2-pt hook shot from 8 ft"
"295","4:46.0","Defensive rebound by J. Brown","","62-50","",""
"296","4:36.0","D. Schröder misses 2-pt layup from 5 ft","","62-50","",""
"297","4:35.0","","","62-50","","Turnover by B. Adebayo (step out of bounds)"
"298","4:35.0","","","62-50","","Defensive rebound by B. Adebayo"
"299","4:35.0","","","62-50","","D. Dedmon enters the game for B. Adebayo"
"300","4:19.0","R. Williams misses 2-pt jump shot from 1 ft","","62-50","",""
"301","4:15.0","Offensive rebound by D. Schröder","","62-50","",""
"302","4:12.0","J. Brown misses 2-pt jump shot from 21 ft","","62-50","",""
"303","4:08.0","","","62-50","","Defensive rebound by K. Lowry"
"304","4:01.0","","","62-52","+2","J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry)"
"305","4:01.0","A. Horford enters the game for M. Smart","","62-52","",""
"306","4:01.0","A. Nesmith enters the game for R. Williams","","62-52","",""
"307","3:43.0","Shooting foul by T. Herro (drawn by R. Langford)","","62-52","",""
"308","3:43.0","R. Langford makes free throw 1 of 2","+1","63-52","",""
"309","3:43.0","R. Langford makes free throw 2 of 2","+1","64-52","",""
"310","3:26.0","","","64-52","","T. Herro misses 3-pt jump shot from 26 ft"
"311","3:26.0","","","64-52","","Offensive rebound by Team"
"312","3:22.0","","","64-54","+2","J. Butler makes 2-pt layup from 1 ft (assist by K. Lowry)"
"313","3:07.0","Personal foul by J. Butler (drawn by J. Brown)","","64-54","",""
"314","3:01.0","Turnover by D. Schröder (traveling)","","64-54","",""
"315","2:49.0","","","64-54","","Shooting foul by R. Langford (drawn by J. Butler)"
"316","2:49.0","","","64-55","+1","J. Butler makes free throw 1 of 2"
"317","2:49.0","","","64-55","","D. Robinson enters the game for K. Lowry"
"318","2:49.0","","","64-55","","J. Butler misses free throw 2 of 2"
"319","2:44.0","Defensive rebound by D. Schröder","","64-55","",""
"320","2:32.0","J. Brown misses 2-pt jump shot from 7 ft","","64-55","",""
"321","2:30.0","","","64-55","","Defensive rebound by T. Herro"
"322","2:30.0","Technical foul by M. Smart","","64-55","",""
"323","2:30.0","","","64-56","+1","J. Butler makes technical free throw"
"324","2:19.0","","","64-56","","J. Butler misses 3-pt jump shot from 24 ft"
"325","2:13.0","","","64-56","","Offensive rebound by P. Tucker"
"326","2:12.0","","","64-56","","Turnover by P. Tucker (lost ball; steal by D. Schröder)"
"327","2:07.0","D. Schröder makes 2-pt layup from 1 ft","+2","66-56","",""
"328","2:00.0","","","66-56","","D. Robinson misses 3-pt jump shot from 27 ft"
"329","1:56.0","Defensive rebound by J. Brown","","66-56","",""
"330","1:45.0","A. Horford misses 3-pt jump shot from 25 ft","","66-56","",""
"331","1:43.0","","","66-56","","Defensive rebound by P. Tucker"
"332","1:27.0","","","66-56","","D. Robinson misses 3-pt jump shot from 22 ft"
"333","1:25.0","Defensive rebound by J. Brown","","66-56","",""
"334","1:10.0","R. Langford makes 3-pt jump shot from 25 ft (assist by A. Nesmith)","+3","69-56","",""
"335","0:48.0","","","69-56","","T. Herro misses 3-pt jump shot from 26 ft"
"336","0:45.0","Defensive rebound by D. Schröder","","69-56","",""
"337","0:42.0","Away from play foul by T. Herro (drawn by J. Brown)","","69-56","",""
"338","0:42.0","J. Brown makes free throw 1 of 1","+1","70-56","",""
"339","0:42.0","","","70-56","","B. Adebayo enters the game for J. Butler"
"340","0:42.0","","","70-56","","K. Lowry enters the game for D. Dedmon"
"341","0:42.0","","","70-56","","M. Morris enters the game for P. Tucker"
"342","0:38.0","A. Horford makes 2-pt dunk from 1 ft","+2","72-56","",""
"343","0:38.0","Shooting foul by M. Morris (drawn by A. Horford)","","72-56","",""
"344","0:38.0","A. Horford misses free throw 1 of 1","","72-56","",""
"345","0:38.0","","","72-56","","Defensive rebound by Team"
"346","0:38.0","Loose ball foul by A. Nesmith (drawn by B. Adebayo)","","72-56","",""
"347","0:38.0","","","72-56","","B. Adebayo misses free throw 1 of 2"
"348","0:38.0","","","72-56","","Offensive rebound by Team"
"349","0:38.0","","","72-57","+1","B. Adebayo makes free throw 2 of 2"
"350","0:32.0","D. Schröder makes 2-pt layup from 2 ft","+2","74-57","",""
"351","0:32.0","Shooting foul by D. Robinson (drawn by D. Schröder)","","74-57","",""
"352","0:32.0","D. Schröder makes free throw 1 of 1","+1","75-57","",""
"353","0:19.0","","","75-57","","Turnover by K. Lowry (bad pass; steal by D. Schröder)"
"354","0:13.0","A. Nesmith misses 2-pt layup from 2 ft","","75-57","",""
"355","0:09.0","Offensive rebound by A. Horford","","75-57","",""
"356","0:03.0","R. Langford misses 3-pt jump shot from 23 ft","","75-57","",""
"357","0:00.0","Offensive rebound by Team","","75-57","",""
"358","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"359","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"360","Time","Boston","","Score","","Miami"
