"","Time","Phoenix","","Score","","Dallas"
"351","7:52.0","D. Booker makes 3-pt jump shot from 25 ft (assist by C. Paul)","+3","76-90","",""
"352","7:29.0","","","76-90","","J. Brunson misses 2-pt jump shot from 9 ft"
"353","7:27.0","Defensive rebound by C. Paul","","76-90","",""
"354","7:22.0","C. Paul makes 2-pt jump shot from 16 ft","+2","78-90","",""
"355","7:22.0","","","78-90","","Dallas full timeout"
"356","7:22.0","","","78-90","","M. Kleber enters the game for S. Dinwiddie"
"357","7:05.0","","","78-92","+2","M. Kleber makes 2-pt layup from 1 ft (assist by J. Brunson)"
"358","6:40.0","Turnover by J. Crowder (bad pass; steal by R. Bullock)","","78-92","",""
"359","6:36.0","","","78-92","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"360","6:33.0","Defensive rebound by J. Crowder","","78-92","",""
"361","6:23.0","D. Ayton makes 2-pt layup at rim (assist by C. Paul)","+2","80-92","",""
"362","5:53.0","","","80-92","","M. Kleber misses 3-pt jump shot from 25 ft"
"363","5:50.0","","","80-92","","Offensive rebound by Team"
"364","5:39.0","","","80-95","+3","R. Bullock makes 3-pt jump shot from 30 ft (assist by J. Brunson)"
"365","5:19.0","D. Booker misses 2-pt layup from 2 ft (block by M. Kleber)","","80-95","",""
"366","5:19.0","Offensive rebound by D. Ayton","","80-95","",""
"367","5:18.0","D. Ayton makes 2-pt layup at rim","+2","82-95","",""
"368","5:18.0","Violation by Team (delay of game)","","82-95","",""
"369","5:07.0","","","82-95","","Turnover by D. Finney-Smith (lost ball; steal by M. Bridges)"
"370","5:04.0","M. Bridges makes 2-pt layup from 1 ft","+2","84-95","",""
"371","4:41.0","","","84-95","","R. Bullock misses 3-pt jump shot from 25 ft"
"372","4:41.0","","","84-95","","Offensive rebound by Team"
"373","4:41.0","","","84-95","","L. Doncic enters the game for F. Ntilikina"
"374","4:25.0","","","84-95","","R. Bullock misses 3-pt jump shot from 22 ft"
"375","4:23.0","Defensive rebound by J. Crowder","","84-95","",""
"376","4:11.0","Shooting foul by M. Kleber (drawn by M. Bridges)","","84-95","",""
"377","4:11.0","M. Bridges makes free throw 1 of 2","+1","85-95","",""
"378","4:11.0","M. Bridges makes free throw 2 of 2","+1","86-95","",""
"379","4:01.0","","","86-95","","Shooting foul by C. Paul (drawn by J. Brunson)"
"380","4:01.0","","","86-96","+1","J. Brunson makes free throw 1 of 2"
"381","4:01.0","Phoenix full timeout","","86-96","",""
"382","4:01.0","","","86-97","+1","J. Brunson makes free throw 2 of 2"
"383","3:40.0","J. Crowder misses 3-pt jump shot from 25 ft","","86-97","",""
"384","3:37.0","","","86-97","","Defensive rebound by L. Doncic"
"385","3:13.0","","","86-97","","D. Finney-Smith misses 2-pt hook shot from 5 ft"
"386","3:11.0","Defensive rebound by D. Ayton","","86-97","",""
"387","2:56.0","M. Bridges misses 2-pt layup from 5 ft","","86-97","",""
"388","2:53.0","Offensive rebound by D. Ayton","","86-97","",""
"389","2:52.0","D. Ayton misses 2-pt layup at rim","","86-97","",""
"390","2:52.0","","","86-97","","Defensive rebound by M. Kleber"
"391","2:30.0","","","86-99","+2","J. Brunson makes 2-pt layup from 4 ft (assist by R. Bullock)"
"392","2:07.0","C. Paul makes 3-pt jump shot from 25 ft","+3","89-99","",""
"393","1:45.0","","","89-99","","Personal foul by M. Bridges (drawn by J. Brunson)"
"394","1:32.0","","","89-99","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"395","1:29.0","Defensive rebound by C. Paul","","89-99","",""
"396","1:09.0","M. Bridges makes 2-pt layup from 2 ft (assist by J. Crowder)","+2","91-99","",""
"397","0:55.0","","","91-102","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"398","0:55.0","Phoenix full timeout","","91-102","",""
"399","0:49.0","C. Paul misses 2-pt jump shot from 13 ft","","91-102","",""
"400","0:45.0","Offensive rebound by C. Paul","","91-102","",""
"401","0:42.0","Turnover by M. Bridges (bad pass; steal by L. Doncic)","","91-102","",""
"402","0:40.0","","","91-102","","Personal take foul by J. Crowder (drawn by L. Doncic)"
"403","0:40.0","","","91-102","","L. Doncic misses free throw 1 of 2"
"404","0:40.0","","","91-102","","Offensive rebound by Team"
"405","0:40.0","","","91-103","+1","L. Doncic makes free throw 2 of 2"
"406","0:40.0","A. Holiday enters the game for D. Ayton","","91-103","",""
"407","0:40.0","C. Johnson enters the game for D. Booker","","91-103","",""
"408","0:40.0","C. Payne enters the game for M. Bridges","","91-103","",""
"409","0:40.0","L. Shamet enters the game for J. Crowder","","91-103","",""
"410","0:40.0","I. Wainright enters the game for C. Paul","","91-103","",""
"411","0:31.0","C. Payne misses 3-pt jump shot from 24 ft","","91-103","",""
"412","0:28.0","","","91-103","","Defensive rebound by R. Bullock"
"413","0:11.0","","","91-103","","Offensive foul by J. Brunson (drawn by C. Payne)"
"414","0:11.0","","","91-103","","Turnover by J. Brunson (offensive foul)"
"415","0:11.0","","","91-103","","S. Brown enters the game for R. Bullock"
"416","0:11.0","","","91-103","","T. Burke enters the game for L. Doncic"
"417","0:11.0","","","91-103","","F. Ntilikina enters the game for D. Finney-Smith"
"418","0:11.0","","","91-103","","D. Powell enters the game for M. Kleber"
"419","0:06.0","A. Holiday misses 3-pt jump shot from 25 ft","","91-103","",""
"420","0:03.0","Offensive rebound by L. Shamet","","91-103","",""
"421","0:02.0","L. Shamet makes 3-pt jump shot from 23 ft","+3","94-103","",""
"422","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
