"","Time","New Orleans","","Score","","Phoenix"
"353","0:28.0","L. Nance makes free throw 1 of 2","+1","69-76","",""
"354","0:28.0","L. Nance misses free throw 2 of 2","","69-76","",""
"355","0:26.0","","","69-76","","Defensive rebound by D. Booker"
"356","0:06.0","","","69-76","","D. Booker misses 3-pt jump shot from 26 ft"
"357","0:04.0","","","69-76","","Offensive rebound by C. Johnson"
"358","0:04.0","","","69-78","+2","C. Johnson makes 2-pt layup from 1 ft"
"359","0:04.0","","","69-78","","Shooting foul by T. Murphy (drawn by C. Johnson)"
"360","0:04.0","","","69-78","","M. Bridges enters the game for C. Payne"
"361","0:04.0","","","69-79","+1","C. Johnson makes free throw 1 of 1"
"362","0:04.0","Turnover by N. Marshall (bad pass; steal by T. Craig)","","69-79","",""
"363","0:03.0","","","69-79","","Turnover by T. Craig (lost ball; steal by L. Nance)"
"364","0:00.0","L. Nance makes 2-pt layup from 1 ft","+2","71-79","",""
"365","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"366","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"367","Time","New Orleans","","Score","","Phoenix"
"368","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"369","11:41.0","","","71-79","","Shooting foul by D. Graham (drawn by J. McGee)"
"370","11:41.0","","","71-79","","J. McGee misses free throw 1 of 2"
"371","11:41.0","","","71-79","","Offensive rebound by Team"
"372","11:41.0","","","71-80","+1","J. McGee makes free throw 2 of 2"
"373","11:27.0","C. McCollum makes 2-pt jump shot from 16 ft (assist by L. Nance)","+2","73-80","",""
"374","11:15.0","","","73-80","","Shooting foul by D. Graham (drawn by C. Paul)"
"375","11:15.0","","","73-81","+1","C. Paul makes free throw 1 of 2"
"376","11:15.0","","","73-82","+1","C. Paul makes free throw 2 of 2"
"377","10:58.0","C. McCollum makes 2-pt jump shot from 19 ft (assist by L. Nance)","+2","75-82","",""
"378","10:41.0","","","75-85","+3","C. Paul makes 3-pt jump shot from 27 ft"
"379","10:20.0","C. McCollum makes 3-pt jump shot from 27 ft (assist by L. Nance)","+3","78-85","",""
"380","10:05.0","","","78-87","+2","J. McGee makes 2-pt dunk from 1 ft (assist by C. Paul)"
"381","9:41.0","L. Nance makes 3-pt jump shot from 28 ft (assist by C. McCollum)","+3","81-87","",""
"382","9:26.0","","","81-90","+3","C. Paul makes 3-pt jump shot from 28 ft"
"383","9:02.0","L. Nance makes 2-pt dunk from 1 ft (assist by N. Marshall)","+2","83-90","",""
"384","8:45.0","","","83-93","+3","C. Paul makes 3-pt jump shot from 27 ft"
"385","8:23.0","C. McCollum misses 2-pt jump shot from 15 ft","","83-93","",""
"386","8:19.0","","","83-93","","Defensive rebound by J. McGee"
"387","8:03.0","","","83-95","+2","C. Paul makes 2-pt layup from 1 ft"
"388","8:03.0","New Orleans full timeout","","83-95","",""
"389","8:03.0","J. Alvarado enters the game for D. Graham","","83-95","",""
"390","8:03.0","B. Ingram enters the game for N. Marshall","","83-95","",""
"391","8:03.0","H. Jones enters the game for T. Murphy","","83-95","",""
"392","8:03.0","J. Valanciunas enters the game for L. Nance","","83-95","",""
"393","8:03.0","","","83-95","","D. Ayton enters the game for D. Booker"
"394","8:03.0","","","83-95","","M. Bridges enters the game for T. Craig"
"395","8:03.0","","","83-95","","J. Crowder enters the game for J. McGee"
"396","7:40.0","Turnover by H. Jones (bad pass)","","83-95","",""
"397","7:26.0","","","83-97","+2","C. Paul makes 2-pt jump shot from 5 ft"
"398","7:09.0","C. McCollum makes 2-pt layup from 3 ft","+2","85-97","",""
"399","6:50.0","","","85-97","","Turnover by D. Ayton (lost ball; steal by C. McCollum)"
"400","6:47.0","Turnover by B. Ingram (bad pass; steal by C. Paul)","","85-97","",""
"401","6:47.0","","","85-97","","Personal take foul by C. McCollum (drawn by C. Paul)"
"402","6:30.0","","","85-97","","D. Ayton misses 2-pt jump shot from 17 ft"
"403","6:27.0","Defensive rebound by J. Valanciunas","","85-97","",""
"404","6:24.0","Personal foul by C. Paul (drawn by C. McCollum)","","85-97","",""
"405","6:24.0","","","85-97","","D. Booker enters the game for C. Johnson"
"406","6:09.0","H. Jones misses 2-pt layup from 3 ft","","85-97","",""
"407","6:06.0","","","85-97","","Defensive rebound by M. Bridges"
"408","6:01.0","","","85-99","+2","C. Paul makes 2-pt layup from 1 ft"
"409","5:35.0","J. Alvarado misses 2-pt layup from 2 ft","","85-99","",""
"410","5:35.0","","","85-99","","Defensive rebound by Team"
"411","5:35.0","","","85-99","","Phoenix full timeout"
"412","5:35.0","T. Murphy enters the game for J. Alvarado","","85-99","",""
"413","5:20.0","","","85-101","+2","M. Bridges makes 2-pt jump shot from 14 ft (assist by D. Booker)"
"414","5:03.0","Turnover by C. McCollum (out of bounds lost ball)","","85-101","",""
"415","4:51.0","","","85-101","","D. Ayton misses 2-pt jump shot from 11 ft"
"416","4:50.0","","","85-101","","Offensive rebound by D. Ayton"
"417","4:48.0","","","85-103","+2","D. Ayton makes 2-pt layup from 3 ft"
"418","4:25.0","Shooting foul by M. Bridges (drawn by C. McCollum)","","85-103","",""
"419","4:25.0","","","85-103","","Technical foul by M. Bridges"
"420","4:25.0","B. Ingram makes technical free throw","+1","86-103","",""
"421","4:25.0","C. McCollum misses free throw 1 of 2","","86-103","",""
"422","4:25.0","Offensive rebound by Team","","86-103","",""
"423","4:25.0","C. McCollum makes free throw 2 of 2","+1","87-103","",""
"424","4:10.0","","","87-103","","M. Bridges misses 2-pt jump shot from 4 ft"
"425","4:07.0","Defensive rebound by J. Valanciunas","","87-103","",""
"426","3:54.0","C. McCollum makes 2-pt jump shot from 11 ft","+2","89-103","",""
"427","3:53.0","","","89-103","","Phoenix full timeout"
"428","3:40.0","","","89-103","","Shooting foul by J. Valanciunas (drawn by M. Bridges)"
"429","3:40.0","","","89-104","+1","M. Bridges makes free throw 1 of 2"
"430","3:40.0","","","89-104","","M. Bridges misses free throw 2 of 2"
"431","3:38.0","Defensive rebound by J. Valanciunas","","89-104","",""
"432","3:25.0","J. Valanciunas makes 2-pt dunk from 1 ft (assist by C. McCollum)","+2","91-104","",""
"433","3:13.0","Instant Replay","","91-104","",""
"434","3:00.0","","","91-104","","D. Booker misses 3-pt jump shot from 28 ft"
"435","3:00.0","","","91-104","","Offensive rebound by Team"
"436","3:00.0","","","91-104","","Turnover by Team (shot clock)"
"437","2:48.0","B. Ingram misses 3-pt jump shot from 26 ft","","91-104","",""
"438","2:45.0","Offensive rebound by T. Murphy","","91-104","",""
"439","2:43.0","J. Valanciunas makes 2-pt layup from 2 ft (assist by B. Ingram)","+2","93-104","",""
"440","2:43.0","Shooting foul by D. Ayton (drawn by J. Valanciunas)","","93-104","",""
"441","2:43.0","J. Valanciunas makes free throw 1 of 1","+1","94-104","",""
"442","2:28.0","","","94-104","","Personal foul by B. Ingram (drawn by D. Booker)"
"443","2:28.0","","","94-105","+1","D. Booker makes free throw 1 of 2"
"444","2:28.0","","","94-106","+1","D. Booker makes free throw 2 of 2"
"445","2:21.0","C. McCollum misses 3-pt jump shot from 27 ft","","94-106","",""
"446","2:17.0","","","94-106","","Defensive rebound by M. Bridges"
"447","2:05.0","","","94-106","","M. Bridges misses 3-pt jump shot from 24 ft"
"448","2:03.0","Defensive rebound by J. Valanciunas","","94-106","",""
"449","1:44.0","T. Murphy makes 3-pt jump shot from 24 ft (assist by J. Valanciunas)","+3","97-106","",""
"450","1:19.0","","","97-108","+2","M. Bridges makes 2-pt layup from 3 ft (assist by C. Paul)"
"451","1:03.0","B. Ingram misses 2-pt jump shot from 5 ft","","97-108","",""
"452","1:02.0","Offensive rebound by B. Ingram","","97-108","",""
"453","1:01.0","B. Ingram misses 2-pt layup from 5 ft","","97-108","",""
"454","1:01.0","Offensive rebound by J. Valanciunas","","97-108","",""
"455","1:00.0","J. Valanciunas makes 2-pt layup from 1 ft","+2","99-108","",""
"456","0:39.0","","","99-110","+2","C. Paul makes 2-pt jump shot from 8 ft"
"457","0:30.0","C. McCollum misses 2-pt layup from 3 ft","","99-110","",""
"458","0:27.0","Offensive rebound by J. Valanciunas","","99-110","",""
"459","0:27.0","J. Valanciunas misses 2-pt layup from 3 ft","","99-110","",""
"460","0:27.0","","","99-110","","Defensive rebound by D. Ayton"
"461","0:04.0","","","99-110","","C. Paul misses 3-pt jump shot from 26 ft"
"462","0:01.0","Defensive rebound by J. Valanciunas","","99-110","",""
"463","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
