"","Time","Phoenix","","Score","","Dallas"
"263","8:15.0","","","55-63","+2","J. Brunson makes 2-pt jump shot from 9 ft"
"264","8:00.0","J. McGee makes 2-pt layup from 1 ft (assist by D. Booker)","+2","57-63","",""
"265","7:39.0","","","57-63","","Turnover by L. Doncic (bad pass)"
"266","7:24.0","M. Bridges misses 3-pt jump shot from 24 ft","","57-63","",""
"267","7:21.0","","","57-63","","Defensive rebound by K. Porzingis"
"268","7:15.0","","","57-65","+2","L. Doncic makes 2-pt jump shot from 3 ft"
"269","7:15.0","","","57-65","","Shooting foul by M. Bridges (drawn by L. Doncic)"
"270","7:15.0","","","57-66","+1","L. Doncic makes free throw 1 of 1"
"271","7:01.0","Shooting foul by M. Kleber (drawn by J. McGee)","","57-66","",""
"272","7:01.0","J. McGee makes free throw 1 of 2","+1","58-66","",""
"273","7:01.0","J. McGee makes free throw 2 of 2","+1","59-66","",""
"274","6:43.0","","","59-66","","L. Doncic misses 3-pt jump shot from 25 ft"
"275","6:38.0","Defensive rebound by M. Bridges","","59-66","",""
"276","6:34.0","D. Booker makes 2-pt layup from 2 ft (assist by C. Paul)","+2","61-66","",""
"277","6:18.0","","","61-68","+2","K. Porzingis makes 2-pt jump shot from 9 ft (assist by M. Kleber)"
"278","6:03.0","Shooting foul by J. Brunson (drawn by J. Crowder)","","61-68","",""
"279","6:03.0","","","61-68","","Dallas full timeout"
"280","6:03.0","","","61-68","","T. Hardaway enters the game for J. Brunson"
"281","6:03.0","","","61-68","","D. Powell enters the game for K. Porzingis"
"282","6:03.0","J. Crowder makes free throw 1 of 2","+1","62-68","",""
"283","6:03.0","J. Crowder makes free throw 2 of 2","+1","63-68","",""
"284","5:52.0","","","63-68","","Turnover by L. Doncic (lost ball; steal by C. Paul)"
"285","5:49.0","M. Bridges makes 2-pt dunk from 1 ft (assist by C. Paul)","+2","65-68","",""
"286","5:27.0","","","65-68","","D. Powell misses 2-pt layup from 3 ft"
"287","5:25.0","Defensive rebound by J. McGee","","65-68","",""
"288","5:17.0","J. Crowder makes 2-pt jump shot from 11 ft (assist by D. Booker)","+2","67-68","",""
"289","5:01.0","","","67-68","","Turnover by L. Doncic (bad pass; steal by M. Bridges)"
"290","4:55.0","D. Booker makes 2-pt layup from 3 ft (assist by M. Bridges)","+2","69-68","",""
"291","4:55.0","","","69-68","","Dallas full timeout"
"292","4:55.0","B. Biyombo enters the game for J. McGee","","69-68","",""
"293","4:55.0","","","69-68","","R. Bullock enters the game for M. Kleber"
"294","4:36.0","","","69-68","","D. Finney-Smith misses 3-pt jump shot from 24 ft"
"295","4:32.0","Defensive rebound by B. Biyombo","","69-68","",""
"296","4:26.0","Shooting foul by R. Bullock (drawn by B. Biyombo)","","69-68","",""
"297","4:26.0","B. Biyombo makes free throw 1 of 2","+1","70-68","",""
"298","4:26.0","C. Johnson enters the game for M. Bridges","","70-68","",""
"299","4:26.0","B. Biyombo misses free throw 2 of 2","","70-68","",""
"300","4:24.0","","","70-68","","Defensive rebound by D. Finney-Smith"
"301","4:06.0","","","70-68","","Turnover by L. Doncic (lost ball; steal by C. Paul)"
"302","3:59.0","C. Johnson misses 3-pt jump shot from 24 ft","","70-68","",""
"303","3:56.0","","","70-68","","Defensive rebound by L. Doncic"
"304","3:50.0","","","70-71","+3","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Doncic)"
"305","3:41.0","Personal foul by T. Hardaway (drawn by C. Paul)","","70-71","",""
"306","3:41.0","C. Paul makes free throw 1 of 2","+1","71-71","",""
"307","3:41.0","L. Shamet enters the game for J. Crowder","","71-71","",""
"308","3:41.0","C. Paul makes free throw 2 of 2","+1","72-71","",""
"309","3:26.0","","","72-71","","Personal foul by L. Shamet (drawn by L. Doncic)"
"310","3:26.0","C. Payne enters the game for C. Paul","","72-71","",""
"311","3:15.0","","","72-71","","Personal foul by L. Shamet (drawn by T. Hardaway)"
"312","3:09.0","","","72-71","","Personal foul by C. Johnson (drawn by L. Doncic)"
"313","3:09.0","","","72-71","","L. Doncic misses free throw 1 of 2"
"314","3:09.0","","","72-71","","Offensive rebound by Team"
"315","3:09.0","","","72-71","","L. Doncic misses free throw 2 of 2"
"316","3:08.0","","","72-71","","Offensive rebound by Team"
"317","3:08.0","Loose ball foul by B. Biyombo (drawn by D. Powell)","","72-71","",""
"318","3:08.0","","","72-71","","D. Powell misses free throw 1 of 2"
"319","3:08.0","","","72-71","","Offensive rebound by Team"
"320","3:08.0","","","72-72","+1","D. Powell makes free throw 2 of 2"
"321","2:58.0","C. Payne misses 3-pt jump shot from 25 ft","","72-72","",""
"322","2:53.0","","","72-72","","Defensive rebound by T. Hardaway"
"323","2:43.0","","","72-72","","L. Doncic misses 3-pt jump shot from 26 ft"
"324","2:39.0","","","72-72","","Offensive rebound by D. Powell"
"325","2:37.0","","","72-74","+2","D. Powell makes 2-pt dunk at rim"
"326","2:16.0","D. Booker misses 3-pt jump shot from 27 ft","","72-74","",""
"327","2:13.0","","","72-74","","Defensive rebound by L. Doncic"
"328","2:07.0","","","72-74","","L. Doncic misses 3-pt jump shot from 25 ft"
"329","2:04.0","","","72-74","","Offensive rebound by R. Bullock"
"330","2:02.0","","","72-77","+3","T. Hardaway makes 3-pt jump shot from 25 ft (assist by R. Bullock)"
"331","1:42.0","C. Johnson makes 2-pt dunk from 1 ft (assist by D. Booker)","+2","74-77","",""
"332","1:28.0","","","74-77","","T. Hardaway misses 3-pt jump shot from 26 ft"
"333","1:24.0","","","74-77","","Offensive rebound by L. Doncic"
"334","1:22.0","","","74-77","","D. Finney-Smith misses 3-pt jump shot from 26 ft"
"335","1:20.0","Defensive rebound by D. Booker","","74-77","",""
"336","1:10.0","C. Payne misses 2-pt layup from 3 ft","","74-77","",""
"337","1:09.0","","","74-77","","Defensive rebound by D. Powell"
"338","1:02.0","","","74-77","","L. Doncic misses 2-pt layup from 2 ft"
"339","1:00.0","","","74-77","","Offensive rebound by D. Powell"
"340","0:59.0","","","74-79","+2","D. Powell makes 2-pt layup from 1 ft"
"341","0:59.0","","","74-79","","Shooting foul by C. Payne (drawn by D. Powell)"
"342","0:59.0","","","74-79","","J. Brunson enters the game for L. Doncic"
"343","0:59.0","","","74-79","","J. Green enters the game for D. Finney-Smith"
"344","0:59.0","","","74-80","+1","D. Powell makes free throw 1 of 1"
"345","0:43.0","D. Booker misses 2-pt jump shot from 13 ft","","74-80","",""
"346","0:40.0","","","74-80","","Defensive rebound by R. Bullock"
"347","0:31.0","","","74-80","","T. Hardaway misses 2-pt jump shot from 18 ft"
"348","0:31.0","Defensive rebound by C. Payne","","74-80","",""
"349","0:08.0","Turnover by B. Biyombo (traveling)","","74-80","",""
"350","0:08.0","J. Crowder enters the game for B. Biyombo","","74-80","",""
"351","0:08.0","","","74-80","","K. Porzingis enters the game for D. Powell"
"352","0:01.0","","","74-82","+2","J. Brunson makes 2-pt layup from 3 ft"
"353","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
