"","Time","Milwaukee","","Score","","Boston"
"173","4:18.0","T. Antetokounmpo enters the game for B. Portis","","44-47","",""
"174","3:59.0","J. Holiday makes 2-pt layup from 9 ft","+2","46-47","",""
"175","3:38.0","","","46-47","","Turnover by D. Schröder (bad pass)"
"176","3:24.0","J. Nwora makes 3-pt jump shot from 27 ft (assist by J. Holiday)","+3","49-47","",""
"177","3:23.0","","","49-47","","Boston full timeout"
"178","3:23.0","G. Hill enters the game for P. Connaughton","","49-47","",""
"179","3:23.0","S. Ojeleye enters the game for J. Holiday","","49-47","",""
"180","3:23.0","","","49-47","","J. Richardson enters the game for J. Tatum"
"181","3:15.0","","","49-47","","Personal foul by T. Antetokounmpo (drawn by R. Williams)"
"182","3:15.0","","","49-47","","J. Tatum enters the game for A. Nesmith"
"183","3:04.0","","","49-49","+2","J. Tatum makes 2-pt jump shot from 21 ft"
"184","2:55.0","Turnover by J. Nwora (bad pass; steal by M. Smart)","","49-49","",""
"185","2:54.0","","","49-49","","M. Smart misses 2-pt layup from 3 ft"
"186","2:53.0","","","49-49","","Offensive rebound by D. Schröder"
"187","2:53.0","","","49-49","","D. Schröder misses 2-pt layup at rim"
"188","2:52.0","","","49-49","","Offensive rebound by J. Tatum"
"189","2:51.0","","","49-49","","J. Tatum misses 2-pt layup at rim"
"190","2:50.0","","","49-49","","Offensive rebound by R. Williams"
"191","2:46.0","","","49-49","","J. Tatum misses 2-pt layup at rim (block by S. Ojeleye)"
"192","2:45.0","","","49-49","","Offensive rebound by J. Tatum"
"193","2:45.0","","","49-51","+2","J. Tatum makes 2-pt layup at rim"
"194","2:25.0","G. Allen misses 2-pt layup from 3 ft (block by J. Richardson)","","49-51","",""
"195","2:24.0","Offensive rebound by T. Antetokounmpo","","49-51","",""
"196","2:24.0","J. Holiday enters the game for J. Nwora","","49-51","",""
"197","2:17.0","J. Holiday misses 3-pt jump shot from 29 ft","","49-51","",""
"198","2:14.0","","","49-51","","Defensive rebound by J. Richardson"
"199","2:07.0","","","49-51","","J. Richardson misses 3-pt jump shot from 25 ft"
"200","2:04.0","Defensive rebound by J. Holiday","","49-51","",""
"201","1:49.0","Turnover by G. Hill (step out of bounds)","","49-51","",""
"202","1:49.0","B. Portis enters the game for T. Antetokounmpo","","49-51","",""
"203","1:36.0","","","49-51","","D. Schröder misses 2-pt jump shot from 15 ft"
"204","1:33.0","Defensive rebound by B. Portis","","49-51","",""
"205","1:21.0","G. Allen makes 3-pt jump shot from 28 ft (assist by S. Ojeleye)","+3","52-51","",""
"206","1:01.0","","","52-51","","Personal foul by G. Allen (drawn by M. Smart)"
"207","1:01.0","P. Connaughton enters the game for S. Ojeleye","","52-51","",""
"208","0:56.0","","","52-51","","Offensive foul by D. Schröder (drawn by G. Hill)"
"209","0:56.0","","","52-51","","Turnover by D. Schröder (offensive foul)"
"210","0:41.0","Turnover by P. Connaughton (bad pass)","","52-51","",""
"211","0:33.0","","","52-51","","Turnover by J. Richardson (step out of bounds)"
"212","0:10.0","G. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday)","+3","55-51","",""
"213","0:01.0","","","55-51","","D. Schröder misses 2-pt jump shot from 9 ft"
"214","0:00.0","","","55-51","","Offensive rebound by Team"
"215","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"216","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"217","Time","Milwaukee","","Score","","Boston"
"218","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"219","11:43.0","P. Connaughton misses 3-pt jump shot from 23 ft","","55-51","",""
"220","11:40.0","","","55-51","","Defensive rebound by D. Schröder"
"221","11:26.0","","","55-51","","J. Tatum misses 3-pt jump shot from 23 ft"
"222","11:22.0","Defensive rebound by B. Portis","","55-51","",""
"223","11:11.0","G. Allen misses 2-pt jump shot from 9 ft","","55-51","",""
"224","11:09.0","","","55-51","","Defensive rebound by J. Tatum"
"225","10:56.0","","","55-54","+3","J. Tatum makes 3-pt jump shot from 27 ft"
"226","10:36.0","P. Connaughton makes 3-pt jump shot from 26 ft","+3","58-54","",""
"227","10:24.0","","","58-56","+2","D. Schröder makes 2-pt layup from 3 ft"
"228","10:24.0","","","58-56","","Shooting foul by G. Hill (drawn by D. Schröder)"
"229","10:24.0","","","58-57","+1","D. Schröder makes free throw 1 of 1"
"230","10:13.0","J. Holiday misses 2-pt jump shot from 13 ft","","58-57","",""
"231","10:10.0","","","58-57","","Defensive rebound by A. Horford"
"232","10:03.0","","","58-59","+2","R. Williams makes 2-pt layup from 3 ft (assist by D. Schröder)"
"233","9:48.0","G. Hill misses 2-pt layup from 5 ft","","58-59","",""
"234","9:46.0","","","58-59","","Defensive rebound by J. Tatum"
"235","9:45.0","","","58-59","","Shooting foul by P. Connaughton (drawn by M. Smart)"
"236","9:45.0","","","58-60","+1","M. Smart makes free throw 1 of 2"
"237","9:45.0","S. Ojeleye enters the game for P. Connaughton","","58-60","",""
"238","9:45.0","","","58-61","+1","M. Smart makes free throw 2 of 2"
"239","9:24.0","G. Hill misses 3-pt jump shot from 23 ft","","58-61","",""
"240","9:18.0","Offensive rebound by S. Ojeleye","","58-61","",""
"241","9:07.0","B. Portis misses 3-pt jump shot from 23 ft","","58-61","",""
"242","9:04.0","Offensive rebound by S. Ojeleye","","58-61","",""
"243","9:02.0","S. Ojeleye misses 2-pt jump shot from 9 ft (block by J. Tatum)","","58-61","",""
"244","8:59.0","Offensive rebound by S. Ojeleye","","58-61","",""
"245","8:54.0","J. Holiday misses 3-pt jump shot from 26 ft","","58-61","",""
"246","8:51.0","","","58-61","","Defensive rebound by M. Smart"
"247","8:42.0","","","58-61","","Turnover by D. Schröder (bad pass; steal by J. Holiday)"
"248","8:39.0","Shooting foul by J. Tatum (drawn by G. Allen)","","58-61","",""
"249","8:39.0","G. Allen misses free throw 1 of 2","","58-61","",""
"250","8:39.0","Offensive rebound by Team","","58-61","",""
"251","8:39.0","G. Allen makes free throw 2 of 2","+1","59-61","",""
"252","8:29.0","","","59-61","","J. Tatum misses 3-pt jump shot from 26 ft"
"253","8:26.0","Defensive rebound by B. Portis","","59-61","",""
"254","8:16.0","J. Holiday misses 2-pt jump shot from 5 ft","","59-61","",""
"255","8:13.0","","","59-61","","Defensive rebound by A. Horford"
"256","8:08.0","","","59-61","","Turnover by A. Horford (bad pass; steal by G. Allen)"
"257","8:00.0","G. Hill makes 3-pt jump shot from 24 ft (assist by J. Holiday)","+3","62-61","",""
"258","8:00.0","","","62-61","","Boston full timeout"
"259","7:50.0","","","62-63","+2","M. Smart makes 2-pt layup from 6 ft (assist by D. Schröder)"
"260","7:35.0","G. Hill makes 2-pt layup from 4 ft","+2","64-63","",""
"261","7:26.0","","","64-65","+2","M. Smart makes 2-pt layup from 3 ft"
"262","7:26.0","","","64-65","","Shooting foul by G. Allen (drawn by M. Smart)"
"263","7:26.0","P. Connaughton enters the game for G. Allen","","64-65","",""
"264","7:26.0","","","64-66","+1","M. Smart makes free throw 1 of 1"
"265","7:02.0","Turnover by Team (shot clock)","","64-66","",""
"266","7:02.0","","","64-66","","J. Richardson enters the game for A. Horford"
"267","6:52.0","","","64-68","+2","M. Smart makes 2-pt jump shot from 14 ft"
"268","6:35.0","P. Connaughton makes 2-pt jump shot from 11 ft","+2","66-68","",""
"269","6:35.0","J. Nwora enters the game for G. Hill","","66-68","",""
"270","6:16.0","Jump ball: J. Tatum vs. S. Ojeleye (R. Williams gains possession)","Jump ball: J. Tatum vs. S. Ojeleye (R. Williams gains possession)","Jump ball: J. Tatum vs. S. Ojeleye (R. Williams gains possession)","Jump ball: J. Tatum vs. S. Ojeleye (R. Williams gains possession)","Jump ball: J. Tatum vs. S. Ojeleye (R. Williams gains possession)"
"271","6:09.0","","","66-68","","Turnover by R. Williams (out of bounds lost ball)"
"272","5:53.0","J. Holiday misses 3-pt jump shot from 26 ft","","66-68","",""
"273","5:50.0","Offensive rebound by J. Nwora","","66-68","",""
"274","5:40.0","B. Portis misses 2-pt jump shot from 11 ft","","66-68","",""
"275","5:38.0","Offensive rebound by S. Ojeleye","","66-68","",""
"276","5:33.0","J. Nwora makes 3-pt jump shot from 24 ft (assist by P. Connaughton)","+3","69-68","",""
"277","5:21.0","","","69-71","+3","M. Smart makes 3-pt jump shot from 27 ft (assist by D. Schröder)"
"278","5:11.0","J. Holiday misses 3-pt jump shot from 26 ft","","69-71","",""
"279","5:08.0","","","69-71","","Defensive rebound by M. Smart"
"280","5:01.0","","","69-71","","M. Smart misses 3-pt jump shot from 27 ft"
"281","4:58.0","Defensive rebound by J. Holiday","","69-71","",""
"282","4:56.0","P. Connaughton makes 3-pt jump shot from 24 ft (assist by J. Holiday)","+3","72-71","",""
"283","4:31.0","","","72-74","+3","J. Tatum makes 3-pt jump shot from 27 ft"
"284","4:16.0","Turnover by J. Holiday (lost ball; steal by M. Smart)","","72-74","",""
"285","4:05.0","","","72-76","+2","D. Schröder makes 2-pt layup from 3 ft (assist by M. Smart)"
"286","4:04.0","Milwaukee full timeout","","72-76","",""
"287","4:04.0","T. Antetokounmpo enters the game for B. Portis","","72-76","",""
"288","4:04.0","","","72-76","","R. Langford enters the game for D. Schröder"
"289","3:53.0","Personal foul by J. Richardson (drawn by J. Holiday)","","72-76","",""
"290","3:39.0","J. Holiday misses 2-pt jump shot from 21 ft","","72-76","",""
"291","3:38.0","Offensive rebound by Team","","72-76","",""
"292","3:38.0","Turnover by Team (shot clock)","","72-76","",""
"293","3:24.0","","","72-76","","J. Tatum misses 2-pt jump shot from 9 ft"
"294","3:19.0","","","72-76","","Offensive rebound by R. Williams"
"295","3:19.0","","","72-78","+2","R. Williams makes 2-pt layup at rim"
"296","3:04.0","J. Holiday makes 2-pt dunk from 2 ft","+2","74-78","",""
"297","2:51.0","","","74-80","+2","R. Langford makes 2-pt dunk from 1 ft (assist by R. Williams)"
"298","2:50.0","Milwaukee full timeout","","74-80","",""
"299","2:50.0","G. Hill enters the game for T. Antetokounmpo","","74-80","",""
"300","2:50.0","B. Portis enters the game for J. Holiday","","74-80","",""
"301","2:50.0","","","74-80","","A. Horford enters the game for R. Williams"
"302","2:31.0","Turnover by J. Nwora (step out of bounds)","","74-80","",""
"303","2:10.0","","","74-80","","Shooting foul by S. Ojeleye (drawn by J. Richardson)"
"304","2:10.0","","","74-81","+1","J. Richardson makes free throw 1 of 2"
"305","2:10.0","","","74-82","+1","J. Richardson makes free throw 2 of 2"
"306","1:57.0","J. Nwora misses 2-pt jump shot from 19 ft","","74-82","",""
"307","1:55.0","","","74-82","","Defensive rebound by J. Tatum"
"308","1:46.0","","","74-84","+2","J. Tatum makes 2-pt layup from 2 ft"
"309","1:22.0","P. Connaughton makes 2-pt dunk from 3 ft (assist by J. Nwora)","+2","76-84","",""
"310","0:58.0","","","76-84","","J. Tatum misses 3-pt jump shot from 26 ft (block by S. Ojeleye)"
"311","0:58.0","","","76-84","","Offensive rebound by M. Smart"
"312","0:58.0","","","76-84","","Shooting foul by G. Hill (drawn by A. Horford)"
"313","0:58.0","","","76-85","+1","A. Horford makes free throw 1 of 2"
"314","0:58.0","G. Allen enters the game for S. Ojeleye","","76-85","",""
"315","0:58.0","","","76-86","+1","A. Horford makes free throw 2 of 2"
"316","0:47.0","J. Nwora makes 3-pt jump shot from 26 ft","+3","79-86","",""
"317","0:38.0","","","79-88","+2","A. Horford makes 2-pt layup from 2 ft (assist by M. Smart)"
"318","0:29.0","G. Hill makes 2-pt layup from 3 ft","+2","81-88","",""
"319","0:10.0","","","81-88","","J. Tatum misses 3-pt jump shot from 27 ft"
"320","0:09.0","Defensive rebound by J. Nwora","","81-88","",""
"321","0:01.0","G. Hill misses 2-pt layup from 5 ft (block by J. Tatum)","","81-88","",""
"322","0:01.0","Offensive rebound by Team","","81-88","",""
"323","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"324","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"325","Time","Milwaukee","","Score","","Boston"
"326","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"327","11:49.0","","","81-88","","Offensive foul by D. Schröder (drawn by G. Hill)"
