"","Time","Miami","","Score","","Boston"
"213","0:11.0","","","45-54","","Offensive rebound by Team"
"214","0:11.0","D. Dedmon enters the game for B. Adebayo","","45-54","",""
"215","0:11.0","T. Herro enters the game for G. Vincent","","45-54","",""
"216","0:01.0","","","45-54","","J. Brown misses 3-pt jump shot from 22 ft"
"217","0:01.0","","","45-54","","Offensive rebound by Team"
"218","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"219","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"220","Time","Miami","","Score","","Boston"
"221","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"222","11:50.0","D. Robinson misses 3-pt jump shot from 26 ft","","45-54","",""
"223","11:48.0","","","45-54","","Defensive rebound by J. Tatum"
"224","11:25.0","","","45-57","+3","J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart)"
"225","11:12.0","B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent)","+2","47-57","",""
"226","11:03.0","","","47-57","","Personal foul by G. Vincent (drawn by J. Tatum)"
"227","10:53.0","","","47-60","+3","J. Brown makes 3-pt jump shot from 24 ft (assist by J. Tatum)"
"228","10:38.0","Offensive foul by B. Adebayo (drawn by J. Tatum)","","47-60","",""
"229","10:38.0","Turnover by B. Adebayo (offensive foul)","","47-60","",""
"230","10:22.0","","","47-62","+2","R. Williams makes 2-pt dunk from 1 ft (assist by J. Tatum)"
"231","10:13.0","B. Adebayo makes 2-pt layup from 5 ft (assist by G. Vincent)","+2","49-62","",""
"232","9:54.0","","","49-62","","A. Horford misses 3-pt jump shot from 24 ft"
"233","9:52.0","","","49-62","","Offensive rebound by R. Williams"
"234","9:51.0","","","49-65","+3","M. Smart makes 3-pt jump shot from 27 ft (assist by R. Williams)"
"235","9:41.0","C. Martin makes 3-pt jump shot from 26 ft (assist by G. Vincent)","+3","52-65","",""
