Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
10:04.0,J.Tatum,6,35-30,2.0,3-pt,jump,27,makes,Boston,2022-06-05 10:04:00
8:32.0,J.Tatum,6,40-30,2.0,2-pt,hook,7,makes,Boston,2022-06-05 08:32:00
8:03.0,J.Tatum,6,40-30,2.0,3-pt,jump,27,misses,Boston,2022-06-05 08:03:00
7:44.0,J.Tatum,6,40-30,2.0,3-pt,jump,27,misses,Boston,2022-06-05 07:44:00
7:06.0,J.Tatum,6,40-33,2.0,2-pt,layup,ft,misses,Boston,2022-06-05 07:06:00
6:37.0,J.Tatum,6,42-35,2.0,free,throw,1,misses,Boston,2022-06-05 06:37:00
6:37.0,J.Tatum,6,42-35,2.0,2-pt,layup,1,makes,Boston,2022-06-05 06:37:00
5:50.0,J.Tatum,6,42-37,2.0,2-pt,jump,12,misses,Boston,2022-06-05 05:50:00
3:25.0,J.Tatum,6,42-39,2.0,2-pt,layup,ft,misses,Boston,2022-06-05 03:25:00
1:19.0,J.Tatum,6,47-41,2.0,3-pt,jump,27,misses,Boston,2022-06-05 01:19:00
9:35.0,J.Tatum,6,59-45,3.0,3-pt,jump,27,makes,Boston,2022-06-05 09:35:00
8:56.0,J.Tatum,6,59-48,3.0,3-pt,jump,26,misses,Boston,2022-06-05 08:56:00
8:38.0,J.Tatum,6,61-48,3.0,2-pt,jump,rim,makes,Boston,2022-06-05 08:38:00
6:12.0,J.Tatum,6,68-52,3.0,3-pt,jump,27,misses,Boston,2022-06-05 06:12:00
4:44.0,J.Tatum,6,70-56,3.0,3-pt,jump,26,misses,Boston,2022-06-05 04:44:00
3:31.0,J.Tatum,6,70-59,3.0,3-pt,jump,25,misses,Boston,2022-06-05 03:31:00
2:19.0,J.Tatum,6,75-64,3.0,2-pt,jump,5,makes,Boston,2022-06-05 02:19:00
0:48.0,J.Tatum,6,79-66,3.0,2-pt,jump,3,makes,Boston,2022-06-05 00:48:00
0:48.0,J.Tatum,6,80-66,3.0,free,throw,1,makes,Boston,2022-06-05 00:48:00
0:12.0,J.Tatum,6,82-68,3.0,2-pt,jump,23,makes,Boston,2022-06-05 00:12:00
8:56.0,J.Tatum,6,85-78,4.0,free,throw,2,misses,Boston,2022-06-05 08:56:00
8:56.0,J.Tatum,6,85-78,4.0,free,throw,2,makes,Boston,2022-06-05 08:56:00
8:14.0,J.Tatum,6,87-81,4.0,2-pt,jump,16,makes,Boston,2022-06-05 08:14:00
7:19.0,J.Tatum,6,90-83,4.0,3-pt,jump,27,makes,Boston,2022-06-05 07:19:00
6:47.0,J.Tatum,6,92-83,4.0,2-pt,jump,7,makes,Boston,2022-06-05 06:47:00
6:10.0,J.Tatum,6,92-85,4.0,2-pt,layup,ft,misses,Boston,2022-06-05 06:10:00
5:40.0,J.Tatum,6,95-87,4.0,3-pt,jump,27,makes,Boston,2022-06-05 05:40:00
2:38.0,J.Tatum,6,102-89,4.0,2-pt,layup,1,makes,Boston,2022-06-05 02:38:00
2:38.0,J.Tatum,6,103-89,4.0,free,throw,1,makes,Boston,2022-06-05 02:38:00
2:05.0,J.Tatum,6,103-92,4.0,3-pt,jump,27,misses,Boston,2022-06-05 02:05:00
1:54.0,J.Tatum,6,104-92,4.0,free,throw,2,makes,Boston,2022-06-05 01:54:00
1:54.0,J.Tatum,6,105-92,4.0,free,throw,2,makes,Boston,2022-06-05 01:54:00
11:07.0,J.Tatum,7,0-3,1.0,2-pt,jump,17,misses,Boston,2022-06-05 11:07:00
7:37.0,J.Tatum,7,10-6,1.0,3-pt,jump,26,makes,Boston,2022-06-05 07:37:00
4:57.0,J.Tatum,7,17-14,1.0,3-pt,jump,26,makes,Boston,2022-06-05 04:57:00
3:52.0,J.Tatum,7,17-14,1.0,2-pt,jump,13,misses,Boston,2022-06-05 03:52:00
2:10.0,J.Tatum,7,24-15,1.0,technical,free,,makes,Boston,2022-06-05 02:10:00
11:18.0,J.Tatum,7,28-21,2.0,free,throw,2,makes,Boston,2022-06-05 11:18:00
11:18.0,J.Tatum,7,28-22,2.0,free,throw,2,makes,Boston,2022-06-05 11:18:00
9:42.0,J.Tatum,7,30-28,2.0,3-pt,jump,26,makes,Boston,2022-06-05 09:42:00
5:29.0,J.Tatum,7,37-38,2.0,3-pt,jump,25,makes,Boston,2022-06-05 05:29:00
3:54.0,J.Tatum,7,39-38,2.0,2-pt,jump,19,misses,Boston,2022-06-05 03:54:00
2:39.0,J.Tatum,7,40-40,2.0,2-pt,layup,3,makes,Boston,2022-06-05 02:39:00
10:47.0,J.Tatum,7,45-56,3.0,3-pt,jump,26,makes,Boston,2022-06-05 10:47:00
10:16.0,J.Tatum,7,47-56,3.0,3-pt,jump,24,misses,Boston,2022-06-05 10:16:00
11:27.0,J.Tatum,7,66-79,4.0,3-pt,jump,28,misses,Boston,2022-06-05 11:27:00
10:21.0,J.Tatum,7,68-84,4.0,2-pt,jump,14,makes,Boston,2022-06-05 10:21:00
9:06.0,J.Tatum,7,68-88,4.0,free,throw,2,misses,Boston,2022-06-05 09:06:00
9:06.0,J.Tatum,7,68-88,4.0,free,throw,2,makes,Boston,2022-06-05 09:06:00
8:30.0,J.Tatum,7,70-88,4.0,3-pt,jump,28,misses,Boston,2022-06-05 08:30:00
6:42.0,J.Tatum,7,73-94,4.0,3-pt,jump,24,misses,Boston,2022-06-05 06:42:00
