"","Time","Dallas","","Score","","Phoenix"
"256","7:17.0","R. Bullock enters the game for K. Porzingis","","62-64","",""
"257","7:06.0","","","62-64","","Turnover by D. Booker (lost ball; steal by T. Hardaway)"
"258","6:58.0","D. Finney-Smith makes 3-pt jump shot from 28 ft (assist by T. Hardaway)","+3","65-64","",""
"259","6:45.0","","","65-64","","D. Ayton misses 2-pt dunk from 2 ft"
"260","6:42.0","Defensive rebound by T. Hardaway","","65-64","",""
"261","6:41.0","Personal foul by M. Bridges (drawn by T. Hardaway)","","65-64","",""
"262","6:41.0","F. Ntilikina enters the game for J. Brunson","","65-64","",""
"263","6:29.0","F. Ntilikina misses 3-pt jump shot from 26 ft","","65-64","",""
"264","6:25.0","Offensive rebound by D. Powell","","65-64","",""
"265","6:24.0","T. Hardaway misses 3-pt jump shot from 27 ft","","65-64","",""
"266","6:21.0","","","65-64","","Defensive rebound by D. Ayton"
"267","6:08.0","","","65-64","","Turnover by C. Paul (bad pass; steal by F. Ntilikina)"
"268","6:05.0","T. Hardaway makes 2-pt layup from 1 ft (assist by F. Ntilikina)","+2","67-64","",""
"269","6:05.0","Shooting foul by M. Bridges (drawn by T. Hardaway)","","67-64","",""
"270","6:05.0","T. Hardaway makes free throw 1 of 1","+1","68-64","",""
"271","5:51.0","","","68-64","","D. Booker misses 2-pt jump shot from 17 ft"
"272","5:49.0","","","68-64","","Offensive rebound by D. Ayton"
"273","5:47.0","","","68-64","","Shooting foul by D. Powell (drawn by D. Booker)"
"274","5:47.0","","","68-65","+1","D. Booker makes free throw 1 of 2"
"275","5:47.0","W. Cauley-Stein enters the game for D. Powell","","68-65","",""
"276","5:47.0","","","68-66","+1","D. Booker makes free throw 2 of 2"
"277","5:34.0","T. Hardaway makes 2-pt jump shot from 22 ft","+2","70-66","",""
"278","5:34.0","Instant Replay (Request: Ruling Stands)","","70-66","",""
"279","5:16.0","","","70-66","","Turnover by D. Booker (bad pass; steal by F. Ntilikina)"
"280","5:10.0","T. Hardaway misses 3-pt jump shot from 28 ft","","70-66","",""
"281","5:06.0","","","70-66","","Defensive rebound by D. Ayton"
"282","4:56.0","","","70-68","+2","D. Ayton makes 2-pt layup from 1 ft (assist by C. Paul)"
"283","4:45.0","R. Bullock misses 3-pt jump shot from 28 ft","","70-68","",""
"284","4:42.0","","","70-68","","Defensive rebound by D. Ayton"
"285","4:33.0","","","70-68","","Turnover by C. Paul (bad pass; steal by R. Bullock)"
"286","4:27.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by F. Ntilikina)","+3","73-68","",""
"287","4:26.0","","","73-68","","Phoenix full timeout"
"288","4:26.0","S. Brown enters the game for T. Hardaway","","73-68","",""
