"","Time","Chicago","","Score","","Milwaukee"
"211","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"212","Time","Chicago","","Score","","Milwaukee"
"213","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"214","11:38.0","Z. LaVine misses 2-pt jump shot from 17 ft","","63-49","",""
"215","11:32.0","","","63-49","","Defensive rebound by K. Middleton"
"216","11:30.0","","","63-49","","Offensive foul by K. Middleton (drawn by A. Caruso)"
"217","11:30.0","","","63-49","","Turnover by K. Middleton (offensive foul)"
"218","11:17.0","D. DeRozan makes 2-pt jump shot from 17 ft","+2","65-49","",""
"219","11:02.0","","","65-49","","Shooting foul by N. Vucevic (drawn by W. Matthews)"
"220","11:02.0","","","65-49","","W. Matthews misses free throw 1 of 2"
"221","11:02.0","","","65-49","","Offensive rebound by Team"
"222","11:02.0","","","65-49","","W. Matthews misses free throw 2 of 2"
"223","10:55.0","","","65-49","","Offensive rebound by B. Lopez"
"224","10:55.0","","","65-49","","B. Lopez misses 2-pt layup at rim"
"225","10:54.0","Defensive rebound by P. Williams","","65-49","",""
"226","10:44.0","N. Vucevic misses 2-pt jump shot from 16 ft","","65-49","",""
"227","10:42.0","","","65-49","","Defensive rebound by G. Antetokounmpo"
"228","10:37.0","","","65-49","","Offensive foul by G. Antetokounmpo (drawn by N. Vucevic)"
"229","10:37.0","","","65-49","","Turnover by G. Antetokounmpo (offensive foul)"
"230","10:24.0","N. Vucevic makes 2-pt layup from 2 ft (assist by Z. LaVine)","+2","67-49","",""
"231","10:18.0","","","67-49","","Shooting foul by P. Williams (drawn by J. Holiday)"
"232","10:18.0","","","67-50","+1","J. Holiday makes free throw 1 of 2"
"233","10:18.0","","","67-50","","J. Holiday misses free throw 2 of 2"
"234","10:15.0","","","67-50","","Offensive rebound by B. Lopez"
"235","10:13.0","","","67-53","+3","K. Middleton makes 3-pt jump shot from 28 ft (assist by J. Holiday)"
"236","9:46.0","Turnover by Team (shot clock)","","67-53","",""
"237","9:36.0","","","67-53","","B. Lopez misses 3-pt jump shot from 25 ft"
"238","9:32.0","Defensive rebound by P. Williams","","67-53","",""
"239","9:24.0","N. Vucevic misses 3-pt jump shot from 27 ft","","67-53","",""
"240","9:21.0","","","67-53","","Defensive rebound by G. Antetokounmpo"
"241","9:15.0","","","67-53","","J. Holiday misses 2-pt jump shot from 14 ft"
"242","9:13.0","","","67-53","","Offensive rebound by Team"
"243","9:13.0","Loose ball foul by Z. LaVine (drawn by G. Antetokounmpo)","","67-53","",""
"244","9:07.0","","","67-53","","W. Matthews misses 3-pt jump shot from 27 ft"
"245","9:04.0","Defensive rebound by P. Williams","","67-53","",""
"246","8:53.0","Z. LaVine makes 2-pt layup from 1 ft","+2","69-53","",""
"247","8:47.0","","","69-53","","J. Holiday misses 2-pt layup from 2 ft"
"248","8:45.0","Defensive rebound by N. Vucevic","","69-53","",""
"249","8:33.0","Turnover by P. Williams (step out of bounds)","","69-53","",""
"250","8:19.0","","","69-53","","W. Matthews misses 3-pt jump shot from 27 ft"
"251","8:16.0","Defensive rebound by D. DeRozan","","69-53","",""
"252","8:06.0","Turnover by Z. LaVine (traveling)","","69-53","",""
"253","7:52.0","","","69-53","","J. Holiday misses 2-pt layup from 2 ft"
"254","7:50.0","Defensive rebound by P. Williams","","69-53","",""
"255","7:50.0","Chicago full timeout","","69-53","",""
"256","7:38.0","D. DeRozan makes 2-pt jump shot from 17 ft","+2","71-53","",""
"257","7:22.0","","","71-56","+3","K. Middleton makes 3-pt jump shot from 25 ft (assist by J. Holiday)"
"258","7:04.0","D. DeRozan misses 2-pt jump shot from 12 ft","","71-56","",""
"259","7:01.0","","","71-56","","Defensive rebound by G. Antetokounmpo"
"260","6:55.0","","","71-58","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by B. Lopez)"
"261","6:33.0","P. Williams makes 2-pt jump shot from 20 ft (assist by A. Caruso)","+2","73-58","",""
"262","6:06.0","","","73-60","+2","J. Holiday makes 2-pt jump shot from 5 ft (assist by G. Antetokounmpo)"
"263","5:50.0","D. DeRozan misses 3-pt jump shot from 26 ft","","73-60","",""
"264","5:47.0","","","73-60","","Defensive rebound by K. Middleton"
"265","5:40.0","","","73-60","","B. Lopez misses 3-pt jump shot from 28 ft"
"266","5:37.0","Defensive rebound by N. Vucevic","","73-60","",""
"267","5:17.0","P. Williams makes 2-pt layup from 2 ft (assist by N. Vucevic)","+2","75-60","",""
"268","5:04.0","","","75-63","+3","K. Middleton makes 3-pt jump shot from 27 ft (assist by J. Holiday)"
"269","4:43.0","N. Vucevic misses 3-pt jump shot from 27 ft","","75-63","",""
"270","4:40.0","","","75-63","","Defensive rebound by J. Holiday"
"271","4:33.0","","","75-63","","K. Middleton misses 2-pt jump shot from 9 ft (block by A. Caruso)"
"272","4:30.0","","","75-63","","Offensive rebound by K. Middleton"
"273","4:27.0","","","75-63","","B. Lopez misses 3-pt jump shot from 27 ft"
"274","4:24.0","Defensive rebound by N. Vucevic","","75-63","",""
"275","4:13.0","D. DeRozan makes 2-pt jump shot from 10 ft","+2","77-63","",""
"276","4:05.0","","","77-63","","Milwaukee full timeout"
"277","4:05.0","A. Dosunmu enters the game for A. Caruso","","77-63","",""
"278","4:05.0","C. White enters the game for Z. LaVine","","77-63","",""
"279","4:05.0","","","77-63","","G. Allen enters the game for J. Holiday"
"280","4:05.0","","","77-63","","J. Carter enters the game for B. Lopez"
"281","4:05.0","","","77-63","","P. Connaughton enters the game for W. Matthews"
"282","3:56.0","","","77-63","","G. Allen misses 3-pt jump shot from 29 ft"
"283","3:54.0","Defensive rebound by A. Dosunmu","","77-63","",""
