"","Time","Milwaukee","","Score","","Chicago"
"294","1:04.0","Defensive rebound by G. Antetokounmpo","","84-54","",""
"295","0:56.0","P. Connaughton makes 3-pt jump shot from 29 ft (assist by G. Antetokounmpo)","+3","87-54","",""
"296","0:42.0","","","87-56","+2","Z. LaVine makes 2-pt jump shot from 4 ft"
"297","0:42.0","","","87-56","","Shooting foul by J. Carter (drawn by Z. LaVine)"
"298","0:42.0","W. Matthews enters the game for B. Portis","","87-56","",""
"299","0:42.0","","","87-57","+1","Z. LaVine makes free throw 1 of 1"
"300","0:30.0","G. Antetokounmpo misses 3-pt jump shot from 28 ft","","87-57","",""
"301","0:28.0","","","87-57","","Defensive rebound by Team"
"302","0:10.0","","","87-57","","Shooting foul by W. Matthews (drawn by D. DeRozan)"
"303","0:10.0","","","87-58","+1","D. DeRozan makes free throw 1 of 2"
"304","0:10.0","J. Holiday enters the game for J. Carter","","87-58","",""
"305","0:10.0","B. Portis enters the game for W. Matthews","","87-58","",""
"306","0:10.0","","","87-59","+1","D. DeRozan makes free throw 2 of 2"
"307","0:00.0","B. Portis makes 3-pt jump shot from 27 ft (assist by P. Connaughton)","+3","90-59","",""
"308","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"309","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"310","Time","Milwaukee","","Score","","Chicago"
"311","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"312","11:52.0","Offensive foul by B. Portis (drawn by P. Williams)","","90-59","",""
"313","11:52.0","Turnover by B. Portis (offensive foul)","","90-59","",""
"314","11:35.0","","","90-59","","P. Williams misses 2-pt jump shot from 8 ft"
"315","11:32.0","Defensive rebound by B. Portis","","90-59","",""
"316","11:26.0","B. Portis makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)","+3","93-59","",""
"317","11:06.0","","","93-59","","P. Williams misses 3-pt jump shot from 25 ft"
"318","11:04.0","","","93-59","","Offensive rebound by A. Dosunmu"
"319","11:02.0","","","93-61","+2","A. Dosunmu makes 2-pt jump shot from 14 ft"
"320","10:38.0","B. Portis misses 3-pt jump shot from 28 ft","","93-61","",""
"321","10:37.0","","","93-61","","Defensive rebound by Team"
"322","10:26.0","","","93-63","+2","T. Thompson makes 2-pt jump shot from 4 ft (assist by A. Dosunmu)"
"323","10:11.0","Turnover by G. Antetokounmpo (lost ball; steal by T. Brown)","","93-63","",""
"324","10:09.0","","","93-63","","Offensive foul by T. Brown (drawn by G. Antetokounmpo)"
"325","10:09.0","","","93-63","","Turnover by T. Brown (offensive foul)"
"326","9:56.0","G. Allen misses 3-pt jump shot from 27 ft","","93-63","",""
"327","9:52.0","","","93-63","","Defensive rebound by C. White"
"328","9:43.0","","","93-63","","Turnover by T. Thompson (lost ball; steal by P. Connaughton)"
"329","9:32.0","P. Connaughton misses 3-pt jump shot from 28 ft","","93-63","",""
"330","9:28.0","","","93-63","","Defensive rebound by C. White"
"331","9:16.0","","","93-63","","A. Dosunmu misses 2-pt jump shot from 17 ft"
"332","9:10.0","Defensive rebound by B. Portis","","93-63","",""
"333","9:02.0","G. Allen makes 2-pt layup from 1 ft (assist by J. Carter)","+2","95-63","",""
"334","8:48.0","","","95-63","","T. Thompson misses 2-pt hook shot from 4 ft (block by G. Antetokounmpo)"
"335","8:45.0","","","95-63","","Offensive rebound by A. Dosunmu"
"336","8:43.0","","","95-63","","P. Williams misses 2-pt jump shot from 5 ft"
"337","8:40.0","Defensive rebound by B. Portis","","95-63","",""
"338","8:39.0","Milwaukee full timeout","","95-63","",""
"339","8:39.0","T. Antetokounmpo enters the game for G. Allen","","95-63","",""
"340","8:39.0","S. Ibaka enters the game for G. Antetokounmpo","","95-63","",""
