"","Time","Utah","","Score","","Dallas"
"177","3:17.0","","","44-43","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by M. Kleber)"
"178","2:54.0","Personal foul by D. Bertans (drawn by D. Mitchell)","","44-43","",""
"179","2:54.0","Utah full timeout","","44-43","",""
"180","2:54.0","","","44-43","","J. Brunson enters the game for D. Bertans"
"181","2:54.0","D. Mitchell makes free throw 1 of 2","+1","45-43","",""
"182","2:54.0","D. Mitchell makes free throw 2 of 2","+1","46-43","",""
"183","2:35.0","","","46-43","","R. Bullock misses 3-pt jump shot from 25 ft"
"184","2:33.0","","","46-43","","Offensive rebound by M. Kleber"
"185","2:25.0","","","46-43","","J. Brunson misses 2-pt jump shot from 17 ft"
"186","2:23.0","Defensive rebound by R. Gobert","","46-43","",""
"187","2:05.0","B. Bogdanovic makes 2-pt jump shot from 7 ft","+2","48-43","",""
"188","1:37.0","","","48-45","+2","S. Dinwiddie makes 2-pt layup from 8 ft (assist by R. Bullock)"
"189","1:27.0","R. Gobert misses 2-pt dunk from 2 ft","","48-45","",""
"190","1:24.0","","","48-45","","Defensive rebound by D. Finney-Smith"
"191","1:18.0","","","48-48","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by J. Brunson)"
"192","1:05.0","Personal foul by S. Dinwiddie (drawn by B. Bogdanovic)","","48-48","",""
"193","1:05.0","B. Bogdanovic makes free throw 1 of 2","+1","49-48","",""
"194","1:05.0","B. Bogdanovic makes free throw 2 of 2","+1","50-48","",""
"195","0:49.0","","","50-48","","J. Brunson misses 2-pt jump shot from 10 ft"
"196","0:47.0","Defensive rebound by R. Gobert","","50-48","",""
"197","0:36.0","D. Mitchell makes 3-pt jump shot from 28 ft","+3","53-48","",""
"198","0:30.0","","","53-48","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"199","0:27.0","Defensive rebound by R. Gobert","","53-48","",""
"200","0:04.0","D. Mitchell misses 2-pt jump shot from 10 ft","","53-48","",""
"201","0:02.0","Offensive rebound by R. Gobert","","53-48","",""
"202","0:02.0","Shooting foul by M. Kleber (drawn by R. Gobert)","","53-48","",""
"203","0:02.0","D. House enters the game for J. Clarkson","","53-48","",""
"204","0:02.0","R. Gobert makes free throw 1 of 2","+1","54-48","",""
"205","0:02.0","R. Gobert makes free throw 2 of 2","+1","55-48","",""
"206","0:00.0","","","55-48","","S. Dinwiddie misses 3-pt jump shot from 47 ft"
"207","0:00.0","","","55-48","","Offensive rebound by Team"
"208","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"209","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"210","Time","Utah","","Score","","Dallas"
"211","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"212","11:38.0","M. Conley misses 3-pt jump shot from 25 ft","","55-48","",""
"213","11:34.0","","","55-48","","Defensive rebound by J. Brunson"
"214","11:25.0","","","55-48","","D. Finney-Smith misses 3-pt jump shot from 26 ft"
"215","11:22.0","Defensive rebound by B. Bogdanovic","","55-48","",""
"216","11:15.0","D. Mitchell misses 3-pt jump shot from 28 ft","","55-48","",""
"217","11:13.0","Offensive rebound by B. Bogdanovic","","55-48","",""
"218","11:09.0","Personal foul by S. Dinwiddie (drawn by R. Gobert)","","55-48","",""
"219","11:05.0","B. Bogdanovic makes 2-pt layup from 2 ft (assist by R. O'Neale)","+2","57-48","",""
"220","10:47.0","","","57-48","","Shooting foul by M. Conley (drawn by S. Dinwiddie)"
"221","10:47.0","","","57-49","+1","S. Dinwiddie makes free throw 1 of 2"
"222","10:47.0","J. Clarkson enters the game for M. Conley","","57-49","",""
"223","10:47.0","","","57-50","+1","S. Dinwiddie makes free throw 2 of 2"
"224","10:27.0","J. Clarkson makes 3-pt jump shot from 23 ft (assist by R. Gobert)","+3","60-50","",""
"225","10:08.0","","","60-52","+2","J. Brunson makes 2-pt jump shot from 11 ft"
"226","9:42.0","J. Clarkson misses 2-pt layup from 7 ft","","60-52","",""
"227","9:41.0","","","60-52","","Defensive rebound by D. Finney-Smith"
"228","9:21.0","","","60-54","+2","S. Dinwiddie makes 2-pt layup from 2 ft"
"229","8:57.0","R. O'Neale misses 2-pt layup from 3 ft (block by D. Finney-Smith)","","60-54","",""
"230","8:55.0","","","60-54","","Defensive rebound by J. Brunson"
"231","8:50.0","","","60-56","+2","J. Brunson makes 2-pt layup from 1 ft"
"232","8:40.0","B. Bogdanovic misses 3-pt jump shot from 27 ft","","60-56","",""
"233","8:38.0","","","60-56","","Defensive rebound by R. Bullock"
"234","8:24.0","","","60-56","","S. Dinwiddie misses 2-pt jump shot from 7 ft"
"235","8:23.0","","","60-56","","Offensive rebound by S. Dinwiddie"
"236","8:21.0","","","60-58","+2","S. Dinwiddie makes 2-pt jump shot from 6 ft"
"237","8:21.0","Utah full timeout","","60-58","",""
"238","8:09.0","D. Mitchell makes 2-pt jump shot from 7 ft (assist by J. Clarkson)","+2","62-58","",""
"239","7:51.0","","","62-58","","D. Powell misses 3-pt jump shot from 23 ft"
"240","7:48.0","Defensive rebound by R. O'Neale","","62-58","",""
"241","7:35.0","J. Clarkson makes 2-pt jump shot from 14 ft","+2","64-58","",""
"242","7:21.0","","","64-58","","S. Dinwiddie misses 2-pt layup from 1 ft"
"243","7:20.0","Defensive rebound by R. Gobert","","64-58","",""
"244","7:17.0","Offensive foul by J. Clarkson (drawn by J. Brunson)","","64-58","",""
"245","7:17.0","Turnover by J. Clarkson (offensive foul)","","64-58","",""
"246","7:06.0","","","64-61","+3","J. Brunson makes 3-pt jump shot from 26 ft"
"247","6:54.0","D. Mitchell misses 3-pt jump shot from 25 ft","","64-61","",""
"248","6:51.0","Offensive rebound by R. Gobert","","64-61","",""
