Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:20.0,G.Antetokounmpo,4,20-27,2.0,2-pt,layup,,makes,Milwaukee,2022-06-05 11:20:00
10:40.0,G.Antetokounmpo,4,24-29,2.0,2-pt,jump,20,makes,Milwaukee,2022-06-05 10:40:00
8:44.0,G.Antetokounmpo,4,27-31,2.0,3-pt,jump,26,misses,Milwaukee,2022-06-05 08:44:00
7:23.0,G.Antetokounmpo,4,31-33,2.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 07:23:00
6:11.0,G.Antetokounmpo,4,34-33,2.0,2-pt,jump,18,misses,Milwaukee,2022-06-05 06:11:00
5:36.0,G.Antetokounmpo,4,36-35,2.0,2-pt,hook,12,makes,Milwaukee,2022-06-05 05:36:00
4:05.0,G.Antetokounmpo,4,38-38,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 04:05:00
3:54.0,G.Antetokounmpo,4,38-39,2.0,free,throw,2,misses,Milwaukee,2022-06-05 03:54:00
3:54.0,G.Antetokounmpo,4,38-39,2.0,free,throw,2,makes,Milwaukee,2022-06-05 03:54:00
3:47.0,G.Antetokounmpo,4,38-39,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 03:47:00
1:40.0,G.Antetokounmpo,4,43-40,2.0,2-pt,hook,6,misses,Milwaukee,2022-06-05 01:40:00
0:00.0,G.Antetokounmpo,4,47-48,2.0,3-pt,jump,63,misses,Milwaukee,2022-06-05 00:00:00
10:56.0,G.Antetokounmpo,4,48-54,3.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 10:56:00
10:28.0,G.Antetokounmpo,4,49-54,3.0,3-pt,jump,27,misses,Milwaukee,2022-06-05 10:28:00
9:03.0,G.Antetokounmpo,4,53-58,3.0,free,throw,2,makes,Milwaukee,2022-06-05 09:03:00
9:03.0,G.Antetokounmpo,4,53-59,3.0,free,throw,2,makes,Milwaukee,2022-06-05 09:03:00
8:11.0,G.Antetokounmpo,4,56-63,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 08:11:00
7:26.0,G.Antetokounmpo,4,58-63,3.0,2-pt,jump,16,misses,Milwaukee,2022-06-05 07:26:00
6:09.0,G.Antetokounmpo,4,61-67,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 06:09:00
5:35.0,G.Antetokounmpo,4,63-67,3.0,2-pt,jump,11,misses,Milwaukee,2022-06-05 05:35:00
4:26.0,G.Antetokounmpo,4,65-71,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 04:26:00
4:01.0,G.Antetokounmpo,4,65-71,3.0,free,throw,2,misses,Milwaukee,2022-06-05 04:01:00
4:01.0,G.Antetokounmpo,4,65-71,3.0,free,throw,2,misses,Milwaukee,2022-06-05 04:01:00
3:44.0,G.Antetokounmpo,4,65-73,3.0,free,throw,2,misses,Milwaukee,2022-06-05 03:44:00
3:44.0,G.Antetokounmpo,4,65-74,3.0,free,throw,2,makes,Milwaukee,2022-06-05 03:44:00
3:13.0,G.Antetokounmpo,4,65-76,3.0,2-pt,hook,15,makes,Milwaukee,2022-06-05 03:13:00
11:10.0,G.Antetokounmpo,4,75-80,4.0,2-pt,jump,11,misses,Milwaukee,2022-06-05 11:10:00
10:36.0,G.Antetokounmpo,4,75-80,4.0,2-pt,jump,19,misses,Milwaukee,2022-06-05 10:36:00
7:46.0,G.Antetokounmpo,4,88-85,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 07:46:00
7:06.0,G.Antetokounmpo,4,90-89,4.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 07:06:00
6:02.0,G.Antetokounmpo,4,92-94,4.0,free,throw,1,misses,Milwaukee,2022-06-05 06:02:00
6:02.0,G.Antetokounmpo,4,92-94,4.0,2-pt,layup,3,makes,Milwaukee,2022-06-05 06:02:00
5:21.0,G.Antetokounmpo,4,95-94,4.0,2-pt,hook,7,misses,Milwaukee,2022-06-05 05:21:00
0:49.0,G.Antetokounmpo,4,114-106,4.0,2-pt,hook,12,makes,Milwaukee,2022-06-05 00:49:00
8:42.0,G.Antetokounmpo,5,11-8,1.0,2-pt,jump,16,makes,Milwaukee,2022-06-05 08:42:00
7:15.0,G.Antetokounmpo,5,11-10,1.0,2-pt,jump,19,misses,Milwaukee,2022-06-05 07:15:00
6:49.0,G.Antetokounmpo,5,12-10,1.0,free,throw,2,makes,Milwaukee,2022-06-05 06:49:00
6:49.0,G.Antetokounmpo,5,13-10,1.0,free,throw,2,makes,Milwaukee,2022-06-05 06:49:00
6:24.0,G.Antetokounmpo,5,13-10,1.0,2-pt,jump,13,misses,Milwaukee,2022-06-05 06:24:00
5:04.0,G.Antetokounmpo,5,15-14,1.0,3-pt,jump,27,misses,Milwaukee,2022-06-05 05:04:00
11:25.0,G.Antetokounmpo,5,30-26,2.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 11:25:00
10:35.0,G.Antetokounmpo,5,32-30,2.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 10:35:00
9:12.0,G.Antetokounmpo,5,32-33,2.0,2-pt,jump,19,misses,Milwaukee,2022-06-05 09:12:00
8:12.0,G.Antetokounmpo,5,34-37,2.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 08:12:00
7:05.0,G.Antetokounmpo,5,38-40,2.0,free,throw,1,misses,Milwaukee,2022-06-05 07:05:00
7:05.0,G.Antetokounmpo,5,38-40,2.0,2-pt,layup,6,makes,Milwaukee,2022-06-05 07:05:00
2:30.0,G.Antetokounmpo,5,42-51,2.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 02:30:00
2:03.0,G.Antetokounmpo,5,42-54,2.0,3-pt,jump,27,misses,Milwaukee,2022-06-05 02:03:00
1:23.0,G.Antetokounmpo,5,44-54,2.0,2-pt,layup,6,makes,Milwaukee,2022-06-05 01:23:00
0:51.0,G.Antetokounmpo,5,46-54,2.0,2-pt,layup,3,makes,Milwaukee,2022-06-05 00:51:00
0:51.0,G.Antetokounmpo,5,47-54,2.0,free,throw,1,makes,Milwaukee,2022-06-05 00:51:00
11:06.0,G.Antetokounmpo,5,49-56,3.0,2-pt,jump,18,makes,Milwaukee,2022-06-05 11:06:00
10:06.0,G.Antetokounmpo,5,49-56,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 10:06:00
9:22.0,G.Antetokounmpo,5,52-58,3.0,free,throw,2,misses,Milwaukee,2022-06-05 09:22:00
