"","Time","Denver","","Score","","Golden State"
"211","0:23.0","N. Jokic makes 2-pt jump shot from 9 ft (assist by M. Morris)","+2","47-55","",""
"212","0:04.0","","","47-58","+3","S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green)"
"213","0:00.0","W. Barton misses 3-pt jump shot from 26 ft","","47-58","",""
"214","0:00.0","Offensive rebound by Team","","47-58","",""
"215","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"216","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"217","Time","Denver","","Score","","Golden State"
"218","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"219","11:47.0","","","47-58","","K. Thompson misses 3-pt jump shot from 23 ft"
"220","11:45.0","Defensive rebound by Team","","47-58","",""
"221","11:35.0","W. Barton misses 3-pt jump shot from 26 ft","","47-58","",""
"222","11:32.0","","","47-58","","Defensive rebound by D. Green"
"223","11:18.0","","","47-58","","J. Poole misses 3-pt jump shot from 27 ft"
"224","11:16.0","","","47-58","","Offensive rebound by A. Wiggins"
"225","11:13.0","","","47-58","","A. Wiggins misses 2-pt layup from 3 ft"
"226","11:13.0","","","47-58","","Offensive rebound by Team"
"227","11:11.0","","","47-61","+3","K. Thompson makes 3-pt jump shot from 24 ft (assist by J. Poole)"
"228","11:11.0","","","47-61","","Instant Replay (Request: Ruling Stands)"
"229","10:51.0","Shooting foul by D. Green (drawn by A. Gordon)","","47-61","",""
"230","10:51.0","A. Gordon makes free throw 1 of 2","+1","48-61","",""
"231","10:51.0","A. Gordon makes free throw 2 of 2","+1","49-61","",""
"232","10:31.0","","","49-61","","J. Poole misses 3-pt jump shot from 23 ft"
"233","10:28.0","Defensive rebound by A. Gordon","","49-61","",""
"234","10:23.0","Personal foul by K. Looney (drawn by N. Jokic)","","49-61","",""
"235","10:14.0","N. Jokic makes 2-pt layup from 5 ft (assist by W. Barton)","+2","51-61","",""
"236","9:57.0","","","51-61","","Personal foul by A. Gordon (drawn by D. Green)"
"237","9:48.0","","","51-63","+2","D. Green makes 2-pt layup from 5 ft (assist by K. Thompson)"
"238","9:37.0","Offensive foul by N. Jokic (drawn by J. Poole)","","51-63","",""
"239","9:37.0","Turnover by N. Jokic (offensive foul)","","51-63","",""
"240","9:28.0","","","51-63","","J. Poole misses 2-pt jump shot from 9 ft"
"241","9:25.0","","","51-63","","Offensive rebound by K. Looney"
"242","9:25.0","","","51-63","","Shooting foul by N. Jokic (drawn by K. Looney)"
"243","9:25.0","","","51-64","+1","K. Looney makes free throw 1 of 2"
"244","9:25.0","","","51-65","+1","K. Looney makes free throw 2 of 2"
"245","9:12.0","M. Morris makes 3-pt jump shot from 26 ft (assist by W. Barton)","+3","54-65","",""
"246","9:02.0","","","54-65","","K. Looney misses 2-pt layup from 4 ft (block by W. Barton)"
"247","9:01.0","Defensive rebound by W. Barton","","54-65","",""
"248","8:56.0","M. Morris misses 3-pt jump shot from 24 ft","","54-65","",""
"249","8:53.0","Offensive rebound by Team","","54-65","",""
"250","8:47.0","A. Gordon misses 3-pt jump shot from 23 ft","","54-65","",""
"251","8:44.0","","","54-65","","Defensive rebound by D. Green"
"252","8:27.0","","","54-65","","Shooting foul by J. Green (drawn by A. Wiggins)"
"253","8:27.0","","","54-65","","A. Wiggins misses free throw 1 of 2"
"254","8:27.0","","","54-65","","Offensive rebound by Team"
"255","8:27.0","","","54-66","+1","A. Wiggins makes free throw 2 of 2"
"256","8:06.0","N. Jokic makes 2-pt hook shot from 6 ft","+2","56-66","",""
"257","7:49.0","","","56-66","","Turnover by K. Thompson (lost ball; steal by N. Jokic)"
"258","7:44.0","W. Barton makes 2-pt layup from 5 ft (assist by M. Morris)","+2","58-66","",""
"259","7:44.0","","","58-66","","Golden State full timeout"
"260","7:44.0","","","58-66","","O. Porter enters the game for K. Looney"
"261","7:32.0","","","58-66","","Offensive foul by J. Poole (drawn by M. Morris)"
"262","7:32.0","","","58-66","","Turnover by J. Poole (offensive foul)"
"263","7:30.0","W. Barton misses 2-pt layup from 4 ft (block by D. Green)","","58-66","",""
"264","7:29.0","Offensive rebound by Team","","58-66","",""
"265","7:24.0","N. Jokic misses 3-pt jump shot from 26 ft","","58-66","",""
"266","7:22.0","","","58-66","","Defensive rebound by A. Wiggins"
"267","7:05.0","","","58-66","","K. Thompson misses 2-pt jump shot from 14 ft"
"268","7:05.0","","","58-66","","Offensive rebound by Team"
"269","7:05.0","Loose ball foul by M. Morris (drawn by O. Porter)","","58-66","",""
"270","6:57.0","","","58-68","+2","K. Thompson makes 2-pt jump shot from 12 ft (assist by D. Green)"
"271","6:33.0","Turnover by W. Barton (bad pass; steal by A. Wiggins)","","58-68","",""
"272","6:24.0","","","58-71","+3","J. Poole makes 3-pt jump shot from 28 ft (assist by D. Green)"
"273","6:22.0","Denver full timeout","","58-71","",""
"274","6:07.0","N. Jokic makes 2-pt jump shot from 13 ft","+2","60-71","",""
"275","5:53.0","","","60-74","+3","J. Poole makes 3-pt jump shot from 26 ft"
"276","5:45.0","Personal foul by O. Porter (drawn by J. Green)","","60-74","",""
"277","5:45.0","","","60-74","","S. Curry enters the game for A. Wiggins"
"278","5:37.0","M. Morris misses 3-pt jump shot from 23 ft","","60-74","",""
"279","5:36.0","Offensive rebound by J. Green","","60-74","",""
"280","5:35.0","J. Green misses 2-pt layup at rim","","60-74","",""
"281","5:34.0","Offensive rebound by A. Gordon","","60-74","",""
"282","5:33.0","A. Gordon makes 2-pt layup from 4 ft","+2","62-74","",""
