"","Time","Golden State","","Score","","Memphis"
"353","1:57.0","","","87-85","","Turnover by J. Jackson (bad pass; steal by K. Thompson)"
"354","1:47.0","Turnover by G. Payton (bad pass; steal by J. Morant)","","87-85","",""
"355","1:46.0","","","87-85","","Personal foul by K. Looney (drawn by J. Morant)"
"356","1:46.0","J. Kuminga enters the game for K. Looney","","87-85","",""
"357","1:46.0","","","87-85","","K. Anderson enters the game for J. Jackson"
"358","1:46.0","","","87-85","","T. Jones enters the game for J. Morant"
"359","1:38.0","","","87-85","","Shooting foul by O. Porter (drawn by B. Clarke)"
"360","1:38.0","","","87-86","+1","B. Clarke makes free throw 1 of 2"
"361","1:38.0","","","87-86","","B. Clarke misses free throw 2 of 2"
"362","1:35.0","Defensive rebound by J. Kuminga","","87-86","",""
"363","1:18.0","K. Thompson makes 2-pt dunk from 1 ft (assist by O. Porter)","+2","89-86","",""
"364","1:03.0","","","89-86","","Personal foul by S. Curry (drawn by K. Anderson)"
"365","1:03.0","","","89-87","+1","K. Anderson makes free throw 1 of 2"
"366","1:03.0","J. Poole enters the game for S. Curry","","89-87","",""
"367","1:03.0","","","89-87","","J. Konchar enters the game for D. Bane"
"368","1:03.0","","","89-88","+1","K. Anderson makes free throw 2 of 2"
"369","0:50.0","J. Poole misses 2-pt jump shot from 4 ft","","89-88","",""
"370","0:49.0","Offensive rebound by G. Payton","","89-88","",""
"371","0:49.0","G. Payton makes 2-pt layup at rim","+2","91-88","",""
"372","0:28.0","","","91-88","","Turnover by D. Melton (bad pass; steal by G. Payton)"
"373","0:23.0","Turnover by G. Payton (lost ball; steal by D. Melton)","","91-88","",""
"374","0:07.0","","","91-90","+2","T. Jones makes 2-pt jump shot from 23 ft"
"375","0:00.0","Turnover by J. Poole (lost ball; steal by T. Jones)","","91-90","",""
"376","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"377","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"378","Time","Golden State","","Score","","Memphis"
"379","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"380","11:41.0","","","91-90","","D. Brooks misses 2-pt jump shot from 12 ft"
"381","11:36.0","Defensive rebound by G. Payton","","91-90","",""
"382","11:17.0","J. Poole misses 3-pt jump shot from 23 ft","","91-90","",""
"383","11:16.0","Offensive rebound by Team","","91-90","",""
"384","11:16.0","","","91-90","","Loose ball foul by K. Anderson (drawn by O. Porter)"
"385","11:04.0","J. Poole makes 3-pt jump shot from 26 ft (assist by K. Thompson)","+3","94-90","",""
"386","10:49.0","","","94-93","+3","D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Konchar)"
"387","10:37.0","Personal foul by D. Brooks (drawn by J. Poole)","","94-93","",""
"388","10:37.0","","","94-93","","J. Morant enters the game for D. Brooks"
"389","10:27.0","K. Thompson misses 2-pt jump shot from 16 ft","","94-93","",""
"390","10:25.0","","","94-93","","Defensive rebound by J. Konchar"
"391","10:15.0","","","94-93","","K. Anderson misses 2-pt hook shot from 8 ft"
"392","10:13.0","Defensive rebound by J. Kuminga","","94-93","",""
"393","10:02.0","J. Poole misses 2-pt layup from 3 ft (block by K. Anderson)","","94-93","",""
"394","10:02.0","Offensive rebound by Team","","94-93","",""
"395","9:59.0","K. Thompson misses 2-pt jump shot from 18 ft","","94-93","",""
"396","9:57.0","Offensive rebound by J. Poole","","94-93","",""
"397","9:55.0","J. Poole makes 2-pt layup from 4 ft","+2","96-93","",""
"398","9:38.0","","","96-93","","T. Jones misses 3-pt jump shot from 23 ft"
"399","9:35.0","Defensive rebound by O. Porter","","96-93","",""
"400","9:28.0","K. Thompson makes 3-pt jump shot from 24 ft (assist by J. Poole)","+3","99-93","",""
"401","9:28.0","","","99-93","","Memphis full timeout"
"402","9:28.0","","","99-93","","J. Jackson enters the game for B. Clarke"
"403","9:28.0","","","99-93","","D. Melton enters the game for J. Konchar"
"404","9:13.0","","","99-93","","Turnover by K. Anderson (bad pass; steal by O. Porter)"
"405","9:08.0","J. Poole makes 2-pt layup at rim","+2","101-93","",""
"406","8:44.0","","","101-93","","J. Morant misses 2-pt jump shot from 8 ft (block by G. Payton)"
"407","8:41.0","Defensive rebound by J. Kuminga","","101-93","",""
"408","8:25.0","K. Thompson makes 2-pt layup from 1 ft (assist by J. Poole)","+2","103-93","",""
"409","8:09.0","","","103-93","","J. Jackson misses 2-pt jump shot from 8 ft (block by J. Poole)"
"410","8:08.0","","","103-93","","Offensive rebound by J. Jackson"
"411","8:08.0","","","103-93","","Personal foul by J. Poole (drawn by J. Jackson)"
"412","8:08.0","","","103-93","","D. Bane enters the game for K. Anderson"
"413","8:08.0","","","103-93","","D. Brooks enters the game for T. Jones"
"414","8:06.0","","","103-93","","Away from play foul by G. Payton (drawn by J. Morant)"
"415","8:06.0","","","103-94","+1","D. Bane makes free throw 1 of 1"
"416","7:57.0","","","103-97","+3","J. Morant makes 3-pt jump shot from 26 ft"
"417","7:39.0","K. Thompson misses 3-pt jump shot from 25 ft","","103-97","",""
"418","7:37.0","","","103-97","","Defensive rebound by D. Melton"
"419","7:30.0","","","103-97","","D. Brooks misses 3-pt jump shot from 26 ft"
"420","7:26.0","Defensive rebound by G. Payton","","103-97","",""
"421","7:23.0","Golden State full timeout","","103-97","",""
"422","7:23.0","S. Curry enters the game for J. Poole","","103-97","",""
"423","7:11.0","O. Porter misses 2-pt jump shot from 5 ft","","103-97","",""
"424","7:07.0","","","103-97","","Defensive rebound by J. Morant"
"425","7:01.0","","","103-97","","Shooting foul by J. Kuminga (drawn by J. Jackson)"
"426","7:01.0","","","103-98","+1","J. Jackson makes free throw 1 of 2"
"427","7:01.0","","","103-99","+1","J. Jackson makes free throw 2 of 2"
"428","6:40.0","K. Thompson misses 2-pt jump shot from 13 ft","","103-99","",""
"429","6:38.0","","","103-99","","Defensive rebound by J. Morant"
"430","6:29.0","","","103-102","+3","J. Jackson makes 3-pt jump shot from 28 ft (assist by D. Brooks)"
"431","6:09.0","K. Thompson misses 3-pt jump shot from 23 ft","","103-102","",""
"432","6:06.0","Offensive rebound by G. Payton","","103-102","",""
"433","6:01.0","S. Curry misses 3-pt jump shot from 25 ft","","103-102","",""
"434","5:57.0","","","103-102","","Defensive rebound by D. Melton"
"435","5:47.0","","","103-102","","J. Morant misses 3-pt jump shot from 25 ft"
"436","5:44.0","Defensive rebound by J. Kuminga","","103-102","",""
"437","5:37.0","G. Payton makes 2-pt dunk from 1 ft (assist by O. Porter)","+2","105-102","",""
"438","5:22.0","","","105-102","","J. Morant misses 3-pt jump shot from 26 ft"
"439","5:20.0","Defensive rebound by S. Curry","","105-102","",""
"440","5:08.0","Offensive foul by S. Curry (drawn by D. Brooks)","","105-102","",""
"441","5:08.0","Turnover by S. Curry (offensive foul)","","105-102","",""
"442","5:08.0","Golden State full timeout","","105-102","",""
"443","5:08.0","Instant Replay (Challenge: Stands)","","105-102","",""
"444","5:08.0","K. Looney enters the game for J. Kuminga","","105-102","",""
"445","5:08.0","J. Poole enters the game for O. Porter","","105-102","",""
"446","5:08.0","A. Wiggins enters the game for K. Thompson","","105-102","",""
"447","5:08.0","","","105-102","","B. Clarke enters the game for D. Bane"
"448","4:57.0","","","105-102","","J. Jackson misses 3-pt jump shot from 26 ft"
"449","4:54.0","","","105-102","","Offensive rebound by D. Melton"
"450","4:46.0","","","105-104","+2","J. Morant makes 2-pt jump shot from 8 ft"
"451","4:26.0","S. Curry makes 3-pt jump shot from 26 ft","+3","108-104","",""
"452","4:02.0","","","108-104","","D. Melton misses 3-pt jump shot from 25 ft"
"453","4:00.0","Defensive rebound by S. Curry","","108-104","",""
"454","3:49.0","S. Curry misses 3-pt jump shot from 26 ft","","108-104","",""
"455","3:46.0","","","108-104","","Defensive rebound by Team"
"456","3:46.0","K. Thompson enters the game for G. Payton","","108-104","",""
"457","3:42.0","Jump ball: D. Brooks vs. K. Looney (J. Morant gains possession)","Jump ball: D. Brooks vs. K. Looney (J. Morant gains possession)","Jump ball: D. Brooks vs. K. Looney (J. Morant gains possession)","Jump ball: D. Brooks vs. K. Looney (J. Morant gains possession)","Jump ball: D. Brooks vs. K. Looney (J. Morant gains possession)"
"458","3:39.0","","","108-106","+2","J. Morant makes 2-pt layup at rim"
"459","3:27.0","Turnover by J. Poole (bad pass; steal by J. Morant)","","108-106","",""
"460","3:22.0","","","108-108","+2","B. Clarke makes 2-pt layup at rim (assist by J. Morant)"
"461","3:05.0","Shooting foul by B. Clarke (drawn by A. Wiggins)","","108-108","",""
"462","3:05.0","A. Wiggins makes free throw 1 of 2","+1","109-108","",""
"463","3:05.0","","","109-108","","D. Bane enters the game for D. Melton"
"464","3:05.0","A. Wiggins makes free throw 2 of 2","+1","110-108","",""
"465","2:53.0","","","110-110","+2","D. Brooks makes 2-pt dunk from 1 ft (assist by J. Morant)"
"466","2:37.0","A. Wiggins misses 3-pt jump shot from 24 ft","","110-110","",""
"467","2:35.0","","","110-110","","Defensive rebound by J. Morant"
"468","2:19.0","","","110-112","+2","J. Morant makes 2-pt layup from 1 ft"
"469","2:19.0","","","110-112","","Shooting foul by J. Poole (drawn by J. Morant)"
"470","2:19.0","G. Payton enters the game for K. Looney","","110-112","",""
"471","2:19.0","","","110-112","","J. Morant misses free throw 1 of 1"
"472","2:19.0","Defensive rebound by Team","","110-112","",""
"473","2:08.0","S. Curry misses 3-pt jump shot from 26 ft","","110-112","",""
"474","2:04.0","Offensive rebound by J. Poole","","110-112","",""
"475","2:02.0","A. Wiggins makes 2-pt dunk at rim (assist by J. Poole)","+2","112-112","",""
"476","1:43.0","","","112-114","+2","J. Morant makes 2-pt jump shot from 8 ft"
"477","1:35.0","G. Payton makes 2-pt layup at rim","+2","114-114","",""
"478","1:21.0","","","114-114","","J. Morant misses 2-pt layup from 3 ft"
"479","1:20.0","","","114-114","","Offensive rebound by J. Jackson"
"480","1:20.0","","","114-114","","J. Jackson misses 2-pt layup at rim"
"481","1:19.0","Defensive rebound by G. Payton","","114-114","",""
"482","1:17.0","Turnover by G. Payton (lost ball)","","114-114","",""
"483","1:17.0","","","114-114","","Memphis full timeout"
"484","1:17.0","","","114-114","","Instant Replay (Challenge: Ruling Stands)"
"485","1:16.0","","","114-116","+2","B. Clarke makes 2-pt layup from 4 ft (assist by J. Morant)"
"486","0:58.0","K. Thompson misses 3-pt jump shot from 25 ft","","114-116","",""
"487","0:55.0","Offensive rebound by A. Wiggins","","114-116","",""
"488","0:49.0","S. Curry misses 3-pt jump shot from 27 ft","","114-116","",""
"489","0:45.0","Offensive rebound by A. Wiggins","","114-116","",""
"490","0:44.0","A. Wiggins misses 2-pt layup from 2 ft","","114-116","",""
"491","0:42.0","","","114-116","","Defensive rebound by Team"
"492","0:39.0","Jump ball: D. Brooks vs. K. Thompson (B. Clarke gains possession)","Jump ball: D. Brooks vs. K. Thompson (B. Clarke gains possession)","Jump ball: D. Brooks vs. K. Thompson (B. Clarke gains possession)","Jump ball: D. Brooks vs. K. Thompson (B. Clarke gains possession)","Jump ball: D. Brooks vs. K. Thompson (B. Clarke gains possession)"
"493","0:39.0","","","114-116","","Turnover by B. Clarke (step out of bounds)"
"494","0:36.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by J. Poole)","+3","117-116","",""
"495","0:19.0","","","117-116","","J. Morant misses 2-pt layup from 2 ft (block by S. Curry)"
"496","0:16.0","Defensive rebound by J. Poole","","117-116","",""
"497","0:11.0","Personal take foul by J. Morant (drawn by J. Poole)","","117-116","",""
"498","0:11.0","Golden State full timeout","","117-116","",""
"499","0:11.0","D. Lee enters the game for G. Payton","","117-116","",""
"500","0:11.0","O. Porter enters the game for A. Wiggins","","117-116","",""
"501","0:11.0","","","117-116","","D. Melton enters the game for D. Bane"
"502","0:06.0","Personal foul by B. Clarke (drawn by K. Thompson)","","117-116","",""
"503","0:06.0","K. Thompson misses free throw 1 of 2","","117-116","",""
"504","0:06.0","Offensive rebound by Team","","117-116","",""
"505","0:06.0","G. Payton enters the game for D. Lee","","117-116","",""
"506","0:06.0","A. Wiggins enters the game for O. Porter","","117-116","",""
"507","0:06.0","K. Thompson misses free throw 2 of 2","","117-116","",""
"508","0:04.0","","","117-116","","Defensive rebound by Team"
"509","0:04.0","O. Porter enters the game for S. Curry","","117-116","",""
"510","0:03.0","Jump ball: J. Jackson vs. A. Wiggins (B. Clarke gains possession)","Jump ball: J. Jackson vs. A. Wiggins (B. Clarke gains possession)","Jump ball: J. Jackson vs. A. Wiggins (B. Clarke gains possession)","Jump ball: J. Jackson vs. A. Wiggins (B. Clarke gains possession)","Jump ball: J. Jackson vs. A. Wiggins (B. Clarke gains possession)"
"511","0:03.0","","","117-116","","Memphis full timeout"
"512","0:03.0","J. Toscano-Anderson enters the game for J. Poole","","117-116","",""
"513","0:03.0","","","117-116","","D. Bane enters the game for D. Melton"
"514","0:00.0","","","117-116","","J. Morant misses 2-pt layup from 2 ft"
"515","0:00.0","Defensive rebound by A. Wiggins","","117-116","",""
"516","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
