"","Time","Phoenix","","Score","","New Orleans"
"166","4:52.0","M. Bridges misses 2-pt jump shot from 19 ft","","38-41","",""
"167","4:49.0","","","38-41","","Defensive rebound by N. Marshall"
"168","4:44.0","","","38-41","","Turnover by B. Ingram (lost ball; steal by C. Paul)"
"169","4:33.0","D. Ayton makes 2-pt jump shot from 10 ft (assist by C. Payne)","+2","40-41","",""
"170","4:18.0","","","40-41","","Personal foul by J. Crowder (drawn by B. Ingram)"
"171","4:18.0","","","40-42","+1","B. Ingram makes free throw 1 of 2"
"172","4:18.0","L. Shamet enters the game for C. Paul","","40-42","",""
"173","4:18.0","","","40-42","","J. Alvarado enters the game for N. Marshall"
"174","4:18.0","","","40-43","+1","B. Ingram makes free throw 2 of 2"
"175","3:58.0","J. Crowder misses 2-pt jump shot from 23 ft","","40-43","",""
"176","3:55.0","","","40-43","","Defensive rebound by J. Alvarado"
"177","3:48.0","","","40-43","","C. McCollum misses 2-pt jump shot from 14 ft"
"178","3:44.0","","","40-43","","Offensive rebound by L. Nance"
"179","3:42.0","","","40-45","+2","C. McCollum makes 2-pt layup from 2 ft (assist by L. Nance)"
"180","3:32.0","Turnover by J. Crowder (lost ball; steal by H. Jones)","","40-45","",""
"181","3:27.0","","","40-47","+2","B. Ingram makes 2-pt layup from 3 ft (assist by J. Alvarado)"
"182","3:27.0","","","40-47","","Shooting foul by D. Ayton (drawn by B. Ingram)"
"183","3:27.0","","","40-48","+1","B. Ingram makes free throw 1 of 1"
"184","3:19.0","Turnover by J. Crowder (bad pass; steal by H. Jones)","","40-48","",""
"185","3:16.0","","","40-48","","H. Jones misses 2-pt layup from 3 ft"
"186","3:16.0","","","40-48","","Offensive rebound by L. Nance"
"187","3:16.0","","","40-48","","Shooting foul by J. Crowder (drawn by L. Nance)"
"188","3:16.0","","","40-49","+1","L. Nance makes free throw 1 of 2"
"189","3:16.0","","","40-50","+1","L. Nance makes free throw 2 of 2"
"190","3:00.0","Turnover by M. Bridges (step out of bounds)","","40-50","",""
"191","2:49.0","","","40-50","","Offensive foul by B. Ingram (drawn by J. Crowder)"
"192","2:49.0","","","40-50","","Turnover by B. Ingram (offensive foul)"
"193","2:49.0","Phoenix full timeout","","40-50","",""
"194","2:38.0","C. Payne misses 2-pt layup from 2 ft","","40-50","",""
"195","2:35.0","","","40-50","","Defensive rebound by H. Jones"
"196","2:30.0","","","40-52","+2","B. Ingram makes 2-pt layup from 2 ft (assist by H. Jones)"
"197","2:20.0","M. Bridges makes 2-pt layup from 2 ft","+2","42-52","",""
"198","1:59.0","","","42-52","","Turnover by B. Ingram (bad pass; steal by D. Ayton)"
"199","1:54.0","L. Shamet misses 3-pt jump shot from 24 ft","","42-52","",""
"200","1:52.0","","","42-52","","Defensive rebound by L. Nance"
"201","1:29.0","","","42-54","+2","C. McCollum makes 2-pt jump shot from 14 ft"
"202","1:11.0","M. Bridges misses 2-pt layup from 3 ft","","42-54","",""
"203","1:08.0","","","42-54","","Defensive rebound by H. Jones"
"204","0:58.0","","","42-54","","Turnover by J. Alvarado (bad pass; steal by C. Payne)"
"205","0:43.0","M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Crowder)","+3","45-54","",""
"206","0:33.0","","","45-56","+2","C. McCollum makes 2-pt jump shot from 17 ft"
"207","0:21.0","C. Payne makes 3-pt jump shot from 26 ft","+3","48-56","",""
"208","0:00.0","","","48-56","","C. McCollum misses 2-pt jump shot from 5 ft"
"209","0:00.0","","","48-56","","Offensive rebound by L. Nance"
"210","0:00.0","","","48-58","+2","L. Nance makes 2-pt layup at rim"
"211","0:00.0","","","48-58","","Instant Replay (Request: Ruling Stands)"
"212","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"213","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"214","Time","Phoenix","","Score","","New Orleans"
"215","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"216","11:38.0","","","48-58","","Offensive foul by C. McCollum (drawn by C. Johnson)"
"217","11:38.0","","","48-58","","Turnover by C. McCollum (offensive foul)"
"218","11:24.0","J. Crowder makes 2-pt jump shot from 11 ft (assist by C. Paul)","+2","50-58","",""
"219","11:24.0","Shooting foul by H. Jones (drawn by J. Crowder)","","50-58","",""
"220","11:24.0","","","50-58","","New Orleans full timeout"
"221","11:24.0","","","50-58","","Instant Replay (Challenge: Stands)"
"222","11:24.0","J. Crowder makes free throw 1 of 1","+1","51-58","",""
"223","11:12.0","","","51-58","","J. Hayes misses 2-pt layup from 3 ft (block by D. Ayton)"
"224","11:08.0","Defensive rebound by D. Ayton","","51-58","",""
"225","11:04.0","C. Paul makes 2-pt jump shot from 17 ft","+2","53-58","",""
"226","10:50.0","","","53-60","+2","J. Valanciunas makes 2-pt jump shot from 16 ft (assist by B. Ingram)"
"227","10:31.0","C. Johnson misses 2-pt jump shot from 11 ft","","53-60","",""
"228","10:29.0","","","53-60","","Defensive rebound by J. Valanciunas"
"229","10:23.0","","","53-63","+3","C. McCollum makes 3-pt jump shot from 26 ft"
"230","10:02.0","Personal foul by H. Jones (drawn by C. Paul)","","53-63","",""
"231","9:58.0","Personal foul by C. McCollum (drawn by C. Paul)","","53-63","",""
"232","9:52.0","C. Paul makes 2-pt jump shot from 7 ft (assist by D. Ayton)","+2","55-63","",""
"233","9:39.0","","","55-63","","B. Ingram misses 2-pt jump shot from 14 ft"
"234","9:35.0","Defensive rebound by J. Crowder","","55-63","",""
"235","9:26.0","D. Ayton makes 2-pt jump shot from 13 ft (assist by C. Paul)","+2","57-63","",""
"236","9:13.0","","","57-63","","Personal foul by M. Bridges (drawn by B. Ingram)"
"237","9:06.0","","","57-63","","Turnover by B. Ingram (lost ball; steal by J. Crowder)"
"238","8:45.0","J. Crowder makes 2-pt layup from 1 ft (assist by D. Ayton)","+2","59-63","",""
"239","8:31.0","","","59-63","","C. McCollum misses 2-pt layup from 2 ft"
"240","8:25.0","","","59-63","","Offensive rebound by J. Valanciunas"
"241","8:25.0","","","59-65","+2","J. Valanciunas makes 2-pt layup at rim"
"242","8:15.0","C. Paul makes 2-pt jump shot from 9 ft","+2","61-65","",""
"243","7:58.0","","","61-67","+2","J. Hayes makes 2-pt hook shot from 4 ft (assist by J. Valanciunas)"
"244","7:44.0","C. Johnson makes 2-pt layup from 2 ft (assist by J. Crowder)","+2","63-67","",""
"245","7:26.0","","","63-69","+2","J. Valanciunas makes 2-pt hook shot from 9 ft (assist by B. Ingram)"
"246","7:06.0","C. Paul makes 2-pt jump shot from 14 ft","+2","65-69","",""
"247","6:55.0","","","65-69","","Offensive foul by C. McCollum (drawn by J. Crowder)"
"248","6:55.0","","","65-69","","Turnover by C. McCollum (offensive foul)"
"249","6:55.0","D. Booker enters the game for C. Johnson","","65-69","",""
"250","6:55.0","","","65-69","","J. Alvarado enters the game for J. Hayes"
"251","6:55.0","","","65-69","","T. Murphy enters the game for C. McCollum"
"252","6:44.0","C. Paul makes 3-pt jump shot from 25 ft","+3","68-69","",""
"253","6:24.0","","","68-69","","Offensive foul by H. Jones (drawn by M. Bridges)"
"254","6:24.0","","","68-69","","Turnover by H. Jones (offensive foul)"
"255","6:24.0","","","68-69","","Violation by Team (delay of game)"
"256","6:09.0","C. Paul makes 2-pt jump shot from 15 ft","+2","70-69","",""
"257","6:09.0","","","70-69","","New Orleans full timeout"
"258","5:51.0","","","70-69","","T. Murphy misses 3-pt jump shot from 28 ft"
"259","5:48.0","Defensive rebound by M. Bridges","","70-69","",""
"260","5:33.0","M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Ayton)","+3","73-69","",""
"261","5:09.0","","","73-72","+3","H. Jones makes 3-pt jump shot from 25 ft (assist by J. Valanciunas)"
"262","5:00.0","Turnover by C. Paul (bad pass; steal by J. Alvarado)","","73-72","",""
