"","Time","Denver","","Score","","Golden State"
"232","0:08.0","J. Green enters the game for N. Jokic","","51-57","",""
"233","0:08.0","","","51-57","","O. Porter enters the game for K. Looney"
"234","0:08.0","","","51-57","","Away from play foul by A. Gordon (drawn by O. Porter)"
"235","0:08.0","","","51-57","","Instant Replay (Request: Ruling Stands)"
"236","0:08.0","","","51-57","","S. Curry misses free throw 1 of 1"
"237","0:08.0","","","51-57","","Offensive rebound by Team"
"238","0:02.0","","","51-57","","S. Curry misses 3-pt jump shot from 27 ft"
"239","0:00.0","","","51-57","","Offensive rebound by O. Porter"
"240","0:00.0","","","51-57","","Instant Replay (Request: Ruling Stands)"
"241","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"242","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"243","Time","Denver","","Score","","Golden State"
"244","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"245","11:47.0","Violation by Team (kicked ball)","","51-57","",""
"246","11:43.0","","","51-60","+3","J. Poole makes 3-pt jump shot from 26 ft (assist by K. Thompson)"
"247","11:43.0","","","51-60","","Shooting foul by N. Jokic (drawn by J. Poole)"
"248","11:43.0","","","51-61","+1","J. Poole makes free throw 1 of 1"
"249","11:25.0","N. Jokic makes 2-pt hook shot from 7 ft","+2","53-61","",""
"250","11:04.0","","","53-63","+2","A. Wiggins makes 2-pt jump shot from 21 ft"
"251","10:48.0","M. Morris misses 2-pt layup from 6 ft","","53-63","",""
"252","10:46.0","","","53-63","","Defensive rebound by A. Wiggins"
"253","10:42.0","","","53-63","","Shooting foul by N. Jokic (drawn by D. Green)"
"254","10:42.0","","","53-64","+1","D. Green makes free throw 1 of 2"
"255","10:42.0","","","53-64","","D. Green misses free throw 2 of 2"
"256","10:40.0","Defensive rebound by A. Gordon","","53-64","",""
"257","10:33.0","A. Gordon misses 3-pt jump shot from 27 ft","","53-64","",""
"258","10:30.0","","","53-64","","Defensive rebound by A. Wiggins"
"259","10:24.0","","","53-64","","K. Thompson misses 3-pt jump shot from 24 ft"
"260","10:22.0","Defensive rebound by M. Morris","","53-64","",""
"261","10:03.0","Turnover by N. Jokic (bad pass)","","53-64","",""
"262","9:56.0","","","53-64","","K. Looney misses 2-pt layup from 5 ft (block by A. Gordon)"
"263","9:54.0","Defensive rebound by N. Jokic","","53-64","",""
"264","9:48.0","W. Barton misses 2-pt layup from 7 ft","","53-64","",""
"265","9:46.0","","","53-64","","Defensive rebound by A. Wiggins"
"266","9:37.0","","","53-64","","Shooting foul by J. Green (drawn by J. Poole)"
"267","9:37.0","","","53-65","+1","J. Poole makes free throw 1 of 3"
"268","9:37.0","","","53-66","+1","J. Poole makes free throw 2 of 3"
"269","9:37.0","","","53-67","+1","J. Poole makes free throw 3 of 3"
"270","9:28.0","W. Barton makes 2-pt layup from 6 ft (assist by N. Jokic)","+2","55-67","",""
"271","9:20.0","","","55-69","+2","A. Wiggins makes 2-pt dunk from 4 ft (assist by D. Green)"
"272","9:18.0","Denver full timeout","","55-69","",""
"273","9:09.0","Personal foul by J. Poole (drawn by N. Jokic)","","55-69","",""
"274","9:03.0","N. Jokic makes 2-pt jump shot from 18 ft (assist by M. Morris)","+2","57-69","",""
"275","8:40.0","","","57-72","+3","D. Green makes 3-pt jump shot from 26 ft (assist by K. Looney)"
"276","8:12.0","N. Jokic makes 2-pt jump shot from 14 ft (assist by M. Morris)","+2","59-72","",""
"277","7:55.0","","","59-72","","K. Thompson misses 2-pt jump shot from 12 ft"
"278","7:53.0","Defensive rebound by W. Barton","","59-72","",""
"279","7:29.0","W. Barton misses 2-pt jump shot from 11 ft (block by K. Thompson)","","59-72","",""
"280","7:29.0","Offensive rebound by W. Barton","","59-72","",""
"281","7:29.0","Turnover by Team (shot clock)","","59-72","",""
"282","7:18.0","","","59-72","","J. Poole misses 3-pt jump shot from 25 ft"
"283","7:15.0","Defensive rebound by Team","","59-72","",""
"284","6:53.0","N. Jokic misses 2-pt jump shot from 11 ft","","59-72","",""
"285","6:51.0","","","59-72","","Defensive rebound by K. Thompson"
"286","6:30.0","","","59-72","","A. Wiggins misses 2-pt jump shot from 14 ft"
"287","6:27.0","Defensive rebound by W. Barton","","59-72","",""
"288","6:22.0","W. Barton misses 2-pt layup from 11 ft (block by J. Poole)","","59-72","",""
"289","6:20.0","Offensive rebound by N. Jokic","","59-72","",""
"290","6:14.0","M. Morris makes 3-pt jump shot from 27 ft (assist by W. Barton)","+3","62-72","",""
"291","6:08.0","","","62-72","","Golden State full timeout"
"292","6:08.0","","","62-72","","S. Curry enters the game for K. Looney"
"293","6:08.0","","","62-72","","O. Porter enters the game for J. Poole"
"294","6:03.0","","","62-72","","K. Thompson misses 3-pt jump shot from 26 ft"
"295","6:01.0","Defensive rebound by W. Barton","","62-72","",""
"296","5:48.0","N. Jokic makes 2-pt hook shot from 7 ft","+2","64-72","",""
"297","5:36.0","","","64-74","+2","S. Curry makes 2-pt jump shot from 9 ft"
"298","5:23.0","N. Jokic misses 3-pt jump shot from 29 ft","","64-74","",""
"299","5:21.0","","","64-74","","Defensive rebound by A. Wiggins"
"300","5:13.0","","","64-77","+3","K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry)"
"301","4:52.0","N. Jokic misses 3-pt jump shot from 27 ft","","64-77","",""
"302","4:49.0","Offensive rebound by J. Green","","64-77","",""
"303","4:38.0","N. Jokic misses 2-pt hook shot from 7 ft","","64-77","",""
"304","4:36.0","Offensive rebound by A. Gordon","","64-77","",""
"305","4:33.0","A. Gordon makes 2-pt layup at rim","+2","66-77","",""
"306","4:15.0","","","66-79","+2","K. Thompson makes 2-pt jump shot from 20 ft (assist by O. Porter)"
"307","3:52.0","A. Gordon misses 3-pt jump shot from 26 ft","","66-79","",""
"308","3:49.0","Offensive rebound by N. Jokic","","66-79","",""
"309","3:49.0","Shooting foul by D. Green (drawn by N. Jokic)","","66-79","",""
"310","3:49.0","N. Jokic makes free throw 1 of 2","+1","67-79","",""
"311","3:49.0","J. Green enters the game for A. Gordon","","67-79","",""
"312","3:49.0","B. Hyland enters the game for J. Green","","67-79","",""
"313","3:49.0","A. Rivers enters the game for M. Morris","","67-79","",""
"314","3:49.0","N. Jokic makes free throw 2 of 2","+1","68-79","",""
"315","3:36.0","","","68-82","+3","K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry)"
"316","3:21.0","Turnover by W. Barton (bad pass; steal by D. Green)","","68-82","",""
"317","3:17.0","","","68-84","+2","S. Curry makes 2-pt layup from 5 ft"
"318","3:17.0","Denver full timeout","","68-84","",""
"319","3:17.0","B. Forbes enters the game for W. Barton","","68-84","",""
"320","3:05.0","N. Jokic misses 2-pt jump shot from 14 ft","","68-84","",""
"321","3:03.0","","","68-84","","Defensive rebound by O. Porter"
"322","2:54.0","","","68-87","+3","S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green)"
"323","2:54.0","","","68-87","","Shooting foul by J. Green (drawn by S. Curry)"
"324","2:54.0","","","68-88","+1","S. Curry makes free throw 1 of 1"
"325","2:41.0","B. Hyland makes 3-pt jump shot from 26 ft (assist by N. Jokic)","+3","71-88","",""
"326","2:31.0","","","71-88","","Shooting foul by N. Jokic (drawn by A. Wiggins)"
"327","2:31.0","Technical foul by N. Jokic","","71-88","",""
"328","2:31.0","","","71-88","","S. Curry misses technical free throw"
"329","2:31.0","","","71-88","","Offensive rebound by Team"
"330","2:31.0","D. Cousins enters the game for N. Jokic","","71-88","",""
"331","2:31.0","","","71-88","","N. Bjelica enters the game for D. Green"
"332","2:31.0","","","71-88","","J. Poole enters the game for K. Thompson"
"333","2:31.0","","","71-88","","A. Wiggins misses free throw 1 of 2"
"334","2:31.0","","","71-88","","Offensive rebound by Team"
"335","2:31.0","","","71-89","+1","A. Wiggins makes free throw 2 of 2"
"336","2:21.0","D. Cousins misses 2-pt layup from 6 ft (block by A. Wiggins)","","71-89","",""
"337","2:20.0","Offensive rebound by Team","","71-89","",""
"338","2:20.0","","","71-89","","G. Payton enters the game for A. Wiggins"
"339","2:15.0","Turnover by B. Forbes (bad pass; steal by N. Bjelica)","","71-89","",""
"340","2:12.0","","","71-92","+3","J. Poole makes 3-pt jump shot from 26 ft"
"341","1:52.0","B. Forbes makes 2-pt jump shot from 18 ft (assist by D. Cousins)","+2","73-92","",""
"342","1:39.0","","","73-95","+3","J. Poole makes 3-pt jump shot from 23 ft"
"343","1:27.0","J. Green misses 3-pt jump shot from 27 ft","","73-95","",""
"344","1:24.0","Offensive rebound by D. Cousins","","73-95","",""
"345","1:22.0","D. Cousins misses 2-pt layup from 6 ft","","73-95","",""
"346","1:20.0","Offensive rebound by D. Cousins","","73-95","",""
"347","1:17.0","D. Cousins makes 2-pt layup at rim","+2","75-95","",""
"348","0:59.0","","","75-97","+2","N. Bjelica makes 2-pt layup from 6 ft (assist by J. Poole)"
"349","0:50.0","Shooting foul by S. Curry (drawn by B. Hyland)","","75-97","",""
"350","0:50.0","B. Hyland makes free throw 1 of 2","+1","76-97","",""
"351","0:50.0","B. Hyland makes free throw 2 of 2","+1","77-97","",""
"352","0:38.0","","","77-97","","Personal foul by J. Green (drawn by S. Curry)"
"353","0:38.0","","","77-98","+1","S. Curry makes free throw 1 of 2"
"354","0:38.0","","","77-99","+1","S. Curry makes free throw 2 of 2"
"355","0:36.0","Personal foul by N. Bjelica (drawn by B. Hyland)","","77-99","",""
"356","0:36.0","B. Hyland makes free throw 1 of 2","+1","78-99","",""
"357","0:36.0","B. Hyland makes free throw 2 of 2","+1","79-99","",""
