"","Time","Golden State","","Score","","Denver"
"132","8:16.0","","","45-42","","Offensive foul by J. Green (drawn by J. Poole)"
"133","8:16.0","","","45-42","","Turnover by J. Green (offensive foul)"
"134","8:16.0","S. Curry enters the game for A. Iguodala","","45-42","",""
"135","8:16.0","","","45-42","","F. Campazzo enters the game for J. Green"
"136","8:05.0","Turnover by O. Porter (traveling)","","45-42","",""
"137","7:49.0","","","45-45","+3","A. Rivers makes 3-pt jump shot from 25 ft (assist by B. Hyland)"
"138","7:30.0","O. Porter makes 2-pt layup from 4 ft (assist by N. Bjelica)","+2","47-45","",""
"139","7:21.0","","","47-45","","Turnover by D. Cousins (traveling)"
"140","7:21.0","G. Payton enters the game for O. Porter","","47-45","",""
"141","7:11.0","K. Thompson makes 2-pt layup from 3 ft (assist by S. Curry)","+2","49-45","",""
"142","7:11.0","","","49-45","","Denver full timeout"
"143","7:11.0","D. Green enters the game for N. Bjelica","","49-45","",""
"144","7:11.0","O. Porter enters the game for J. Poole","","49-45","",""
"145","7:11.0","A. Wiggins enters the game for K. Thompson","","49-45","",""
"146","7:11.0","","","49-45","","W. Barton enters the game for D. Cousins"
"147","7:11.0","","","49-45","","A. Gordon enters the game for B. Forbes"
"148","7:11.0","","","49-45","","N. Jokic enters the game for B. Hyland"
"149","7:11.0","","","49-45","","M. Morris enters the game for A. Rivers"
"150","6:58.0","","","49-45","","Turnover by F. Campazzo (bad pass; steal by G. Payton)"
"151","6:41.0","Turnover by D. Green (bad pass; steal by W. Barton)","","49-45","",""
"152","6:25.0","","","49-45","","A. Gordon misses 2-pt jump shot from 18 ft"
"153","6:19.0","","","49-45","","Offensive rebound by N. Jokic"
"154","6:19.0","","","49-45","","N. Jokic misses 2-pt layup at rim"
"155","6:18.0","Defensive rebound by D. Green","","49-45","",""
"156","6:14.0","G. Payton makes 3-pt jump shot from 22 ft (assist by S. Curry)","+3","52-45","",""
"157","5:59.0","","","52-47","+2","N. Jokic makes 2-pt jump shot from 4 ft"
"158","5:47.0","O. Porter makes 2-pt jump shot from 12 ft (assist by D. Green)","+2","54-47","",""
"159","5:28.0","","","54-49","+2","M. Morris makes 2-pt layup from 3 ft (assist by N. Jokic)"
"160","5:05.0","G. Payton makes 3-pt jump shot from 25 ft (assist by O. Porter)","+3","57-49","",""
"161","4:45.0","","","57-49","","M. Morris misses 2-pt jump shot from 18 ft"
"162","4:41.0","Defensive rebound by A. Wiggins","","57-49","",""
"163","4:36.0","A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","60-49","",""
"164","4:24.0","","","60-49","","Denver full timeout"
"165","4:24.0","","","60-49","","A. Rivers enters the game for F. Campazzo"
"166","4:14.0","","","60-49","","Turnover by N. Jokic (bad pass)"
"167","4:01.0","Shooting foul by N. Jokic (drawn by A. Wiggins)","","60-49","",""
"168","4:01.0","A. Wiggins makes free throw 1 of 2","+1","61-49","",""
"169","4:01.0","A. Wiggins misses free throw 2 of 2","","61-49","",""
"170","3:59.0","","","61-49","","Defensive rebound by N. Jokic"
"171","3:44.0","","","61-49","","Personal foul by O. Porter (drawn by A. Rivers)"
"172","3:44.0","K. Thompson enters the game for O. Porter","","61-49","",""
"173","3:35.0","","","61-49","","N. Jokic misses 2-pt jump shot from 16 ft"
"174","3:31.0","","","61-49","","Offensive rebound by A. Gordon"
"175","3:30.0","","","61-49","","A. Gordon misses 2-pt layup from 5 ft (block by D. Green)"
"176","3:27.0","Defensive rebound by D. Green","","61-49","",""
"177","3:16.0","S. Curry misses 3-pt jump shot from 30 ft","","61-49","",""
"178","3:13.0","","","61-49","","Defensive rebound by W. Barton"
"179","3:08.0","","","61-52","+3","W. Barton makes 3-pt jump shot from 26 ft (assist by M. Morris)"
"180","2:51.0","Personal foul by A. Gordon (drawn by D. Green)","","61-52","",""
"181","2:51.0","J. Poole enters the game for G. Payton","","61-52","",""
"182","2:45.0","","","61-52","","Violation by Team (kicked ball)"
"183","2:39.0","Turnover by S. Curry (bad pass; steal by N. Jokic)","","61-52","",""
"184","2:39.0","","","61-52","","Personal foul by S. Curry (drawn by M. Morris)"
"185","2:27.0","","","61-54","+2","N. Jokic makes 2-pt jump shot from 6 ft (assist by W. Barton)"
"186","2:11.0","S. Curry makes 2-pt layup from 2 ft (assist by D. Green)","+2","63-54","",""
"187","2:00.0","","","63-54","","N. Jokic misses 2-pt layup from 3 ft"
"188","1:59.0","","","63-54","","Offensive rebound by A. Gordon"
"189","1:59.0","","","63-56","+2","A. Gordon makes 2-pt layup at rim"
"190","1:56.0","Turnover by S. Curry (bad pass)","","63-56","",""
"191","1:43.0","","","63-56","","Shooting foul by A. Wiggins (drawn by A. Gordon)"
"192","1:43.0","","","63-57","+1","A. Gordon makes free throw 1 of 2"
"193","1:43.0","Golden State full timeout","","63-57","",""
"194","1:43.0","","","63-57","","A. Gordon misses free throw 2 of 2"
"195","1:41.0","Defensive rebound by A. Wiggins","","63-57","",""
"196","1:32.0","Personal foul by W. Barton (drawn by D. Green)","","63-57","",""
"197","1:21.0","K. Thompson misses 2-pt layup from 4 ft","","63-57","",""
"198","1:19.0","","","63-57","","Defensive rebound by A. Gordon"
"199","1:11.0","","","63-59","+2","N. Jokic makes 2-pt jump shot from 9 ft (assist by W. Barton)"
"200","1:01.0","Turnover by S. Curry (bad pass; steal by M. Morris)","","63-59","",""
"201","0:57.0","","","63-59","","M. Morris misses 3-pt jump shot from 26 ft"
"202","0:54.0","Defensive rebound by S. Curry","","63-59","",""
"203","0:41.0","S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green)","+3","66-59","",""
"204","0:32.0","","","66-59","","N. Jokic misses 3-pt jump shot from 27 ft"
"205","0:28.0","Defensive rebound by J. Poole","","66-59","",""
"206","0:26.0","Turnover by J. Poole (bad pass; steal by N. Jokic)","","66-59","",""
"207","0:07.0","","","66-59","","W. Barton misses 2-pt jump shot from 6 ft"
"208","0:05.0","Defensive rebound by D. Green","","66-59","",""
"209","0:03.0","S. Curry makes 2-pt layup from 4 ft (assist by D. Green)","+2","68-59","",""
"210","0:03.0","Shooting foul by A. Rivers (drawn by S. Curry)","","68-59","",""
"211","0:03.0","K. Looney enters the game for D. Green","","68-59","",""
"212","0:03.0","G. Payton enters the game for J. Poole","","68-59","",""
"213","0:03.0","S. Curry makes free throw 1 of 1","+1","69-59","",""
"214","0:01.0","","","69-59","","W. Barton misses 2-pt jump shot from 22 ft"
"215","0:00.0","","","69-59","","Offensive rebound by Team"
"216","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"217","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"218","Time","Golden State","","Score","","Denver"
"219","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"220","11:46.0","Offensive foul by D. Green (drawn by M. Morris)","","69-59","",""
"221","11:46.0","Turnover by D. Green (offensive foul)","","69-59","",""
"222","11:46.0","Instant Replay (Request: Ruling Stands)","","69-59","",""
"223","11:30.0","","","69-61","+2","N. Jokic makes 2-pt hook shot from 2 ft"
"224","11:21.0","K. Thompson misses 3-pt jump shot from 26 ft","","69-61","",""
"225","11:18.0","","","69-61","","Defensive rebound by N. Jokic"
"226","11:02.0","","","69-63","+2","J. Green makes 2-pt jump shot from 14 ft"
"227","10:46.0","A. Wiggins misses 3-pt jump shot from 26 ft","","69-63","",""
