"","Time","Dallas","","Score","","Golden State"
"159","7:42.0","D. Bertans makes free throw 1 of 1","+1","48-34","",""
"160","7:38.0","D. Bertans makes 2-pt jump shot from 13 ft (assist by J. Brunson)","+2","50-34","",""
"161","7:22.0","","","50-34","","K. Thompson misses 3-pt jump shot from 26 ft"
"162","7:20.0","Defensive rebound by D. Bertans","","50-34","",""
"163","7:09.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","53-34","",""
"164","7:08.0","","","53-34","","Golden State full timeout"
"165","7:08.0","","","53-34","","S. Curry enters the game for D. Green"
"166","7:08.0","","","53-34","","K. Looney enters the game for D. Lee"
"167","7:08.0","","","53-34","","A. Wiggins enters the game for K. Thompson"
"168","6:51.0","","","53-36","+2","J. Poole makes 2-pt layup from 5 ft (assist by O. Porter)"
"169","6:38.0","D. Bertans misses 3-pt jump shot from 25 ft","","53-36","",""
"170","6:35.0","","","53-36","","Defensive rebound by A. Wiggins"
"171","6:25.0","","","53-36","","K. Looney misses 2-pt layup from 6 ft"
"172","6:23.0","","","53-36","","Offensive rebound by Team"
"173","6:23.0","L. Doncic enters the game for D. Bertans","","53-36","",""
"174","6:23.0","M. Kleber enters the game for S. Dinwiddie","","53-36","",""
"175","6:23.0","","","53-36","","K. Thompson enters the game for J. Poole"
"176","6:13.0","","","53-36","","A. Wiggins misses 2-pt layup from 6 ft (block by M. Kleber)"
"177","6:13.0","","","53-36","","Offensive rebound by Team"
"178","6:13.0","","","53-36","","Turnover by Team (shot clock)"
"179","6:13.0","R. Bullock enters the game for D. Finney-Smith","","53-36","",""
"180","5:58.0","M. Kleber misses 3-pt jump shot from 23 ft","","53-36","",""
"181","5:56.0","","","53-36","","Defensive rebound by S. Curry"
"182","5:44.0","","","53-38","+2","K. Looney makes 2-pt layup from 3 ft (assist by O. Porter)"
"183","5:26.0","J. Brunson makes 3-pt jump shot from 27 ft (assist by L. Doncic)","+3","56-38","",""
"184","5:13.0","","","56-41","+3","A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Thompson)"
"185","4:52.0","L. Doncic misses 2-pt jump shot from 6 ft","","56-41","",""
"186","4:48.0","","","56-41","","Defensive rebound by A. Wiggins"
"187","4:44.0","","","56-41","","A. Wiggins misses 2-pt layup from 4 ft"
"188","4:42.0","","","56-41","","Offensive rebound by K. Looney"
"189","4:42.0","","","56-41","","K. Looney misses 2-pt layup at rim"
"190","4:42.0","Defensive rebound by J. Green","","56-41","",""
"191","4:42.0","Personal take foul by S. Curry (drawn by J. Brunson)","","56-41","",""
"192","4:42.0","D. Finney-Smith enters the game for J. Green","","56-41","",""
"193","4:42.0","","","56-41","","D. Green enters the game for O. Porter"
"194","4:28.0","R. Bullock makes 3-pt jump shot from 28 ft (assist by L. Doncic)","+3","59-41","",""
"195","4:15.0","","","59-43","+2","S. Curry makes 2-pt jump shot from 9 ft (assist by D. Green)"
"196","4:05.0","Offensive foul by R. Bullock (drawn by S. Curry)","","59-43","",""
"197","4:05.0","Turnover by R. Bullock (offensive foul)","","59-43","",""
"198","3:57.0","","","59-43","","Personal foul by R. Bullock (drawn by D. Green)"
"199","3:57.0","Technical foul by D. Finney-Smith","","59-43","",""
"200","3:57.0","","","59-44","+1","S. Curry makes technical free throw"
"201","3:50.0","","","59-44","","Shooting foul by L. Doncic (drawn by A. Wiggins)"
"202","3:50.0","","","59-45","+1","A. Wiggins makes free throw 1 of 2"
"203","3:50.0","","","59-46","+1","A. Wiggins makes free throw 2 of 2"
"204","3:29.0","Personal foul by K. Thompson (drawn by L. Doncic)","","59-46","",""
"205","3:29.0","L. Doncic misses free throw 1 of 2","","59-46","",""
"206","3:29.0","Offensive rebound by Team","","59-46","",""
"207","3:29.0","L. Doncic makes free throw 2 of 2","+1","60-46","",""
"208","3:16.0","","","60-48","+2","K. Looney makes 2-pt layup from 4 ft (assist by D. Green)"
"209","3:05.0","J. Brunson makes 3-pt jump shot from 29 ft (assist by L. Doncic)","+3","63-48","",""
"210","2:55.0","","","63-48","","S. Curry misses 3-pt jump shot from 31 ft"
"211","2:53.0","Defensive rebound by D. Finney-Smith","","63-48","",""
"212","2:43.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","66-48","",""
"213","2:22.0","","","66-48","","A. Wiggins misses 2-pt jump shot from 6 ft"
"214","2:21.0","Defensive rebound by Team","","66-48","",""
"215","2:21.0","","","66-48","","Loose ball foul by D. Green (drawn by J. Brunson)"
"216","2:21.0","Dallas full timeout","","66-48","",""
"217","2:21.0","","","66-48","","J. Poole enters the game for K. Looney"
"218","2:21.0","J. Brunson makes free throw 1 of 2","+1","67-48","",""
"219","2:21.0","J. Brunson misses free throw 2 of 2","","67-48","",""
"220","2:20.0","","","67-48","","Defensive rebound by Team"
"221","2:09.0","","","67-48","","D. Green misses 2-pt jump shot from 12 ft"
"222","2:07.0","Defensive rebound by J. Brunson","","67-48","",""
"223","1:42.0","L. Doncic misses 2-pt jump shot from 17 ft","","67-48","",""
"224","1:40.0","","","67-48","","Defensive rebound by S. Curry"
"225","1:36.0","","","67-48","","Shooting foul by D. Finney-Smith (drawn by K. Thompson)"
"226","1:36.0","","","67-49","+1","K. Thompson makes free throw 1 of 2"
"227","1:36.0","","","67-50","+1","K. Thompson makes free throw 2 of 2"
"228","1:19.0","Turnover by L. Doncic (lost ball; steal by A. Wiggins)","","67-50","",""
"229","1:14.0","","","67-53","+3","S. Curry makes 3-pt jump shot from 26 ft (assist by J. Poole)"
"230","1:04.0","Shooting foul by A. Wiggins (drawn by L. Doncic)","","67-53","",""
"231","1:04.0","L. Doncic makes free throw 1 of 2","+1","68-53","",""
"232","1:04.0","L. Doncic makes free throw 2 of 2","+1","69-53","",""
"233","0:52.0","","","69-56","+3","S. Curry makes 3-pt jump shot from 26 ft"
"234","0:40.0","J. Brunson misses 2-pt jump shot from 17 ft","","69-56","",""
"235","0:38.0","","","69-56","","Defensive rebound by K. Thompson"
"236","0:35.0","","","69-58","+2","D. Green makes 2-pt layup from 7 ft (assist by K. Thompson)"
"237","0:13.0","L. Doncic makes 3-pt jump shot from 30 ft (assist by R. Bullock)","+3","72-58","",""
"238","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"239","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"240","Time","Dallas","","Score","","Golden State"
"241","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"242","11:40.0","R. Bullock misses 3-pt jump shot from 23 ft","","72-58","",""
"243","11:38.0","Offensive rebound by D. Powell","","72-58","",""
"244","11:34.0","J. Brunson makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","75-58","",""
"245","11:16.0","","","75-60","+2","K. Looney makes 2-pt layup from 5 ft (assist by S. Curry)"
"246","10:54.0","J. Brunson misses 2-pt jump shot from 10 ft","","75-60","",""
"247","10:52.0","Offensive rebound by D. Finney-Smith","","75-60","",""
