"","Time","Golden State","","Score","","Dallas"
"291","5:58.0","","","58-81","","Defensive rebound by M. Kleber"
"292","5:51.0","","","58-83","+2","F. Ntilikina makes 2-pt jump shot from 15 ft (assist by L. Doncic)"
"293","5:33.0","K. Thompson makes 2-pt jump shot from 14 ft","+2","60-83","",""
"294","5:20.0","","","60-83","","Personal foul by A. Wiggins (drawn by L. Doncic)"
"295","5:20.0","","","60-83","","S. Dinwiddie enters the game for J. Brunson"
"296","5:07.0","","","60-83","","Turnover by L. Doncic (bad pass; steal by K. Thompson)"
"297","5:04.0","J. Poole makes 2-pt dunk from 1 ft (assist by S. Curry)","+2","62-83","",""
"298","4:53.0","","","62-86","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"299","4:36.0","J. Poole makes 3-pt jump shot from 25 ft (assist by D. Green)","+3","65-86","",""
"300","4:15.0","","","65-88","+2","M. Kleber makes 2-pt layup from 3 ft (assist by L. Doncic)"
"301","4:15.0","","","65-88","","Shooting foul by J. Poole (drawn by M. Kleber)"
"302","4:15.0","D. Lee enters the game for J. Poole","","65-88","",""
"303","4:15.0","M. Moody enters the game for K. Thompson","","65-88","",""
"304","4:15.0","","","65-89","+1","M. Kleber makes free throw 1 of 1"
"305","4:01.0","D. Lee misses 2-pt jump shot from 20 ft","","65-89","",""
"306","3:59.0","","","65-89","","Defensive rebound by R. Bullock"
"307","3:49.0","","","65-89","","L. Doncic misses 3-pt jump shot from 26 ft"
"308","3:46.0","Defensive rebound by D. Lee","","65-89","",""
"309","3:39.0","D. Green makes 2-pt layup from 1 ft (assist by S. Curry)","+2","67-89","",""
"310","3:18.0","","","67-92","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft"
"311","3:09.0","S. Curry misses 2-pt jump shot from 19 ft","","67-92","",""
"312","3:06.0","","","67-92","","Defensive rebound by M. Kleber"
"313","2:51.0","","","67-95","+3","S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by M. Kleber)"
"314","2:50.0","Golden State full timeout","","67-95","",""
"315","2:50.0","N. Bjelica enters the game for D. Green","","67-95","",""
"316","2:50.0","J. Kuminga enters the game for A. Wiggins","","67-95","",""
"317","2:50.0","","","67-95","","D. Finney-Smith enters the game for R. Bullock"
"318","2:32.0","Turnover by M. Moody (bad pass; steal by F. Ntilikina)","","67-95","",""
"319","2:20.0","","","67-95","","L. Doncic misses 3-pt jump shot from 25 ft"
"320","2:18.0","","","67-95","","Offensive rebound by M. Kleber"
"321","2:16.0","","","67-95","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"322","2:14.0","Defensive rebound by Team","","67-95","",""
"323","2:04.0","S. Curry makes 3-pt jump shot from 30 ft","+3","70-95","",""
"324","1:42.0","","","70-97","+2","M. Kleber makes 2-pt jump shot from 16 ft (assist by L. Doncic)"
"325","1:30.0","S. Curry misses 2-pt layup from 4 ft","","70-97","",""
"326","1:29.0","","","70-97","","Defensive rebound by L. Doncic"
"327","1:21.0","","","70-99","+2","D. Finney-Smith makes 2-pt layup from 1 ft (assist by S. Dinwiddie)"
"328","1:21.0","J. Poole enters the game for S. Curry","","70-99","",""
"329","0:50.0","M. Moody misses 3-pt jump shot from 23 ft","","70-99","",""
