"","Time","Dallas","","Score","","Phoenix"
"351","8:07.0","D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","90-106","",""
"352","8:05.0","","","90-106","","Phoenix full timeout"
"353","8:05.0","","","90-106","","M. Bridges enters the game for T. Craig"
"354","8:05.0","","","90-106","","J. Crowder enters the game for C. Payne"
"355","8:05.0","","","90-106","","C. Paul enters the game for L. Shamet"
"356","7:43.0","","","90-106","","C. Paul misses 3-pt jump shot from 25 ft"
"357","7:42.0","","","90-106","","Offensive rebound by Team"
"358","7:42.0","Loose ball foul by D. Finney-Smith (drawn by J. McGee)","","90-106","",""
"359","7:30.0","","","90-106","","C. Johnson misses 3-pt jump shot from 28 ft"
"360","7:27.0","Defensive rebound by L. Doncic","","90-106","",""
"361","7:25.0","Shooting foul by C. Johnson (drawn by L. Doncic)","","90-106","",""
"362","7:25.0","L. Doncic makes free throw 1 of 2","+1","91-106","",""
"363","7:25.0","","","91-106","","D. Ayton enters the game for C. Johnson"
"364","7:25.0","","","91-106","","D. Booker enters the game for J. McGee"
"365","7:25.0","L. Doncic misses free throw 2 of 2","","91-106","",""
"366","7:23.0","","","91-106","","Defensive rebound by D. Ayton"
"367","7:01.0","","","91-106","","Turnover by J. Crowder (bad pass; steal by S. Dinwiddie)"
"368","6:57.0","D. Finney-Smith misses 3-pt jump shot from 25 ft","","91-106","",""
"369","6:54.0","","","91-106","","Defensive rebound by C. Paul"
"370","6:50.0","Violation by Team (kicked ball)","","91-106","",""
"371","6:47.0","","","91-106","","Personal foul by R. Bullock (drawn by D. Booker)"
"372","6:38.0","","","91-106","","D. Ayton misses 2-pt layup from 2 ft"
"373","6:37.0","","","91-106","","Offensive rebound by D. Ayton"
"374","6:36.0","","","91-106","","D. Ayton misses 2-pt hook shot at rim"
"375","6:35.0","Defensive rebound by J. Brunson","","91-106","",""
"376","6:28.0","J. Brunson misses 2-pt jump shot from 8 ft","","91-106","",""
"377","6:23.0","","","91-106","","Defensive rebound by D. Booker"
"378","6:08.0","","","91-106","","M. Bridges misses 2-pt jump shot from 21 ft"
"379","6:05.0","Defensive rebound by R. Bullock","","91-106","",""
"380","5:57.0","L. Doncic makes 2-pt dunk from 1 ft","+2","93-106","",""
"381","5:34.0","","","93-106","","D. Ayton misses 2-pt jump shot from 7 ft"
"382","5:33.0","","","93-106","","Offensive rebound by J. Crowder"
"383","5:28.0","","","93-106","","Personal foul by R. Bullock (drawn by D. Booker)"
"384","5:16.0","","","93-109","+3","C. Paul makes 3-pt jump shot from 25 ft"
"385","5:06.0","Offensive foul by R. Bullock (drawn by J. Crowder)","","93-109","",""
"386","5:06.0","Turnover by R. Bullock (offensive foul)","","93-109","",""
"387","4:48.0","","","93-109","","C. Paul misses 2-pt jump shot from 13 ft (block by L. Doncic)"
"388","4:48.0","","","93-109","","Offensive rebound by Team"
"389","4:44.0","","","93-109","","D. Booker misses 2-pt jump shot from 7 ft"
"390","4:42.0","Defensive rebound by R. Bullock","","93-109","",""
"391","4:34.0","J. Brunson misses 2-pt layup from 3 ft","","93-109","",""
"392","4:32.0","Offensive rebound by D. Finney-Smith","","93-109","",""
"393","4:31.0","D. Finney-Smith makes 2-pt layup from 2 ft","+2","95-109","",""
"394","4:17.0","","","95-109","","C. Paul misses 3-pt jump shot from 26 ft"
"395","4:14.0","","","95-109","","Offensive rebound by M. Bridges"
"396","4:13.0","","","95-109","","D. Booker misses 3-pt jump shot from 27 ft"
"397","4:10.0","","","95-109","","Offensive rebound by J. Crowder"
"398","3:57.0","","","95-109","","C. Paul misses 2-pt jump shot from 6 ft"
"399","3:56.0","Defensive rebound by S. Dinwiddie","","95-109","",""
"400","3:45.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","98-109","",""
"401","3:19.0","","","98-111","+2","C. Paul makes 2-pt jump shot from 16 ft (assist by D. Booker)"
"402","3:18.0","Dallas full timeout","","98-111","",""
"403","3:06.0","Personal foul by J. Crowder (drawn by J. Brunson)","","98-111","",""
"404","2:52.0","D. Finney-Smith misses 3-pt jump shot from 27 ft","","98-111","",""
"405","2:50.0","","","98-111","","Defensive rebound by J. Crowder"
"406","2:40.0","","","98-111","","Personal foul by R. Bullock (drawn by C. Paul)"
"407","2:40.0","J. Green enters the game for R. Bullock","","98-111","",""
"408","2:40.0","","","98-112","+1","C. Paul makes free throw 1 of 2"
"409","2:40.0","","","98-113","+1","C. Paul makes free throw 2 of 2"
"410","2:31.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","100-113","",""
"411","2:14.0","","","100-113","","M. Bridges misses 3-pt jump shot from 25 ft"
"412","2:12.0","Defensive rebound by J. Green","","100-113","",""
"413","2:00.0","S. Dinwiddie makes 2-pt layup at rim (assist by L. Doncic)","+2","102-113","",""
"414","1:37.0","","","102-113","","C. Paul misses 2-pt jump shot from 9 ft"
"415","1:34.0","","","102-113","","Offensive rebound by M. Bridges"
"416","1:26.0","","","102-113","","D. Booker misses 2-pt layup from 1 ft"
"417","1:26.0","","","102-113","","Offensive rebound by D. Ayton"
"418","1:25.0","","","102-113","","D. Ayton misses 2-pt layup from 2 ft"
"419","1:25.0","Defensive rebound by L. Doncic","","102-113","",""
"420","1:18.0","S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by J. Brunson)","+3","105-113","",""
"421","1:03.0","","","105-113","","M. Bridges misses 3-pt jump shot from 23 ft"
"422","1:01.0","Defensive rebound by D. Finney-Smith","","105-113","",""
"423","0:53.0","L. Doncic makes 2-pt dunk from 1 ft","+2","107-113","",""
"424","0:47.0","","","107-113","","Personal foul by J. Green (drawn by D. Booker)"
"425","0:47.0","","","107-114","+1","D. Booker makes free throw 1 of 2"
"426","0:47.0","","","107-114","","C. Johnson enters the game for D. Ayton"
"427","0:47.0","","","107-115","+1","D. Booker makes free throw 2 of 2"
"428","0:47.0","Dallas full timeout","","107-115","",""
"429","0:47.0","D. Bertans enters the game for J. Green","","107-115","",""
"430","0:42.0","Shooting foul by M. Bridges (drawn by D. Finney-Smith)","","107-115","",""
"431","0:42.0","D. Finney-Smith makes free throw 1 of 2","+1","108-115","",""
"432","0:42.0","J. Green enters the game for D. Bertans","","108-115","",""
"433","0:42.0","D. Finney-Smith makes free throw 2 of 2","+1","109-115","",""
"434","0:39.0","Violation by Team (kicked ball)","","109-115","",""
"435","0:30.0","","","109-115","","Personal take foul by J. Brunson (drawn by M. Bridges)"
"436","0:30.0","","","109-116","+1","M. Bridges makes free throw 1 of 2"
"437","0:30.0","","","109-117","+1","M. Bridges makes free throw 2 of 2"
"438","0:22.0","L. Doncic makes 2-pt layup from 4 ft","+2","111-117","",""
"439","0:16.0","","","111-117","","Personal take foul by L. Doncic (drawn by M. Bridges)"
"440","0:16.0","","","111-118","+1","M. Bridges makes free throw 1 of 2"
"441","0:16.0","","","111-119","+1","M. Bridges makes free throw 2 of 2"
"442","0:10.0","L. Doncic makes 3-pt jump shot from 27 ft","+3","114-119","",""
"443","0:07.0","","","114-119","","Personal foul by S. Dinwiddie (drawn by D. Booker)"
"444","0:07.0","Dallas full timeout","","114-119","",""
"445","0:07.0","Instant Replay (Challenge: Stands)","","114-119","",""
"446","0:07.0","","","114-120","+1","D. Booker makes free throw 1 of 2"
"447","0:07.0","","","114-121","+1","D. Booker makes free throw 2 of 2"
"448","0:00.0","S. Dinwiddie misses 3-pt jump shot from 23 ft","","114-121","",""
"449","0:00.0","Offensive rebound by Team","","114-121","",""
"450","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
